panel,anchor,ladder,chooser,L,k_rungs,uniform_null,anchor_rung,pick_rung,reached,is_margin,P_pick,P_anchor,P_boot_top,resolved,resolved_supported,beats_uniform,C_STRICT,C_PROX,C_ALL
U56,A,N,CH_ISSHARPE,21,9,0.1111111111111111,20,40,False,0.010075690077960164,0.418,0.011,0.418,False,False,True,True,True,True
U56,A,N,CH_ISSHARPE,63,9,0.1111111111111111,20,40,False,0.010075690077960164,0.429,0.005,0.429,False,False,True,True,True,True
U56,A,N,CH_ISSHARPE,126,9,0.1111111111111111,20,40,False,0.010075690077960164,0.412,0.02,0.412,False,False,True,True,True,True
U56,A,N,CH_ISSHARPE,252,9,0.1111111111111111,20,40,False,0.010075690077960164,0.396,0.013,0.397,False,False,True,True,True,True
U56,A,N,CH_ISCAGR,21,9,0.1111111111111111,20,5,False,0.023520397408231863,0.778,0.005,0.778,False,False,True,False,True,True
U56,A,N,CH_ISCAGR,63,9,0.1111111111111111,20,5,False,0.023520397408231863,0.814,0.003,0.814,False,False,True,False,True,True
U56,A,N,CH_ISCAGR,126,9,0.1111111111111111,20,5,False,0.023520397408231863,0.878,0.003,0.878,False,False,True,False,True,True
U56,A,N,CH_ISCAGR,252,9,0.1111111111111111,20,5,False,0.023520397408231863,0.903,0.0,0.903,True,True,True,False,True,True
U56,A,N,CH_ISDD,21,9,0.1111111111111111,20,40,False,0.013708522069097118,0.875,0.02,0.875,False,False,True,False,True,True
U56,A,N,CH_ISDD,63,9,0.1111111111111111,20,40,False,0.013708522069097118,0.945,0.003,0.945,True,True,True,False,True,True
U56,A,N,CH_ISDD,126,9,0.1111111111111111,20,40,False,0.013708522069097118,0.963,0.001,0.963,True,True,True,False,True,True
U56,A,N,CH_ISDD,252,9,0.1111111111111111,20,40,False,0.013708522069097118,0.99,0.001,0.99,True,True,True,False,True,True
U56,A,H,CH_ISSHARPE,21,4,0.25,126,252,False,0.009654230005583075,0.354,0.147,0.354,False,False,True,True,True,True
U56,A,H,CH_ISSHARPE,63,4,0.25,126,252,False,0.009654230005583075,0.424,0.136,0.424,False,False,True,True,True,True
U56,A,H,CH_ISSHARPE,126,4,0.25,126,252,False,0.009654230005583075,0.474,0.076,0.474,False,False,True,True,True,True
U56,A,H,CH_ISSHARPE,252,4,0.25,126,252,False,0.009654230005583075,0.467,0.071,0.467,False,False,True,True,True,True
U56,A,H,CH_ISCAGR,21,4,0.25,126,252,False,0.0026572189032110227,0.465,0.275,0.465,False,False,True,False,True,True
U56,A,H,CH_ISCAGR,63,4,0.25,126,252,False,0.0026572189032110227,0.527,0.248,0.527,False,False,True,False,True,True
U56,A,H,CH_ISCAGR,126,4,0.25,126,252,False,0.0026572189032110227,0.568,0.215,0.568,False,False,True,False,True,True
U56,A,H,CH_ISCAGR,252,4,0.25,126,252,False,0.0026572189032110227,0.67,0.177,0.67,False,False,True,False,True,True
U56,A,H,CH_ISDD,21,4,0.25,126,21,False,0.00979552595790334,0.431,0.056,0.431,False,False,True,False,True,True
U56,A,H,CH_ISDD,63,4,0.25,126,21,False,0.00979552595790334,0.523,0.042,0.523,False,False,True,False,True,True
U56,A,H,CH_ISDD,126,4,0.25,126,21,False,0.00979552595790334,0.748,0.014,0.748,False,False,True,False,True,True
U56,A,H,CH_ISDD,252,4,0.25,126,21,False,0.00979552595790334,0.872,0.009,0.872,False,False,True,False,True,True
U56,A,GROSS,CH_ISSHARPE,21,10,0.1,0.75,0.75,True,0.00010871918089216948,0.635,0.635,0.635,False,False,True,True,True,True
U56,A,GROSS,CH_ISSHARPE,63,10,0.1,0.75,0.75,True,0.00010871918089216948,0.767,0.767,0.767,False,False,True,True,True,True
