panel,family,chooser,n,oosS,oosPct,reach4b,reach4bF,reach4a,oosCAGR,oosDD
B136,BANDGROSS,CELL_ALPHA,61,1.1003734000894554,0.7763934426229508,0.0,0.0,0.0,0.051113785844333105,-0.08501249094009784
B136,BANDGROSS,COIN_EXACT,61,1.0887130414914792,0.52,0.11737704918032787,0.15737704918032785,0.017049180327868854,0.1044374664220066,-0.171176374715371
B136,BANDGROSS,ENS7_VOTE2,61,1.0827194236306859,0.3777049180327869,0.5573770491803278,0.7049180327868853,0.0,0.12330596203981642,-0.2191236091704628
B136,BANDGROSS,ENS7_VOTE3,61,1.0882056757324878,0.45311475409836066,0.5573770491803278,0.6557377049180327,0.0,0.12916273141945014,-0.21347114492041971
B136,BANDGROSS,ENS7_VOTE4,61,1.0889926073075216,0.4845901639344263,0.7049180327868853,0.8688524590163934,0.0,0.1166380892868169,-0.19275597887216922
B136,BANDGROSS,ENS_MEANRANK,61,1.0889926073075216,0.4845901639344263,0.7049180327868853,0.8688524590163934,0.0,0.1166380892868169,-0.19275597887216922
B136,BANDGROSS,ENS_MEDRANK,61,1.0881882150015845,0.4622950819672131,0.45901639344262296,0.6065573770491803,0.0,0.13130014476776847,-0.21737756567244032
B136,BANDGROSS,ENS_VOTE2,61,1.0827194236306859,0.3777049180327869,0.5573770491803278,0.7049180327868853,0.0,0.12330596203981642,-0.2191236091704628
B136,BANDGROSS,ENS_VOTE3,61,1.0882056757324878,0.45311475409836066,0.5573770491803278,0.6557377049180327,0.0,0.12916273141945014,-0.21347114492041971
B136,BANDGROSS,ENS_VOTE4,61,1.0889926073075216,0.4845901639344263,0.7049180327868853,0.8688524590163934,0.0,0.1166380892868169,-0.19275597887216922
B136,BANDGROSS,IS_CAGRSLACK,61,1.0802324758759105,0.29704918032786887,0.0,0.0,0.0,0.16360649481242787,-0.2854438609891227
B136,BANDGROSS,IS_CALMAR,61,1.0853644979088994,0.37836065573770494,0.0,0.0,0.0,0.15760246671158065,-0.24996926096056654
B136,BANDGROSS,IS_DD,61,1.0944622727348925,0.6747540983606557,0.0,0.0,0.0,0.051687217673555066,-0.08346221716180592
B136,BANDGROSS,IS_LEGS,61,1.0836396584129773,0.4131147540983606,0.7049180327868853,0.9344262295081968,0.0,0.10905069579163897,-0.19536127674849707
B136,BANDGROSS,IS_MINMARG,61,1.0831691329876456,0.4098360655737705,0.7049180327868853,0.9344262295081968,0.0,0.10922033412754349,-0.1950894475670103
B136,BANDGROSS,IS_SHARPE,61,1.0802324758759105,0.29704918032786887,0.0,0.0,0.0,0.16360649481242787,-0.2854438609891227
B136,BANDGROSS,ORACLE_OOS,61,1.1097111860443984,1.0,0.0,0.0,0.06557377049180328,0.05199173999179699,-0.08457647071601931
B136,TOPN,CELL_ALPHA,61,0.8570026518924352,0.09311475409836065,0.16393442622950818,0.16393442622950818,0.0,0.10491477857618599,-0.18346470484372063
B136,TOPN,COIN_EXACT,61,0.9439371359514651,0.52,0.011147540983606558,0.011147540983606558,0.0,0.20257723401811284,-0.33220317736708505
B136,TOPN,ENS7_VOTE2,61,0.9027538143426062,0.3744262295081967,0.01639344262295082,0.01639344262295082,0.0,0.25839813195906725,-0.3691889714576385
B136,TOPN,ENS7_VOTE3,61,0.9324966610357106,0.48655737704918034,0.04918032786885246,0.04918032786885246,0.0,0.2486073334011553,-0.35992404473758904
B136,TOPN,ENS7_VOTE4,61,0.9264726496104919,0.4118032786885246,0.09836065573770492,0.09836065573770492,0.0,0.14231970672202438,-0.22425006155138877
