scope,neutral,q,tau,n,abstain_rate,D_raw,t_raw,D_net,t_net,FREE,t_free,verdict_raw,verdict_net,flips,file
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.3,0.0,11,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.4,0.0,11,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.5,0.0001607953664477,11,0.45454545454545453,-0.0015956725437296698,-0.9999999999999999,0.003907387197562259,0.6644096686828392,-0.005503059741291929,-1.0,NEG/0,POS,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.6,0.0006739235881554,11,0.5454545454545454,-0.0015956725437296698,-0.9999999999999999,0.006741611731290378,1.0605998377876742,-0.008337284275020047,-1.4053065918853285,NEG/0,POS,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.7,0.0055001631491846,11,0.6363636363636364,-0.0015956725437296698,-0.9999999999999999,0.010095948870513056,1.4705686151950503,-0.011691621414242726,-1.8291511338376818,NEG/0,POS,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.8,0.0139049143088001,11,0.7272727272727273,-0.0003037528646293081,-0.141203696820846,0.010953632175455237,1.6126315343135689,-0.011257385040084545,-1.7358246502462493,NEG/0,POS,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,0.9,0.0454007614133367,11,0.8181818181818182,0.012062411219855863,0.9587217717229166,0.023319796259940406,1.7782843792694853,-0.011257385040084545,-1.7358246502462493,POS,POS,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-04_drawdown-insurance-price-list_B.grid.csv,IS-MEDIAN-ARM,1.0,inf,11,1.0,0.030611660787204842,1.7451716091979899,0.03485989017944869,2.566629454391851,-0.0042482293922438555,-0.4383324344571353,POS,POS,False,2026-09-04_drawdown-insurance-price-list_B.grid.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.1,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.2,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.3,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.4,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.5,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.6,4.437930580447994e-05,10,0.6,0.0,,-0.03495014386784071,-1.4814170648961384,0.03495014386784071,1.4814170648961384,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.7,0.00030319658252755987,10,0.7,0.0,,-0.04259992456072364,-1.8071176111899885,0.04259992456072364,1.8071176111899885,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.8,0.0009720854913914602,10,0.8,-0.00046457326076208003,-1.0000000000000002,-0.04173483503952279,-1.7563518316351656,0.04127026177876071,1.7285283744716269,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,0.9,0.002736779060602677,10,0.9,0.03818185118671394,0.9865908033785157,-0.028271022646743343,-0.9580443881985187,0.06645287383345728,2.1300846359028522,POS,NEG/0,True,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,MENU-MEAN,1.0,inf,10,1.0,0.04237989886081875,1.1017040117037433,-0.032901013031928,-1.1198753982298362,0.07528091189274674,2.480807238097683,POS,NEG/0,True,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.1,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
2026-09-05_absorbing-state-audit_B.ddctl.csv,IS-MEDIAN-ARM,0.2,0.0,10,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_absorbing-state-audit_B.ddctl.csv
