gate,what,value,pass_
G1,fast runner == engine.backtest,1.3877787807814457e-17,True
G2,committed U56 W/H126/N=20 triple,3.1831294189377246e-07,True
G3,SPY OOS triple,0.00017024209187355144,True
G5,live RULES v2 MaxDD,4.949323437114517e-05,True
G6,determinism,0.0,True
G4,reproduce 1100's committed margins (14 cells),9.71445146547012e-17,True
G7,reproduce 1096's committed 877 flags (14 rows),0.0,True
G8,own half-width monotone non-decreasing in q,5.8433238528139394e-05,True
G9,every ladder live (min IS-Sharpe spread),0.0013944423901530723,True
G10,book grid == 1100's committed 146-rung grid (CSV round-trip bar),1.7763568394002505e-15,True
