panel,family,con,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,beats_v2,beats_SPY,p4a,p4b
SMALL439,QUANTILE,RESPREAD,level=0.8 cad=Q,0.7262496219569458,0.09186693152643799,0.6169033768661533,-0.35072630041994124,0.5680478274897115,0.15450723909089636,0.8820106885412021,-0.33717256775620263,True,False,False,False
SMALL439,QUANTILE,DEGROSS,level=0.8 cad=Q,0.7288904889119842,0.07585537286673993,0.6224746887478702,-0.28164619150256986,0.5680478274897115,0.15450723909089636,0.8820106885412021,-0.33717256775620263,True,False,False,False
SMALL439,MA-THRESH,RESPREAD,level=0.3 cad=M,0.8874006931164304,0.2402298578506441,1.1041600612175628,-0.3077804460589927,0.5680478274897115,0.15450723909089636,0.8820106885412021,-0.33717256775620263,True,True,False,False
SMALL439,MA-THRESH,DEGROSS,level=-0.4 cad=Q,0.736840849882774,0.07975352536349556,0.5874263980687732,-0.32467668866448296,0.5680478274897115,0.15450723909089636,0.8820106885412021,-0.33717256775620263,True,False,False,False
U56,QUANTILE,RESPREAD,level=0.5 cad=M,1.2665498788630485,0.15950305839199985,1.2163948203489579,-0.1980354091219657,1.2746660728287855,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,True
U56,QUANTILE,DEGROSS,level=0.5 cad=M,1.2604964298408001,0.07980738539876797,1.216805981845462,-0.10323053237023794,1.2746660728287855,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,False
U56,MA-THRESH,RESPREAD,level=0.2 cad=Q,1.4087617749438113,0.21198336025018794,0.932599397596303,-0.32510636115067615,1.2746660728287855,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,False
U56,MA-THRESH,DEGROSS,level=0.3 cad=Q,1.240224086950208,0.010419867115684323,0.5655439867477883,-0.03380058509596817,1.2746660728287855,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,False,False,False
B136,QUANTILE,RESPREAD,level=0.9 cad=Q,1.1700160890737041,0.13852930233666005,1.1261503071799828,-0.24650540532220688,1.1185082795688426,0.1545044425578177,0.8820239235972316,-0.3371595330739301,True,True,False,False
B136,QUANTILE,DEGROSS,level=0.9 cad=Q,1.1707637493305465,0.12496337696997828,1.1284481246686338,-0.22334553438842197,1.1185082795688426,0.1545044425578177,0.8820239235972316,-0.3371595330739301,True,True,False,False
B136,MA-THRESH,RESPREAD,level=0.2 cad=Q,1.4584969655039113,0.21106474661139196,1.0664525071109843,-0.2952507655794452,1.1185082795688426,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,False,False
B136,MA-THRESH,DEGROSS,level=-0.25 cad=Q,1.2156044088420448,0.13580129917386707,1.1384051662705013,-0.24163593668050287,1.1185082795688426,0.1545044425578177,0.8820239235972316,-0.3371595330739301,True,True,False,False
