
========================================================================================================================================================================================================
PANEL u56: 56 tradable names, 2008-01-02 -> 2026-09-04 | eval from 2009-01-13 | IS <= 2016-12-31 | OOS >= 2017-01-01
  SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: DD cap 20.23%, CAGR floor 10.66%
  regime spy200     armed 0.171 (757 days) | IS 0.177 OOS 0.165
  regime breadth20  armed 0.087 (384 days) | IS 0.031 OOS 0.132
  CHECK(a) run_cond(no instrument) == engine.backtest @0bps: max|diff| = 0.000e+00
  CHECK(a) run_cond(no instrument) == engine.backtest @10bps: max|diff| = 0.000e+00
  CHECK(a) run_cond(no instrument) == engine.backtest @25bps: max|diff| = 0.000e+00

========================================================================================================================================================================================================
PANEL broad: 136 tradable names, 2008-01-02 -> 2026-09-04 | eval from 2009-01-13 | IS <= 2016-12-31 | OOS >= 2017-01-01
  SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: DD cap 20.23%, CAGR floor 10.66%
  regime spy200     armed 0.171 (757 days) | IS 0.177 OOS 0.165
  regime breadth20  armed 0.081 (359 days) | IS 0.025 OOS 0.127

========================================================================================================================================================================================================
PANEL small: 439 tradable names, 2010-01-04 -> 2026-09-04 | eval from 2011-01-13 | IS <= 2016-12-31 | OOS >= 2017-01-01
  SPY CAGR 14.13% Sharpe 0.862 MaxDD -33.72% halves 0.891/0.858 OOS 0.882 | 4b bars: DD cap 20.23%, CAGR floor 9.89%
  regime spy200     armed 0.153 (603 days) | IS 0.134 OOS 0.165
  regime breadth20  armed 0.123 (484 days) | IS 0.049 OOS 0.169

========================================================================================================================================================================================================
LIVE-BASELINE CONTEXT — idea 246's imported `keep_paths` judges 4a against RULES v1 (the pre-2026-09-06 convention).  RULES v2 has been live since 2026-09-06 and is printed here so no 4a count in this file is read as a claim against the live book:
panel    cost            book   CAGR  Sharpe   MaxDD     H1     H2  OOS_CAGR  OOS_Sharpe
  u56  0.0000        RULES v1 0.0900  0.8954 -0.1359 0.8786 0.9149    0.1044      0.9780
  u56  0.0000 RULES v2 (LIVE) 0.0885  1.2307 -0.1203 1.2511 1.2158    0.0973      1.3096
  u56 10.0000        RULES v1 0.0646  0.6647 -0.1383 0.6421 0.6878    0.0773      0.7471
  u56 10.0000 RULES v2 (LIVE) 0.0866  1.2056 -0.1205 1.2259 1.1909    0.0953      1.2851
  u56 25.0000        RULES v1 0.0276  0.3174 -0.1563 0.2860 0.3460    0.0378      0.3992
  u56 25.0000 RULES v2 (LIVE) 0.0837  1.1681 -0.1209 1.1881 1.1534    0.0924      1.2483
broad  0.0000        RULES v1 0.0956  0.9118 -0.1835 1.0363 0.8070    0.0928      0.8569
broad  0.0000 RULES v2 (LIVE) 0.0825  1.1336 -0.1221 1.2547 1.0144    0.0821      1.1481
broad 10.0000        RULES v1 0.0639  0.6350 -0.2119 0.7562 0.5320    0.0594      0.5763
broad 10.0000 RULES v2 (LIVE) 0.0803  1.1058 -0.1224 1.2291 0.9844    0.0798      1.1185
broad 25.0000        RULES v1 0.0179  0.2195 -0.2672 0.3350 0.1198    0.0111      0.1554
broad 25.0000 RULES v2 (LIVE) 0.0770  1.0640 -0.1228 1.1906 0.9393    0.0764      1.0740
small  0.0000        RULES v1 0.1182  0.8281 -0.2930 0.9329 0.7359    0.1157      0.8010
small  0.0000 RULES v2 (LIVE) 0.0409  0.6113 -0.1433 0.6095 0.6153    0.0414      0.6071
small 10.0000        RULES v1 0.0815  0.6027 -0.3284 0.6894 0.5263    0.0792      0.5807
small 10.0000 RULES v2 (LIVE) 0.0380  0.5710 -0.1470 0.5682 0.5757    0.0384      0.5665
small 25.0000        RULES v1 0.0286  0.2645 -0.4304 0.3240 0.2115    0.0267      0.2501
small 25.0000 RULES v2 (LIVE) 0.0337  0.5106 -0.1527 0.5064 0.5164    0.0339      0.5056

========================================================================================================================================================================================================
GRID: 1107 runs written to 2026-09-08_do-de-grossing-instruments-belong-armed-only-in-crashes-after-all_B.grid.csv (25 arm labels x 3 panels x 3 books x 3 cost rungs)
GROSS MATCH QUALITY: max |achieved - target| mean gross over all 432 matched controls = 8.63e-05 (tolerance 0.0001); mu range 0.8262 - 1.0571

----- FULL GRID (every point) -----
panel  book    cost                        arm            regime  armed_frac  mean_gross  turnover   CAGR  Sharpe   MaxDD     H1      H2  OOS_Sharpe  pass4a  pass4b
  u56   V1u  0.0000                    CONTROL              none      1.0000      0.7499   23.2356 0.0880  0.8959 -0.1386 0.9181  0.8814      0.9489   False   False
  u56   V1u  0.0000                    gross00            always      1.0000      0.0000    0.0000 0.0000     NaN  0.0000    NaN     NaN         NaN   False   False
  u56   V1u  0.0000                    gross00            spy200      0.1705      0.6192   22.0349 0.0802  0.8550 -0.1307 0.8836  0.8335      0.9084   False   False
  u56   V1u  0.0000    MATCHED[gross00/spy200]    matched-spy200      0.1705      0.6547   20.2882 0.0770  0.8963 -0.1219 0.9179  0.8823      0.9498   False   False
  u56   V1u  0.0000                    gross00         breadth20      0.0865      0.6831   22.6594 0.0801  0.8389 -0.1495 0.8895  0.7967      0.8730   False   False
  u56   V1u  0.0000 MATCHED[gross00/breadth20] matched-breadth20      0.0865      0.7222   22.3771 0.0848  0.8960 -0.1338 0.9180  0.8816      0.9492   False   False
  u56   V1u  0.0000                    gross25            always      1.0000      0.1876    5.8282 0.0223  0.8984 -0.0362 0.9170  0.8871      0.9538   False   False
  u56   V1u  0.0000                    gross25            spy200      0.1705      0.6519   22.3305 0.0822  0.8728 -0.1307 0.8984  0.8542      0.9274   False   False
  u56   V1u  0.0000    MATCHED[gross25/spy200]    matched-spy200      0.1705      0.6892   21.3566 0.0810  0.8961 -0.1280 0.9180  0.8820      0.9494   False   False
  u56   V1u  0.0000                    gross25         breadth20      0.0865      0.6998   22.8002 0.0822  0.8570 -0.1455 0.8973  0.8242      0.8984   False   False
  u56   V1u  0.0000 MATCHED[gross25/breadth20] matched-breadth20      0.0865      0.7398   22.9234 0.0868  0.8959 -0.1369 0.9181  0.8815      0.9490   False   False
  u56   V1u  0.0000                    gross50            always      1.0000      0.3751   11.6383 0.0445  0.8976 -0.0713 0.9174  0.8852      0.9522   False   False
  u56   V1u  0.0000                    gross50            spy200      0.1705      0.6846   22.6257 0.0842  0.8856 -0.1307 0.9091  0.8690      0.9404   False   False
  u56   V1u  0.0000    MATCHED[gross50/spy200]    matched-spy200      0.1705      0.7237   22.4251 0.0850  0.8960 -0.1340 0.9180  0.8816      0.9491   False   False
  u56   V1u  0.0000                    gross50         breadth20      0.0865      0.7165   22.9410 0.0841  0.8725 -0.1416 0.9046  0.8475      0.9195   False   False
  u56   V1u  0.0000 MATCHED[gross50/breadth20] matched-breadth20      0.0865      0.7574   23.4697 0.0889  0.8958 -0.1399 0.9181  0.8813      0.9488   False   False
  u56   V1u  0.0000                    gross75            always      1.0000      0.5625   17.4371 0.0664  0.8967 -0.1055 0.9177  0.8833      0.9506   False   False
  u56   V1u  0.0000                    gross75            spy200      0.1705      0.7172   22.9213 0.0862  0.8931 -0.1307 0.9156  0.8779      0.9474   False   False
  u56   V1u  0.0000    MATCHED[gross75/spy200]    matched-spy200      0.1705      0.7582   23.4936 0.0890  0.8958 -0.1401 0.9181  0.8813      0.9488   False   False
  u56   V1u  0.0000                    gross75         breadth20      0.0865      0.7332   23.0823 0.0861  0.8855 -0.1377 0.9116  0.8666      0.9363   False   False
  u56   V1u  0.0000 MATCHED[gross75/breadth20] matched-breadth20      0.0865      0.7751   24.0160 0.0909  0.8957 -0.1430 0.9181  0.8811      0.9487   False   False
  u56   V1u  0.0000                    ddctl04            always      1.0000      0.4852   15.7101 0.0326  0.4796 -0.1182 0.4811  0.4786      0.5403   False   False
  u56   V1u  0.0000                    ddctl04            spy200      0.1705      0.6967   22.7628 0.0834  0.8748 -0.1307 0.9041  0.8531      0.9253   False   False
  u56   V1u  0.0000    MATCHED[ddctl04/spy200]    matched-spy200      0.1705      0.7366   22.8230 0.0865  0.8959 -0.1363 0.9181  0.8815      0.9490   False   False
  u56   V1u  0.0000                    ddctl04         breadth20      0.0865      0.7206   23.0359 0.0828  0.8587 -0.1416 0.9046  0.8217      0.8952   False   False
  u56   V1u  0.0000 MATCHED[ddctl04/breadth20] matched-breadth20      0.0865      0.7617   23.6024 0.0894  0.8958 -0.1407 0.9181  0.8812      0.9488   False   False
  u56   V1u  0.0000                    ddctl08            always      1.0000      0.6370   19.9376 0.0670  0.7723 -0.1187 0.8130  0.7345      0.7894   False   False
  u56   V1u  0.0000                    ddctl08            spy200      0.1705      0.7266   23.0111 0.0859  0.8855 -0.1484 0.9126  0.8660      0.9359   False   False
