corpus,cost_bps,dial,group,n_books,full_mode,full_share,distinct,share_mean,share_sd,d_mean,d_median,d_sd,win,dmargin_mean,mode_stable,published
A,5,GROSS,ALL,53,1.0,0.9433962264150944,3,0.9433760683760684,0.03681550831845631,-0.0001256254383453784,-0.00012431426137580475,0.00011435554065849116,0.1375,0.006709694979941103,1.0,False
A,5,GROSS,B136,48,1.0,0.9583333333333334,3,0.9583333333333333,0.02871676823352131,-0.00014576260828676885,-0.00014576260828676885,0.00011830355290873556,0.0,0.01438755806143921,1.0,False
A,5,GROSS,B136k20,16,1.0,0.9375,2,0.9375,0.0625,-8.930167383845028e-05,-8.930167383845028e-05,8.930167383845028e-05,0.0,0.013561463685415687,1.0,False
A,5,GROSS,B136k40,16,1.0,0.9375,2,0.9375,0.0625,-0.00034798615102185626,-0.00034798615102185626,0.0003479861510218562,0.0,0.029601210498901943,1.0,False
A,5,GROSS,B136k80,16,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
A,5,N,ALL,53,20,0.20754716981132076,9,0.22918447293447297,0.03455847043272493,-0.007434196024472377,0.006866933303779413,0.04692428055265381,0.575,0.022101091874614703,0.05,False
A,5,N,B136,48,20,0.1875,9,0.228125,0.03606935352745997,-0.018604117087725646,-0.007379633013849221,0.05396162380492319,0.4625,0.021409651979474108,0.0,False
A,5,N,B136k20,16,15,0.4375,4,0.475,0.1034559084827928,0.02766594704200383,0.031016340323099058,0.033406286913340646,0.85,0.03637600418525712,0.5,False
A,5,N,B136k40,16,8,0.3125,6,0.3546875,0.08014574127020099,-0.04080089655007683,-0.06387715104749009,0.07096026517506898,0.15,-0.025096198422398953,0.5,False
A,5,N,B136k80,16,10,0.1875,9,0.278125,0.05581428468591173,-0.026610285954341017,-0.0849503854667051,0.13089151296534618,0.325,-0.02803039381963241,0.0,False
A,5,BAND,ALL,53,0.08,0.7547169811320755,5,0.7546652421652421,0.08402535338868893,-0.0012582926675590756,-0.001264257420466689,0.0030694091046393635,0.35,0.0028643203452820266,1.0,False
A,5,BAND,B136,48,0.08,0.7708333333333334,5,0.7708333333333334,0.0638737904864829,-0.0016632926510690774,-0.0016632926510690774,0.0038708886861709476,0.375,0.003944985967056769,1.0,False
A,5,BAND,B136k20,16,0.08,0.6875,4,0.6875,0.1152443057161611,-0.004421300884027958,-0.004421300884027958,0.011528398762018884,0.4,0.007139502630558741,1.0,False
A,5,BAND,B136k40,16,0.08,0.8125,4,0.8125,0.10077822185373188,-0.0035526415839536515,-0.0035526415839536515,0.004476610317438258,0.2625,0.0018802462329199452,1.0,False
A,5,BAND,B136k80,16,0.08,0.8125,4,0.8125,0.10077822185373188,0.0029840645147743775,0.0029840645147743775,0.0020845616754335467,0.9,0.0028152090376916197,1.0,False
A,5,BAND+,ALL,53,0.12,0.3018867924528302,8,0.324537037037037,0.038660700319450333,0.005203436478454958,0.008881218829261562,0.01012917998906159,0.725,0.0054608042710827445,0.325,False
A,5,BAND+,B136,48,0.12,0.3333333333333333,8,0.3411458333333333,0.05709008095764097,0.009592310891646728,0.011553281878227378,0.007244275678573033,0.875,0.00872775070495752,0.575,False
A,5,BAND+,B136k20,16,0.12,0.3125,6,0.334375,0.0878897569401577,0.017107089247091714,0.015593384761425771,0.014304943659218269,0.9,0.009141056696963707,0.025,False
A,5,BAND+,B136k40,16,0.08,0.3125,5,0.38125,0.07880950133074056,-0.001997410062033542,-0.002211589912702823,0.009852899026925705,0.3375,0.001104663259384867,0.3,False
A,5,BAND+,B136k80,16,0.12,0.5,4,0.5453125,0.11733324270533906,0.008171252215450106,0.01095695546863655,0.009370904832623836,0.825,0.002185672881578313,0.65,False
A,5,CADENCE,ALL,53,M,0.7358490566037735,4,0.736039886039886,0.06713521215839469,0.031414738705348326,0.03141732056296888,0.010034863864577656,1.0,0.03152109838438718,1.0,False
A,5,CADENCE,B136,48,M,0.7083333333333334,4,0.7083333333333334,0.06454972243679029,0.03469781050985925,0.034697810509859255,0.010202114498919597,1.0,0.0347786229924145,1.0,False
A,5,CADENCE,B136k20,16,M,0.625,4,0.625,0.15181197251863898,0.03137520229909783,0.0346959521364557,0.024225417029435925,0.9125,0.0283508822237332,0.875,False
A,5,CADENCE,B136k40,16,M,0.625,3,0.6265625,0.13476505887562248,0.05421637655926368,0.05697043002072135,0.03166446937434241,0.95,0.09052128281654384,0.9,False
A,5,CADENCE,B136k80,16,M,0.875,2,0.875,0.090571104663684,0.012427049372400708,0.01242704937240071,0.009019148419606543,0.7375,-0.02072232957640366,1.0,False
A,5,SLEEVE,ALL,53,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
A,5,SLEEVE,B136,48,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
A,5,SLEEVE,B136k20,16,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
A,5,SLEEVE,B136k40,16,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
A,5,SLEEVE,B136k80,16,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
