rule,family,basis,k,n,n_moved,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,mean_Sharpe,mean_CAGR,mean_MaxDD,n_4b_full,n_4b_oos,n_4a,n_distinct_books,n_distinct_4b_books
R_RAW,R_RAW,,,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,0.8851917639813826,0.11707392340265368,-0.24546687683514692,6,7,0,48,3
R_BAR,R_BAR,,,72,13,0.7886717099917357,0.1067310660186321,-0.2317380494104683,0.8640326616710544,0.11159307772525502,-0.23173804941046822,19,19,0,17,2
R_ANCHOR,R_ANCHOR,,,72,0,0.7900802510800281,0.10953872661274473,-0.23630753118034883,0.8644867671835438,0.11405085493636939,-0.23630753118034875,24,24,0,6,2
"R_SE[SE_BLOCK,k=0.0]",R_SE,SE_BLOCK,0.0,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,0.8851917639813826,0.11707392340265368,-0.24546687683514692,6,7,0,48,3
"R_SE[SE_BLOCK,k=0.25]",R_SE,SE_BLOCK,0.25,72,47,0.7894706707062342,0.10822848441934181,-0.2426734343030342,0.8777231546352283,0.11566394991164748,-0.24267343430303415,10,10,0,42,3
"R_SE[SE_BLOCK,k=0.5]",R_SE,SE_BLOCK,0.5,72,41,0.7828547582649805,0.10708904100861759,-0.24211374007080774,0.8735725998844316,0.11501273957834043,-0.24211374007080774,11,11,0,38,2
"R_SE[SE_BLOCK,k=1.0]",R_SE,SE_BLOCK,1.0,72,28,0.7870014984551358,0.10749693117791612,-0.23602094000574317,0.8731135180358501,0.11478472617930427,-0.23602094000574317,17,17,0,28,2
"R_SE[SE_BLOCK,k=1.5]",R_SE,SE_BLOCK,1.5,72,19,0.79415254354145,0.10789939408553384,-0.23215870167164848,0.8744340860107248,0.11392420552757053,-0.23215870167164854,19,19,0,21,2
"R_SE[SE_BLOCK,k=2.0]",R_SE,SE_BLOCK,2.0,72,9,0.7899168721565083,0.10632603451015926,-0.2289813645926271,0.8643417801496187,0.11073798383373233,-0.2289813645926271,20,20,0,14,2
"R_SE[SE_IID,k=0.0]",R_SE,SE_IID,0.0,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,0.8851917639813826,0.11707392340265368,-0.24546687683514692,6,7,0,48,3
"R_SE[SE_IID,k=0.25]",R_SE,SE_IID,0.25,72,47,0.7894706707062342,0.10822848441934181,-0.2426734343030342,0.8777231546352283,0.11566394991164748,-0.24267343430303415,10,10,0,42,3
"R_SE[SE_IID,k=0.5]",R_SE,SE_IID,0.5,72,38,0.7819433989927549,0.10678235393710549,-0.24083370572540425,0.8727192934277755,0.11476336050857278,-0.2408337057254042,12,12,0,35,2
"R_SE[SE_IID,k=1.0]",R_SE,SE_IID,1.0,72,23,0.7891462169067935,0.10790125679287094,-0.23346160645856814,0.873805084943315,0.11478266190587244,-0.23346160645856814,18,18,0,24,2
"R_SE[SE_IID,k=1.5]",R_SE,SE_IID,1.5,72,14,0.7910929371674832,0.10632762207687213,-0.2295512304699183,0.8714222144314214,0.1120472534450096,-0.22955123046991824,21,21,0,18,2
"R_SE[SE_IID,k=2.0]",R_SE,SE_IID,2.0,72,9,0.7893571444196131,0.10559417365999607,-0.22807140002346926,0.8645906356517501,0.11017906470463104,-0.22807140002346923,21,21,0,15,2
"R_SE[SE_FOLD,k=0.0]",R_SE,SE_FOLD,0.0,72,59,0.7995575457617328,0.10995246483819039,-0.24546687683514692,0.8851917639813826,0.11707392340265368,-0.24546687683514692,6,7,0,48,3
"R_SE[SE_FOLD,k=0.25]",R_SE,SE_FOLD,0.25,72,53,0.7970782553676601,0.10976551606872097,-0.24425834050979991,0.8832572217697705,0.11689960550404208,-0.24425834050979991,7,7,0,45,3
"R_SE[SE_FOLD,k=0.5]",R_SE,SE_FOLD,0.5,72,44,0.7915861723615889,0.10819707880530464,-0.24217520611765644,0.8784345837455017,0.11546745897054916,-0.24217520611765644,10,10,0,40,2
"R_SE[SE_FOLD,k=1.0]",R_SE,SE_FOLD,1.0,72,37,0.7889461070195676,0.10775547377955697,-0.238671479261902,0.8744091811123241,0.11475757369347389,-0.238671479261902,13,13,0,36,2
"R_SE[SE_FOLD,k=1.5]",R_SE,SE_FOLD,1.5,72,27,0.7894929948011256,0.10651715381182131,-0.2352591142611333,0.8686739692237144,0.11222663865537973,-0.23525911426113322,16,16,0,31,2
"R_SE[SE_FOLD,k=2.0]",R_SE,SE_FOLD,2.0,72,24,0.7802973114913695,0.10541427454041968,-0.23525654234245266,0.8611486266571557,0.11126652956774162,-0.2352565423424526,16,16,0,28,2
