panel,basis,cost,cap,floor,n4b_full,n4b_oos,n4b_both,n4a,L_H1,L_H2,L_DD,L_CAGR
U56,SPY,10.0,-0.20230360625077404,0.1059382382916937,14,15,14,0,1,1,7,3
U56,SPY,25.0,-0.20230360625077404,0.1059382382916937,12,14,12,0,1,2,7,5
U56,PANEL_EW,10.0,-0.2648463374839774,0.17401387147485406,0,0,0,0,19,7,0,24
U56,PANEL_EW,25.0,-0.2648463374839774,0.17401387147485406,0,0,0,0,24,15,0,24
B136,SPY,10.0,-0.20229571984435818,0.10614372571434413,8,8,8,0,0,3,16,0
B136,SPY,25.0,-0.20229571984435818,0.10614372571434413,7,8,7,0,0,9,16,2
B136,PANEL_EW,10.0,-0.19791822606828052,0.15577939346774855,0,0,0,0,9,23,18,20
B136,PANEL_EW,25.0,-0.19791822606828052,0.15577939346774855,0,0,0,0,17,24,18,21
SMALL663,SPY,10.0,-0.20230360625077418,0.09840880764074142,0,0,0,0,21,22,24,20
SMALL663,SPY,25.0,-0.20230360625077418,0.09840880764074142,0,0,0,0,21,23,24,20
SMALL663,PANEL_EW,10.0,-0.2517335770563559,0.06216499496421006,0,0,0,0,18,10,24,8
SMALL663,PANEL_EW,25.0,-0.2517335770563559,0.06216499496421006,0,0,0,0,21,12,24,11
