panel,n_days,start,end,NATIVE_boundary,CALMID_boundary,offset_days,H1_cal_days,H2_cal_days
U56,4442,2009-01-13,2026-09-10,2017-11-07,2017-11-13,-6,3220,3229
B136,4439,2009-01-13,2026-09-04,2017-11-03,2017-11-09,-6,3216,3227
SMALL,3934,2011-01-13,2026-09-04,2018-11-06,2018-11-09,-3,2854,2859
