universe,book,depth,firings,mean_next1,uncond,t,mean_next5
u56,V1u,0.15,3,0.0036944895469166092,0.0006120281313678883,0.3151963532100732,0.007839938749655717
u56,V1u,0.25,0,,0.0006120281313678883,,
u56,TOP20,0.15,436,0.006725030272046854,0.0006120281313678883,3.0409063570855173,0.02120272164562244
u56,TOP20,0.25,93,0.015890153261737993,0.0006120281313678883,2.7260306825299305,0.015398418385944584
u56,EWall,0.15,1926,0.005873718344135854,0.0006120281313678883,5.696633892344976,0.01289074879400952
u56,EWall,0.25,684,0.005662471326455899,0.0006120281313678883,2.695142824503925,0.012146089650464617
broad,V1u,0.15,7,-0.007346290679865094,0.000657712286148794,-0.8111889094398856,-0.0011894342223577326
broad,V1u,0.25,0,,0.000657712286148794,,
broad,TOP20,0.15,460,0.009021198711265386,0.000657712286148794,3.9584173369890645,0.026447667523160644
broad,TOP20,0.25,82,0.02210554831687383,0.000657712286148794,3.2379315902512196,0.01794844184930739
broad,EWall,0.15,4889,0.00684770236851974,0.000657712286148794,10.37051552833577,0.014873283624454557
broad,EWall,0.25,1673,0.007464546239174407,0.000657712286148794,5.254848993582719,0.015931426130197372
