dial,selector,mode_ic,mode_share,incumbent,mode_eq_incumbent,n_loo_differs,n_selector_deviates,n
GROSS,SHARPE,1.0,0.9433962264150944,0.75,False,0,3,53
GROSS,4B,1.0,0.37735849056603776,0.75,False,0,33,53
N,SHARPE,20,0.22641509433962265,20,True,0,41,53
N,4B,15,0.3018867924528302,20,False,0,37,53
BAND,SHARPE,0.08,0.8113207547169812,0.0,False,0,10,53
BAND,4B,0.08,0.6981132075471698,0.0,False,0,16,53
CADENCE,SHARPE,M,0.8301886792452831,W,False,0,9,53
CADENCE,4B,M,0.7358490566037735,W,False,0,14,53
SLEEVE,SHARPE,0.3,1.0,0.0,False,0,0,53
SLEEVE,4B,0.0,0.49056603773584906,0.0,True,0,27,53
