claim_set,rule,n,recovered,share,mean_axes,full4,axis_N,axis_H,axis_GROSS,axis_CADENCE
CS_STRICT,R_STRICT,1658,621,0.37454764776839566,0.6357056694813028,71,268,90,345,351
CS_STRICT,R_LADDER,1658,1273,0.7677925211097708,1.410735826296743,101,739,345,797,458
CS_STRICT,R_ANY,1658,1402,0.8455971049457177,1.689384800965018,108,980,362,887,572
CS_STRICT,R_UNION,1658,1434,0.864897466827503,1.8299155609167672,124,997,372,1053,612
CS_PROX,R_STRICT,3697,1368,0.3700297538544766,0.6180687043548824,152,610,196,755,724
CS_PROX,R_LADDER,3697,2884,0.7800919664592914,1.4146605355693807,200,1730,798,1795,907
CS_PROX,R_ANY,3697,3191,0.8631322694076278,1.6975926426832566,220,2258,837,2033,1148
CS_PROX,R_UNION,3697,3255,0.8804436029212875,1.84636191506627,255,2311,861,2407,1247
CS_ALL,R_STRICT,11646,4422,0.37970118495620814,0.6475184612742573,501,2112,627,2518,2284
CS_ALL,R_LADDER,11646,9100,0.7813841662373348,1.4405804568092049,703,5491,2608,5686,2992
CS_ALL,R_ANY,11646,10172,0.8734329383479306,1.7393955006010648,800,7229,2765,6439,3824
CS_ALL,R_UNION,11646,10351,0.8888030224969947,1.8746350678344497,919,7361,2822,7574,4075
