subset,panel,N,RAW,NOISE,IQR,RANK
"ACCURACY, ALL scorable rows (2-param grid, every cell printed)",U56,42,0.8333333333333334,0.9285714285714286,0.9285714285714286,0.07142857142857142
"ACCURACY, ALL scorable rows (2-param grid, every cell printed)",B136,32,0.96875,0.90625,0.9375,0.03125
"ACCURACY, ALL scorable rows (2-param grid, every cell printed)",ALL,74,0.8918918918918919,0.918918918918919,0.9324324324324325,0.05405405405405406
PASS regime — 'which bar do I lose FIRST' (the record's census is PASSES),U56,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
PASS regime — 'which bar do I lose FIRST' (the record's census is PASSES),B136,5,0.8,0.4,0.6,0.0
PASS regime — 'which bar do I lose FIRST' (the record's census is PASSES),ALL,11,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.0
FAIL regime — 'which bar clears LAST',U56,36,0.8611111111111112,0.9722222222222222,0.9722222222222222,0.08333333333333333
FAIL regime — 'which bar clears LAST',B136,27,1.0,1.0,1.0,0.037037037037037035
FAIL regime — 'which bar clears LAST',ALL,63,0.9206349206349206,0.9841269841269841,0.9841269841269841,0.06349206349206349
THE ROWS THAT DECIDE IT — RAW and NOISE name DIFFERENT bars,U56,5,0.0,0.8,0.8,0.0
THE ROWS THAT DECIDE IT — RAW and NOISE name DIFFERENT bars,B136,2,1.0,0.0,0.5,0.0
THE ROWS THAT DECIDE IT — RAW and NOISE name DIFFERENT bars,ALL,7,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.0
