c,L,reset,n,sharpe_rng_max,sharpe_rng_med,cagr_mono,dd_mono,mean_eps
0.4,60,high,18,0.07552061363637008,0.030514363482078033,13,18,11.826666666666666
0.4,60,recover,18,0.12202194457819049,0.04256580398639892,13,18,16.066666666666666
0.4,120,high,18,0.08310369818506991,0.03668972897510858,17,17,13.864444444444445
0.4,120,recover,18,0.10410113008964073,0.037479394316497106,14,16,18.468888888888888
0.7,60,high,18,0.09037777716708456,0.04081541295351615,15,16,5.402222222222222
0.7,60,recover,18,0.10828729707838791,0.04181449265253501,13,14,6.677777777777778
0.7,120,high,18,0.08782792141320517,0.05948578338487481,10,16,5.977777777777778
0.7,120,recover,18,0.08881130799053316,0.03361376600862748,14,17,7.248888888888889
1.0,60,high,18,0.073520492636588,0.021537588903349725,14,18,2.8155555555555556
1.0,60,recover,18,0.0778076863039411,0.03710999567067458,12,16,3.126666666666667
1.0,120,high,18,0.08135141969246851,0.018616813428052714,16,17,2.891111111111111
1.0,120,recover,18,0.09327664953992754,0.04257469055584705,14,16,3.302222222222222
1.3,60,high,18,0.09124156001180428,0.025132365951176072,16,18,1.6777777777777778
1.3,60,recover,18,0.09341292662951028,0.026236711883240615,17,18,1.9622222222222223
1.3,120,high,18,0.09124233114887026,0.008899217642254431,17,16,1.54
1.3,120,recover,18,0.14606842607666926,0.018700897912357725,16,17,1.7466666666666668
1.6,60,high,18,0.0672776003817254,0.006630728167864919,16,18,1.1733333333333333
1.6,60,recover,18,0.09419279884863385,0.009998007079718485,15,17,1.4933333333333332
1.6,120,high,18,0.07282854542880901,0.005155342742721891,16,18,0.6822222222222222
1.6,120,recover,18,0.06798705063670529,0.004987277759328834,17,17,0.8422222222222222
