panel,ladder,rung_set,stat,is_path,is_trunc,rung_set_moves,n_subtapes,b_ratio,b_gap,b_sd,b_agree
B136,CADENCE,CORE,CAGR,False,False,True,6,-0.3974828231930907,-0.876547811797928,-0.4889421128489893,-0.09575495904306543
B136,CADENCE,CORE,CALMAR,True,False,True,6,-0.031873406833776805,-0.7149772651312646,-0.5594170364508739,-0.1477757379611591
B136,CADENCE,CORE,K0021,True,True,True,6,0.4957324557999171,1.0905298042823939,0.5994446978207935,0.13234340209315232
B136,CADENCE,CORE,K0063,True,True,True,6,0.3808030012139615,0.6284844378670184,0.2594642019460058,0.09815804199670167
B136,CADENCE,CORE,K0126,True,True,True,6,0.4369037384966221,0.6445546644169078,0.1903268181697914,0.08326092234014977
B136,CADENCE,CORE,K0252,True,True,True,6,0.39875405078060655,0.549419206698441,0.17871306777981197,0.06460268895139643
B136,CADENCE,CORE,K0504,True,True,True,6,0.39242445187143193,0.549419206698441,0.17233972790870306,0.04932647825258791
B136,CADENCE,CORE,MAXDD,True,False,True,6,0.38191207025368984,0.549419206698441,0.17363574482423527,0.04385583107826536
B136,CADENCE,CORE,Q0500,True,True,True,6,0.811112695502478,0.22366753147622834,-0.7004131973910874,-0.0234087273695014
B136,CADENCE,CORE,Q0750,True,True,True,6,0.6341539916413316,0.27024292764749347,-0.33934692824907015,0.06558958165446915
B136,CADENCE,CORE,Q0900,True,True,True,6,-0.3886357589776822,-0.3898599976707514,-0.09026283055804597,-0.0536761317377631
B136,CADENCE,CORE,Q0950,True,True,True,6,-0.25737021950045347,-0.10706127346825715,-0.0006072523131883503,-0.07135367948097861
B136,CADENCE,CORE,Q0990,True,True,True,6,-0.251180302796719,0.04748020580704915,0.11487399741168663,-0.09415059007329407
B136,CADENCE,CORE,Q0999,True,True,True,6,0.2539788555754228,0.44778281369916156,0.1199944656250291,0.026336643452049367
B136,CADENCE,CORE,SHARPE,False,False,True,6,-0.10856901904151486,-0.6012826870501853,-0.46452912039596356,-0.03875721806531176
B136,CADENCE,CORE,ULCER,True,False,True,6,0.043714255675372335,-0.12498244248879437,-0.248094814640491,-0.03094684420331194
B136,CADENCE,CORE,VOL,False,False,True,6,0.04848698452833912,0.00446877912171301,-0.02620493851607101,-0.0039038343154853827
B136,CADENCE,EXT,CAGR,False,False,True,6,-0.14160871987983087,-0.6874574185875331,-0.4558406912738137,-0.033585136564867654
B136,CADENCE,EXT,CALMAR,True,False,True,6,-0.07406104789815518,-0.752921002068749,-0.620572363908784,-0.06505142799079061
B136,CADENCE,EXT,K0021,True,True,True,6,0.33422825206149914,0.5862416225841295,0.23613070919709295,0.040832788145303715
B136,CADENCE,EXT,K0063,True,True,True,6,0.13650461510377526,0.18571010161372656,0.046539085070346396,0.10663191677025344
