seed,panel,h,d,wins,cells,delisted
435,U56,0.03,1,1,4,8
435,U56,0.03,2,2,4,15
435,U56,0.03,3,2,4,18
435,U56,0.08,1,2,4,11
435,U56,0.08,2,2,4,18
435,U56,0.08,3,2,4,22
435,U56,0.2,1,4,4,17
435,U56,0.2,2,2,4,22
435,U56,0.2,3,1,4,30
435,SMALL439,0.03,1,0,12,44
435,SMALL439,0.03,2,0,12,80
435,SMALL439,0.03,3,0,12,124
1,U56,0.03,1,1,4,9
1,U56,0.03,2,1,4,14
1,U56,0.03,3,2,4,19
1,U56,0.08,1,2,4,14
1,U56,0.08,2,1,4,19
1,U56,0.08,3,1,4,28
1,U56,0.2,1,3,4,16
1,U56,0.2,2,0,4,22
1,U56,0.2,3,1,4,35
1,SMALL439,0.03,1,0,12,40
1,SMALL439,0.03,2,0,12,79
1,SMALL439,0.03,3,0,12,105
2,U56,0.03,1,0,4,9
2,U56,0.03,2,0,4,16
2,U56,0.03,3,0,4,22
2,U56,0.08,1,1,4,11
2,U56,0.08,2,2,4,19
2,U56,0.08,3,2,4,30
2,U56,0.2,1,2,4,14
2,U56,0.2,2,2,4,23
2,U56,0.2,3,2,4,33
2,SMALL439,0.03,1,0,12,43
2,SMALL439,0.03,2,0,12,81
2,SMALL439,0.03,3,0,12,120
3,U56,0.03,1,0,4,5
3,U56,0.03,2,0,4,15
3,U56,0.03,3,0,4,21
3,U56,0.08,1,2,4,11
3,U56,0.08,2,4,4,19
3,U56,0.08,3,2,4,24
3,U56,0.2,1,2,4,15
3,U56,0.2,2,2,4,23
3,U56,0.2,3,2,4,31
3,SMALL439,0.03,1,0,12,41
3,SMALL439,0.03,2,0,12,78
3,SMALL439,0.03,3,0,12,116
4,U56,0.03,1,0,4,4
4,U56,0.03,2,0,4,6
4,U56,0.03,3,0,4,14
4,U56,0.08,1,0,4,13
4,U56,0.08,2,0,4,16
4,U56,0.08,3,1,4,24
4,U56,0.2,1,2,4,17
4,U56,0.2,2,2,4,23
4,U56,0.2,3,2,4,32
4,SMALL439,0.03,1,0,12,39
4,SMALL439,0.03,2,0,12,75
4,SMALL439,0.03,3,0,12,115
5,U56,0.03,1,1,4,8
5,U56,0.03,2,2,4,14
5,U56,0.03,3,2,4,17
5,U56,0.08,1,2,4,13
5,U56,0.08,2,4,4,21
5,U56,0.08,3,4,4,27
5,U56,0.2,1,4,4,17
5,U56,0.2,2,2,4,25
5,U56,0.2,3,1,4,32
5,SMALL439,0.03,1,0,12,42
5,SMALL439,0.03,2,0,12,78
5,SMALL439,0.03,3,0,12,114
6,U56,0.03,1,0,4,7
6,U56,0.03,2,0,4,13
6,U56,0.03,3,0,4,16
6,U56,0.08,1,1,4,10
6,U56,0.08,2,1,4,20
6,U56,0.08,3,2,4,26
6,U56,0.2,1,2,4,15
6,U56,0.2,2,2,4,25
6,U56,0.2,3,1,4,33
6,SMALL439,0.03,1,0,12,38
6,SMALL439,0.03,2,0,12,78
6,SMALL439,0.03,3,0,12,109
7,U56,0.03,1,0,4,7
7,U56,0.03,2,0,4,14
7,U56,0.03,3,0,4,21
7,U56,0.08,1,0,4,12
7,U56,0.08,2,0,4,22
7,U56,0.08,3,0,4,28
7,U56,0.2,1,4,4,15
7,U56,0.2,2,4,4,24
7,U56,0.2,3,1,4,31
7,SMALL439,0.03,1,0,12,39
7,SMALL439,0.03,2,0,12,82
7,SMALL439,0.03,3,0,12,123
