family,spread_measure,cells,share_oom,med_ratio,med_rho,argmax_move
NRM_NULLSD,S_MAXMIN,12,0.0,1.2377273602685175,0.4761904761904762,0.4166666666666667
NRM_NULLSD,S_RANGEMED,12,0.08333333333333333,1.2177675569434574,0.4761904761904762,0.4166666666666667
NRM_NULLSD,S_CV,12,0.16666666666666666,1.0559657711518975,0.4761904761904762,0.4166666666666667
NRM_NULLSD,S_IQRMED,12,0.08333333333333333,0.9948433967470943,0.4761904761904762,0.4166666666666667
NRM_POOLMEAN,S_MAXMIN,12,0.0,1.1668701269929524,1.0,0.0
NRM_POOLMEAN,S_RANGEMED,12,1.0,inf,1.0,0.0
NRM_POOLMEAN,S_CV,12,1.0,inf,1.0,0.0
NRM_POOLMEAN,S_IQRMED,12,1.0,inf,1.0,0.0
NRM_TURNOVER,S_MAXMIN,12,0.0,0.5790256538225032,1.0,0.0
NRM_TURNOVER,S_RANGEMED,12,0.0,0.11495017403258155,1.0,0.0
NRM_TURNOVER,S_CV,12,0.0,0.11712004429991744,1.0,0.0
NRM_TURNOVER,S_IQRMED,12,0.0,0.12019777949869585,1.0,0.0
NRM_GROSS,S_MAXMIN,6,0.0,1.7291666666666667,1.0,0.0
NRM_GROSS,S_RANGEMED,6,0.5,inf,1.0,0.0
NRM_GROSS,S_CV,6,0.5,inf,1.0,0.0
NRM_GROSS,S_IQRMED,6,0.5,inf,1.0,0.0
NRM_VOL20,S_MAXMIN,3,0.0,1.63349370336183,0.6515883640793025,0.4633658008658008
NRM_VOL20,S_RANGEMED,3,0.0,1.25691240783359,0.6515883640793025,0.4633658008658008
NRM_VOL20,S_CV,3,0.0,1.3085326378559434,0.6515883640793025,0.4633658008658008
NRM_VOL20,S_IQRMED,3,0.0,1.430739749076802,0.6515883640793025,0.4633658008658008
NRM_D2,S_MAXMIN,12,0.0,0.24161870126894464,,
