panel,family,n,dial,names,turnover,CAGR_0,Sharpe_0,MaxDD_0,H1_0,H2_0,OOS_Sharpe_0,OOS_CAGR_0,OOS_MaxDD_0,p4a_0,f4a_0,p4b_0,f4b_0,CAGR_10,Sharpe_10,MaxDD_10,H1_10,H2_10,OOS_Sharpe_10,OOS_CAGR_10,OOS_MaxDD_10,p4a_10,f4a_10,p4b_10,f4b_10,CAGR_25,Sharpe_25,MaxDD_25,H1_25,H2_25,OOS_Sharpe_25,OOS_CAGR_25,OOS_MaxDD_25,p4a_25,f4a_25,p4b_25,f4b_25
U56,MAB-EWALL,ALL,0.0,38.39445821130885,7.615898615619929,0.12403590956129817,1.1636492762118542,-0.18479622870281576,1.242621184285847,1.1073488361098016,1.1813737277586662,0.1329561482548618,-0.18479622870281565,False,"H1,H2,DD",True,,0.11550691660622414,1.090938120625819,-0.18647417592895044,1.1669184271720376,1.036562182003239,1.1117793930546764,0.124295319280882,-0.18647417592895044,False,"H1,H2,DD",True,,0.1028300216789182,0.9816354478187442,-0.18898692082638613,1.0530504697277103,0.9301972371783876,1.0071789681137022,0.11142335315888863,-0.18898692082638602,False,"H1,H2,DD",False,CAGR
U56,MAB-EWALL,ALL,0.01,38.45640910114891,6.391218141380163,0.12655283288469565,1.1864645040431947,-0.1806231270029225,1.2675962328872425,1.1273044402881345,1.2007127598225438,0.13475967489408291,-0.18062312700292227,False,"H2,DD",True,,0.11937464527975972,1.1253175666248252,-0.18219459558282247,1.2052972006213416,1.0666949135332189,1.14151509248373,0.12741579292362548,-0.18219459558282247,False,"H1,H2,DD",True,,0.10868952263514897,1.0334032509337874,-0.18454822338038268,1.1116010012979909,0.9756238837563365,1.052543539330899,0.11648532369934506,-0.18454822338038257,False,"H1,H2,DD",True,
U56,MAB-EWALL,ALL,0.03,38.42644739806263,4.315175079344066,0.1273546938345249,1.2027569429248082,-0.17597494915550138,1.2536570293407223,1.1695033215854613,1.2423547289860564,0.1390081485505983,-0.1759749491555016,False,"H2,DD",True,,0.12249777558680797,1.1609204001925355,-0.1771479023734388,1.2103699142360638,1.1285808233951855,1.2025269424250273,0.13410612540663402,-0.17714790237343914,False,"H1,H2,DD",True,,0.11524963851688974,1.098061470048422,-0.17890569358009412,1.145293903412654,1.0671200571106445,1.1426969456337832,0.12679061450189266,-0.1789056935800939,False,"H1,H2,DD",True,
U56,MAB-EWALL,ALL,0.05,37.09574228429827,3.4936987254357104,0.1313232365955479,1.1872397053685422,-0.1836088111392008,1.230729740259136,1.1604552493670242,1.231935149263947,0.1442630296340246,-0.18360881113920058,False,"H1,H2,DD",True,,0.12737498063590258,1.1548230487120548,-0.18473498481098227,1.1976909821422743,1.1283456429754293,1.2006737833596028,0.14022865053495193,-0.18473498481098194,False,"H1,H2,DD",True,,0.12147689280848395,1.1061188581756318,-0.18642288266861984,1.1480223984294,1.0801230629034908,1.153715194543535,0.1342020644127484,-0.18642288266861984,False,"H1,H2,DD",True,
U56,MAB-EWALL,ALL,0.08,36.613651723361116,2.6034037360782367,0.1352205690033763,1.2018761425404354,-0.19600337662634015,1.2871804921794967,1.1453677102444506,1.2088295874884825,0.14486481355466418,-0.1960033766263397,False,"H2,DD",True,,0.13226630405159923,1.1780309134475953,-0.1970055137009964,1.2638980486222329,1.1208902016510491,1.184978156760947,0.1417149748420583,-0.1970055137009965,False,"H2,DD",True,,0.12784833192444434,1.1422122132777666,-0.19850807240927748,1.2288971709452619,1.084141509210744,1.14916354301692,0.13700534575826118,-0.1985080724092778,False,"H2,DD",True,
U56,MAB-EWALL,ALL,0.12,36.70421266050912,1.9344836951103337,0.1423980362111401,1.2439617706262627,-0.19348000641665808,1.2775367754088884,1.2233398709049248,1.2844513289446058,0.1539521085303761,-0.19348000641665786,False,DD,True,,0.1401873835567995,1.2263931316299044,-0.1941939104979462,1.2610791025194314,1.2047616732799709,1.2662268036768585,0.15155854069853292,-0.19419391049794632,False,DD,True,,0.13687882334835377,1.2000103908327182,-0.1952645103468894,1.2363464580200334,1.1768777163950175,1.2388703903668383,0.14797684899257857,-0.1952645103468894,False,DD,True,
U56,MAB-TOPN,10,0.0,9.824284748817302,14.686610712021187,0.14747059147755937,1.03265600920204,-0.17473594747739718,1.0133176229315972,1.0557350886346264,1.0870830945898762,0.1659187403950242,-0.17473594747739718,False,"H1,H2,DD",True,,0.13075835389295642,0.9304570940525174,-0.17538190355779537,0.9033560162108623,0.9593984028717507,0.9889777884605897,0.14862652556496214,-0.17538190355779526,False,"H1,H2,DD",False,H1,0.10613412971800273,0.776685496841767,-0.17635035763299522,0.7378776142575562,0.8144644300657055,0.8413629029505785,0.123156403243313,-0.17635035763299522,False,"H1,H2,DD",False,"H1,H2,OOS,CAGR"
U56,MAB-TOPN,10,0.01,9.821581437260644,14.621205339168368,0.14842465431825036,1.0380035973452295,-0.1747359474773973,1.0211797275714496,1.0589871200786058,1.0900895582829842,0.16651900791713192,-0.1747359474773974,False,"H1,H2,DD",True,,0.13177268168112688,0.9363208706319022,-0.17538190355779515,0.9115491349055053,0.9633309953174275,0.992618952992534,0.14932280262883024,-0.17538190355779537,False,"H1,H2,DD",False,H1,0.10723520977576495,0.7833199270018089,-0.17635035763299567,0.7465508671077085,0.8194224811368276,0.8459606442719588,0.12399120772884165,-0.17635035763299545,False,"H1,H2,DD",False,"H1,H2,OOS"
U56,MAB-TOPN,10,0.03,9.814823158369002,14.361713872400108,0.15029851174148967,1.0514621003960407,-0.1747359474773975,1.03440199383801,1.073050220220545,1.1031972784723503,0.16879496595775678,-0.1747359474773973,False,"H1,H2,DD",True,,0.13391364484206258,0.9513737314597825,-0.1753819035577956,0.9255136397324659,0.979640930325892,1.0078193625787795,0.15192981124205374,-0.17538190355779548,False,"H1,H2,DD",False,H1,0.10976219681750954,0.8007693537137578,-0.17635035763299556,0.7616467764660306,0.839099830204326,0.8642975093877736,0.12707632421887816,-0.17635035763299556,False,"H1,H2,DD",False,"H1,OOS"
U56,MAB-TOPN,10,0.05,9.77337238116693,14.213396334165516,0.15068943389744804,1.049358566868567,-0.1747359474773974,1.012819389984843,1.0873700394424475,1.1162552569901805,0.17205139983408557,-0.1747359474773974,False,"H1,H2,DD",True,,0.13446859191407445,0.9508500265664998,-0.17538190355779526,0.9053300529075639,0.9956694927473005,1.022492775324041,0.1553203143726638,-0.17538190355779504,False,"H1,H2,DD",False,H1,0.11055450953794121,0.8026039261289422,-0.17635035763299556,0.7435734942017547,0.8576656026657229,0.8813692570748692,0.13065953888295678,-0.17635035763299567,False,"H1,H2,DD",False,"H1,OOS"
U56,MAB-TOPN,10,0.08,9.78666366298716,13.97344422727106,0.15196585553300568,1.055688567313561,-0.17473594747739696,1.0338320410437103,1.0812267669567401,1.1105321788456923,0.17103537241626277,-0.1747359474773973,False,"H1,H2,DD",True,,0.13599910915664415,0.9589836844673705,-0.17538190355779526,0.9279927487648624,0.9915240608290675,1.0186305850657937,0.15464561164988755,-0.17538190355779526,False,"H1,H2,DD",False,H1,0.1124526885888506,0.8134577078476478,-0.17635035763299556,0.7687262449667656,0.8565329403104962,0.8803139299286022,0.13047964266371204,-0.17635035763299556,False,"H1,H2,DD",False,"H1,OOS"
U56,MAB-TOPN,10,0.12,9.805812119846813,13.543319006559585,0.1591824750516042,1.101615759274129,-0.17473594747739718,1.0986328061303057,1.1108859186179247,1.1384511676439473,0.17496532463798387,-0.17473594747739696,False,"H1,H2,DD",True,,0.14360321768535322,1.0074902124542322,-0.17538190355779537,0.9966999475072872,1.0227857049864086,1.048010945102891,0.15889749650263263,-0.17538190355779537,False,"H1,H2,DD",True,,0.1206161302535369,0.8658952071043011,-0.17635035763299545,0.8433699090689506,0.8902495165388321,0.9119358911181262,0.13519668659906459,-0.17635035763299556,False,"H1,H2,DD",False,H1
