panel,N,H,gross,cadence,full_CAGR,full_Sharpe,full_MaxDD,h1_CAGR,h1_Sharpe,h1_MaxDD,h2_CAGR,h2_Sharpe,h2_MaxDD,is__CAGR,is__Sharpe,is__MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a,keep4b,fail4a,fail4b
U56,10,126,0.75,W,0.17143120060429773,1.11368499380519,-0.20771055519190806,0.1790891384400275,1.2460786161264206,-0.18868682738359055,0.16382640930174364,1.00703012526175,-0.20771055519190762,0.16412623481870003,1.140905835950679,-0.18868682738359055,0.17747418066673992,1.0974346731743851,-0.20771055519190773,False,False,"H2,DD",DD
U56,12,126,0.75,W,0.17693915159214124,1.1687398571612753,-0.20169232195329845,0.17722686745642724,1.2743664631061042,-0.16104858578491654,0.17665163536723538,1.088643924366616,-0.20169232195329811,0.162793152807843,1.1664081732806384,-0.16104858578491654,0.1887037168821093,1.1750718567424734,-0.20169232195329867,False,True,"H2,DD",-
U56,15,126,0.75,W,0.1701535773900349,1.1634816395513727,-0.20974138929433583,0.16156529682535603,1.2514568166567486,-0.1447822746368369,0.17880145270885728,1.108748594755413,-0.20974138929433617,0.14691867859777452,1.1333503228153903,-0.1447822746368369,0.18961763408172527,1.1928585103411742,-0.20974138929433594,False,False,"H2,DD",DD
U56,20,10,0.75,W,0.13513519601955992,1.0940917178290157,-0.19330056547489605,0.12798427167227167,1.1325539668218192,-0.11384453417758567,0.14232820812532565,1.069035846109609,-0.19330056547489582,0.11637194331010381,1.0229954508643888,-0.11384453417758567,0.15080488730094954,1.149374252546475,-0.19330056547489605,False,True,"H1,H2,DD",-
U56,20,126,0.25,W,0.051531236416997084,1.1403795182492829,-0.06691436688214492,0.04887724555359174,1.2033280118004477,-0.04745231047305232,0.054190744843539695,1.0987520583676835,-0.06691436688214458,0.046057049179390575,1.110577923175107,-0.04745231047305232,0.05605544593994782,1.1665879955127398,-0.06691436688214492,False,False,"H1,H2",CAGR
U56,20,126,0.35,W,0.07232237467147096,1.1408674034579558,-0.09276262093657028,0.06863847819226354,1.2037798066273198,-0.06617688958777745,0.07601730557600272,1.0993045861977264,-0.0927626209365695,0.06459301768157433,1.1109772029091436,-0.06617688958777745,0.07872213329434019,1.1671481434095423,-0.0927626209365704,False,False,"H1,H2",CAGR
U56,20,126,0.45,W,0.09319721630336009,1.141319831211109,-0.11809416190976652,0.08850615533905648,1.204195250764425,-0.08474957582170428,0.09790637107774125,1.0998241823625476,-0.1180941619097654,0.08317819551996641,1.111340409634933,-0.08474957582170428,0.10150769692397188,1.1676737036194167,-0.11809416190976596,False,False,"H1,H2",CAGR
U56,20,126,0.55,W,0.11414256030795089,1.1417345332781652,-0.14291446302138822,0.10847035388101367,1.2045722768849652,-0.10316658467755369,0.11984122220409654,1.1003084761039161,-0.14291446302138833,0.10180173680267068,1.1116671822692745,-0.10316658467755369,0.12439693213249892,1.1681610601265848,-0.14291446302138833,False,True,"H1,H2,DD",-
U56,20,126,0.65,W,0.13514414386957507,1.1421061141378128,-0.16728468172913113,0.12851974421089363,1.2049010226209615,-0.1214254415441236,0.14180442383459813,1.1007557293915742,-0.16728468172913113,0.12045112225841059,1.1119459969133458,-0.1214254415441236,0.14737406699094113,1.1686091740950164,-0.1672846817291309,False,True,"H1,H2,DD",-
U56,20,126,0.75,2M,0.15038171660741928,1.1152324531544264,-0.21713130064877795,0.1429540067804178,1.193768521042153,-0.16479838657634371,0.15785432446122782,1.0655364403004353,-0.21713130064877773,0.12825294595770242,1.0593073490585698,-0.16479838657634371,0.16890848375048328,1.1607553336362288,-0.21713130064877761,False,False,"H1,H2,DD",DD
