scope,n,pass4a_v2,pass4a_v1,pass4b_full,pass4b_oos,both
all rows,1224,28,465,198,222,8
cost 0bps,408,23,94,110,110,6
cost 10bps,408,5,146,66,76,2
cost 25bps,408,0,225,22,36,0
panel u56,459,17,131,127,161,6
panel broad,459,11,251,71,61,2
panel small,306,0,83,0,0,0
