frac_ladder,fracs,endpoint,ladder_sd,cmatch,logspan,cmnorm,elast,slope,r2
F_1140,1/1+1/2+1/3,2.197724639846637,1.1113223913800774,1.465149759897758,0.732574879948879,2.1972245773362196,2.1972245773362196,2.0,1.0
F_FINE,1/1+1/2+1/3+1/4+1/6,3.5855199391232766,1.3716620041023058,1.7114668478732888,0.8557334239366444,2.1972245773362196,2.1972245773362196,2.0,1.0
F_FINER,1/1+1/2+1/3+1/4+1/5+1/6+1/8,4.158883083359672,1.4200005822893027,1.704404913438796,0.8522024567193976,2.1972245773362205,2.1972245773362187,1.9999999999999993,1.0
F_DENSE,1/1+1/2+1/3+1/4+1/5+1/6+1/7+1/8,4.158883083359672,1.4071452009767824,1.6520352529584557,0.8260176264792279,2.197224577336219,2.197224577336219,1.9999999999999996,1.0
F_LONG,1/1+1/2+1/3+1/4+1/6+1/8+1/12,4.971814300243167,1.7001338607030627,2.0808014899510194,1.0404007449755097,2.1972245773362196,2.1972245773362196,2.0,1.0
