claim_set,quantity,cls,C_1252,C_1246,C_1260,C_1252_VINTAGE,swing
CS_ALL,do_nothing,LEVEL,0.8289395434118787,0.7922475401971669,0.7922475401971669,0.8267722993734866,0.03669200321471178
CS_ALL,always_act,LEVEL,0.8378659300699693,0.8015992709093419,0.8016998115247317,0.8357236911818844,0.036266659160627435
CS_ALL,delta,DELTA,0.008926386658090528,0.009351730712174842,0.009452271327564606,0.008951391808397846,0.0005258846694740776
CS_ALL,t_delta,DELTA,0.6619492726079775,0.7154719027955139,0.7234685744014113,0.6646786100831014,0.06151930179343379
CS_ALL,n_moved,COUNT,58.0,59.0,59.0,58.0,1.0
CS_ALL,mean_d_full,DELTA,0.01814473824671123,0.020619750815787798,0.020697169465400678,0.01815253746258973,0.0025524312186894493
CS_SHARPE,do_nothing,LEVEL,0.8289395434118787,0.792247540197167,0.792247540197167,0.8267722993734866,0.036692003214711666
CS_SHARPE,always_act,LEVEL,0.8426129516652624,0.7984870101975817,0.7985955872440865,0.840306225099044,0.044125941467680674
CS_SHARPE,delta,DELTA,0.013673408253383694,0.0062394700004148665,0.006348047046919489,0.01353392572555741,0.0074339382529688275
CS_SHARPE,t_delta,DELTA,0.6554105304898936,0.3021937299233645,0.3074683198487555,0.6495105734391362,0.3532168005665291
CS_SHARPE,n_moved,COUNT,17.0,18.0,18.0,17.0,1.0
CS_SHARPE,mean_d_full,DELTA,0.026881857279634613,0.025710625409561556,0.02583582281604983,0.02679089890108687,0.001171231870073057
CS_LARGE,do_nothing,LEVEL,0.9835294386486845,0.9835294386486845,0.9835294386486845,0.9802785725910962,0.0032508660575882864
CS_LARGE,always_act,LEVEL,0.9850030676979212,0.9850030676979212,0.9850030676979212,0.981789709365794,0.003213358332127214
CS_LARGE,delta,DELTA,0.0014736290492366095,0.0014736290492366095,0.0014736290492366095,0.001511136774697587,3.7507725460977524e-05
CS_LARGE,t_delta,DELTA,0.09262346587207994,0.09262346587207994,0.09262346587207994,0.095182805186611,0.0025593393145310617
CS_LARGE,n_moved,COUNT,38.0,38.0,38.0,38.0,0.0
CS_LARGE,mean_d_full,DELTA,0.007144845841084713,0.007144845841084713,0.007144845841084713,0.007156544664902465,1.1698823817751954e-05
CS_NODEG,do_nothing,LEVEL,0.8289395434118788,0.7922475401971673,0.7922475401971673,0.8267722993734866,0.036692003214711555
CS_NODEG,always_act,LEVEL,0.8408358719398381,0.8046525128547997,0.8047865670086526,0.8387006373050406,0.03618335908503845
CS_NODEG,delta,DELTA,0.011896328527959403,0.012404972657632836,0.012539026811485854,0.011928337931554064,0.0006426982835264512
CS_NODEG,t_delta,DELTA,0.660905132953902,0.7110996127428599,0.7191060715374421,0.6635627024241794,0.05820093858354014
CS_NODEG,n_moved,COUNT,46.0,47.0,47.0,46.0,1.0
CS_NODEG,mean_d_full,DELTA,0.02419231131830482,0.02746694468867252,0.02756915946733404,0.024201950177205337,0.003376848149029218
