window,mean_gap,sign_pairs,pairs,mean_gap_d3
IS,-0.05236385836385836,5,10,-0.021113858363858363
OOS,0.2072841460225361,7,10,0.2072841460225361
full,0.17408227307608112,7,10,0.22256192380031387
