corpus,window,step,conv,rung,n_is,n_oos,is_exact,oos_exact,gap,is_QRAB,oos_QRAB,is_rho,oos_rho
ASOF,504,21,WINDOW,0.0,72,92,0.0,0.16304347826086957,0.16304347826086957,0.5555555555555556,0.8804347826086957,0.1013087310286104,0.4659350587367873
ASOF,504,21,WINDOW,10.0,72,92,0.0,0.11956521739130435,0.11956521739130435,0.5833333333333334,0.8695652173913043,0.14433756729740643,0.44128343707992734
ASOF,504,21,WINDOW,25.0,72,92,0.0,0.09782608695652174,0.09782608695652174,0.5416666666666666,0.8695652173913043,0.10267090063073978,0.4358486544712317
ASOF,504,21,FULL,0.0,72,92,0.3472222222222222,0.2608695652173913,-0.08635265700483091,0.8611111111111112,0.8695652173913043,0.5550569668769133,0.5173703936016665
ASOF,504,21,FULL,10.0,72,92,0.2222222222222222,0.29347826086956524,0.07125603864734303,0.8472222222222222,0.8695652173913043,0.47358439182435164,0.5282399588190578
ASOF,504,21,FULL,25.0,72,92,0.1111111111111111,0.391304347826087,0.28019323671497587,0.875,0.8695652173913043,0.43563924171922835,0.5905448589013281
ASOF,504,63,WINDOW,0.0,24,31,0.0,0.12903225806451613,0.12903225806451613,0.5833333333333334,0.9032258064516129,0.1290865088063882,0.4795492065736916
ASOF,504,63,WINDOW,10.0,24,31,0.0,0.12903225806451613,0.12903225806451613,0.5833333333333334,0.9032258064516129,0.14433756729740646,0.4795492065736916
ASOF,504,63,WINDOW,25.0,24,31,0.0,0.12903225806451613,0.12903225806451613,0.5,0.9032258064516129,0.06100423396407312,0.4795492065736916
ASOF,504,63,FULL,0.0,24,31,0.4166666666666667,0.25806451612903225,-0.15860215053763443,0.875,0.8709677419354839,0.6138354503153699,0.5
ASOF,504,63,FULL,10.0,24,31,0.20833333333333334,0.25806451612903225,0.04973118279569891,0.8333333333333334,0.8709677419354839,0.4680021169820366,0.5118072710898206
ASOF,504,63,FULL,25.0,24,31,0.125,0.3548387096774194,0.22983870967741937,0.875,0.8709677419354839,0.4375,0.5720016389538348
ASOF,504,126,WINDOW,0.0,12,16,0.0,0.0625,0.0625,0.5833333333333334,0.875,0.14433756729740646,0.40625
ASOF,504,126,WINDOW,10.0,12,16,0.0,0.0625,0.0625,0.5833333333333334,0.875,0.14433756729740646,0.40625
ASOF,504,126,WINDOW,25.0,12,16,0.0,0.125,0.125,0.5,0.875,0.06100423396407314,0.4375
ASOF,504,126,FULL,0.0,12,16,0.25,0.25,0.0,0.75,0.875,0.4360042339640731,0.5
ASOF,504,126,FULL,10.0,12,16,0.08333333333333333,0.25,0.16666666666666669,0.75,0.875,0.3221687836487032,0.5228765877365275
ASOF,504,126,FULL,25.0,12,16,0.08333333333333333,0.375,0.2916666666666667,0.8333333333333334,0.875,0.375,0.6082531754730549
ASOF,756,21,WINDOW,0.0,60,80,0.0,0.15,0.15,0.6,0.8,0.13660254037844385,0.4
ASOF,756,21,WINDOW,10.0,60,80,0.0,0.1625,0.1625,0.43333333333333335,0.85,0.03317301761277635,0.4666265877365275
ASOF,756,21,WINDOW,25.0,60,80,0.0,0.225,0.225,0.4166666666666667,0.85,0.00817301761277635,0.4716506350946109
ASOF,756,21,FULL,0.0,60,80,0.45,0.225,-0.225,0.8666666666666667,0.8,0.5916666666666667,0.4375
ASOF,756,21,FULL,10.0,60,80,0.21666666666666667,0.2875,0.0708333333333333,0.8666666666666667,0.85,0.475,0.5108253175473055
ASOF,756,21,FULL,25.0,60,80,0.05,0.375,0.325,0.8666666666666667,0.8625,0.39776709006307404,0.5545753175473054
ASOF,756,63,WINDOW,0.0,20,27,0.0,0.14814814814814814,0.14814814814814814,0.65,0.7777777777777778,0.2049038105676658,0.3888888888888889
ASOF,756,63,WINDOW,10.0,20,27,0.0,0.14814814814814814,0.14814814814814814,0.45,0.8518518518518519,0.0415063509461097,0.4851139337538266
ASOF,756,63,WINDOW,25.0,20,27,0.0,0.25925925925925924,0.25925925925925924,0.45,0.8518518518518519,0.0415063509461097,0.5085944743544029
ASOF,756,63,FULL,0.0,20,27,0.4,0.25925925925925924,-0.14074074074074078,0.85,0.7777777777777778,0.55,0.4444444444444444
ASOF,756,63,FULL,10.0,20,27,0.25,0.2962962962962963,0.04629629629629628,0.85,0.8518518518518519,0.475,0.5320750149549792
ASOF,756,63,FULL,25.0,20,27,0.1,0.4074074074074074,0.30740740740740735,0.85,0.8518518518518519,0.418301270189222,0.5555555555555556
ASOF,756,126,WINDOW,0.0,10,14,0.0,0.07142857142857142,0.07142857142857142,0.6,0.7857142857142857,0.13660254037844388,0.35714285714285715
ASOF,756,126,WINDOW,10.0,10,14,0.0,0.07142857142857142,0.07142857142857142,0.5,0.8571428571428571,0.07320508075688777,0.47129115795380827
ASOF,756,126,WINDOW,25.0,10,14,0.0,0.21428571428571427,0.21428571428571427,0.4,0.8571428571428571,-0.026794919243112236,0.4904303859846028
ASOF,756,126,FULL,0.0,10,14,0.4,0.21428571428571427,-0.18571428571428575,0.8,0.7857142857142857,0.5,0.42857142857142855
ASOF,756,126,FULL,10.0,10,14,0.2,0.2857142857142857,0.08571428571428569,0.8,0.8571428571428571,0.4,0.5261446716988886
ASOF,756,126,FULL,25.0,10,14,0.2,0.42857142857142855,0.22857142857142854,0.8,0.8571428571428571,0.4,0.5714285714285714
