panel,window,ranking,clear20,full4b,lowest_g_4b,best_CAGR
U56,FULL,TOP,13,8,0.50,0.30019195135564125
U56,FULL,BOTTOM,1,4,0.85,0.13393491456660778
U56,FULL,ALPHA,12,11,0.50,0.2906183073562154
U56,IS,TOP,10,3,0.50,0.2936448971100625
U56,IS,BOTTOM,0,1,1.00,0.11834911193235453
U56,IS,ALPHA,9,6,0.50,0.2722645490642104
U56,OOS,TOP,14,9,0.50,0.30559977944288197
U56,OOS,BOTTOM,3,6,0.75,0.14691220520230575
U56,OOS,ALPHA,13,12,0.50,0.30590701630268513
B136,FULL,TOP,13,3,0.60,0.28560184200671124
B136,FULL,BOTTOM,0,1,1.00,0.11051932868630909
B136,FULL,ALPHA,11,3,0.60,0.2063343633012975
B136,IS,TOP,14,7,0.50,0.27923633723904207
B136,IS,BOTTOM,1,2,0.85,0.1328586601198667
B136,IS,ALPHA,11,5,0.60,0.1968980697970022
B136,OOS,TOP,13,1,0.75,0.29085930661557424
B136,OOS,BOTTOM,0,0,NONE,0.10473004292318344
B136,OOS,ALPHA,12,2,0.60,0.21483527011803294
