phi,delta,point_admits,point_floor_lb,point_dd_lb,fam100_admits,fam100_floor_lb,fam100_dd_lb,fam130_admits,fam130_floor_lb,fam130_dd_lb
0.0,0.4,12,0,92,108,0,1,108,0,1
0.0,0.5,25,0,79,108,0,1,108,0,1
0.0,0.6,56,0,48,109,0,0,109,0,0
0.0,0.7,85,0,19,109,0,0,109,0,0
0.0,0.8,104,0,0,109,0,0,109,0,0
0.0,1.0,104,0,0,109,0,0,109,0,0
0.5,0.4,7,5,92,51,57,49,54,54,52
0.5,0.5,20,5,79,98,10,2,104,4,2
0.5,0.6,51,5,48,100,9,0,106,3,0
0.5,0.7,80,5,19,100,9,0,106,3,0
0.5,0.8,99,5,0,100,9,0,106,3,0
0.5,1.0,99,5,0,100,9,0,106,3,0
0.6,0.4,0,12,83,8,100,75,10,98,93
0.6,0.5,6,19,77,55,53,28,68,40,35
0.6,0.6,35,21,48,82,27,1,102,7,1
0.6,0.7,64,21,19,83,26,0,103,6,0
0.6,0.8,83,21,0,83,26,0,103,6,0
0.6,1.0,83,21,0,83,26,0,103,6,0
0.7,0.4,0,12,76,0,108,76,0,108,94
0.7,0.5,3,22,73,19,89,57,23,85,71
0.7,0.6,29,27,47,58,51,18,72,37,22
0.7,0.7,57,28,19,75,34,1,93,16,1
0.7,0.8,76,28,0,76,33,0,94,15,0
0.7,1.0,76,28,0,76,33,0,94,15,0
0.8,0.4,0,12,55,0,108,55,0,108,82
0.8,0.5,1,24,54,2,106,53,2,106,80
0.8,0.6,14,42,41,25,84,30,37,72,45
0.8,0.7,36,49,19,50,59,5,73,36,9
0.8,0.8,55,49,0,55,54,0,82,27,0
0.8,1.0,55,49,0,55,54,0,82,27,0
0.9,0.4,0,12,27,0,108,27,0,108,75
0.9,0.5,0,25,27,0,108,27,0,108,75
0.9,0.6,5,51,22,8,101,19,13,96,62
0.9,0.7,15,70,12,17,92,10,48,61,27
0.9,0.8,27,77,0,27,82,0,70,39,5
0.9,1.0,27,77,0,27,82,0,75,34,0
1.0,0.4,0,12,3,0,108,3,0,108,64
1.0,0.5,0,25,3,0,108,3,0,108,64
1.0,0.6,0,56,3,0,109,3,1,108,63
1.0,0.7,2,83,1,2,107,1,18,91,46
1.0,0.8,3,101,0,3,106,0,43,66,21
1.0,1.0,3,101,0,3,106,0,64,45,0
