panel,cost,family,n_draws,modal_pick,modal_share,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,V2_OOS_CAGR,V2_OOS_Sharpe,V2_OOS_MaxDD
U56,0.0,CANDfam,1000,CAND3,0.417,0.17928880400863798,1.1283558293355578,-0.19862752975901965,0.464,0.006,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09660362689074264,1.3017459795218873,-0.12029818259516023
U56,0.0,CTRLfam,1000,EWmg3,0.311,0.11760700680170603,1.1834515622803672,-0.1596945753840606,0.816,0.001,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09660362689074264,1.3017459795218873,-0.12029818259516023
U56,0.0,BOTH,1000,CAND3,0.329,0.1629208038073857,1.136924916364626,-0.1904154094701649,0.58,0.0,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09660362689074264,1.3017459795218873,-0.12029818259516023
U56,10.0,CANDfam,1000,CAND3,0.342,0.14695106458311002,1.0926154902061296,-0.18258935313781188,0.325,0.009,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09464348447629689,1.2771844071673888,-0.12054947951644879
U56,10.0,CTRLfam,1000,EWmg20,0.284,0.10797240393915625,1.1291637727656394,-0.15726682468525308,0.539,0.005,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09464348447629689,1.2771844071673888,-0.12054947951644879
U56,10.0,BOTH,1000,CAND3,0.284,0.1414144470021543,1.0789013760449102,-0.1862225991368929,0.41,0.002,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09464348447629689,1.2771844071673888,-0.12054947951644879
U56,25.0,CANDfam,1000,CAND40,0.629,0.10121963825207007,1.0800798930523305,-0.14644196812706148,0.073,0.01,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09170962460813858,1.2403028448774611,-0.12092636698249548
U56,25.0,CTRLfam,1000,EWmg30,0.66,0.09442185083854675,1.1096943255364735,-0.13819409235520186,0.084,0.005,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09170962460813858,1.2403028448774611,-0.12092636698249548
U56,25.0,BOTH,1000,EWmg30,0.457,0.10917825148719984,1.0615390916338083,-0.16045278636020424,0.08,0.006,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.09170962460813858,1.2403028448774611,-0.12092636698249548
B136,0.0,CANDfam,1000,CAND10,0.257,0.12114743664278255,0.9894556071038335,-0.1915318707158426,0.195,0.007,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.08111872133378806,1.1355167832575352,-0.12211590879264556
B136,0.0,CTRLfam,1000,EWmg10,0.485,0.11024078531227689,1.0670987839207087,-0.1750297940719342,0.492,0.0,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.08111872133378806,1.1355167832575352,-0.12211590879264556
B136,0.0,BOTH,1000,EWmg10,0.282,0.12117344232662344,1.0114613947126243,-0.19339773482778044,0.356,0.0,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.08111872133378806,1.1355167832575352,-0.12211590879264556
B136,10.0,CANDfam,1000,CAND30,0.323,0.10193657991267605,0.9495978359041319,-0.17924284229051085,0.096,0.009,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278778,-0.12240985403190019
B136,10.0,CTRLfam,1000,EWmg10,0.402,0.09920613158711575,0.9996392582458572,-0.17222527175282243,0.244,0.0,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278778,-0.12240985403190019
B136,10.0,BOTH,1000,EWmg10,0.259,0.106439180993919,0.9524996126560982,-0.18963834552286368,0.188,0.0,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278778,-0.12240985403190019
B136,25.0,CANDfam,1000,CAND40,0.41,0.07984017758429371,0.9001323775329703,-0.1594950196263507,0.024,0.011,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07545408045393409,1.0614011988341219,-0.12285070124478226
