population,STEP,target,n,rho_W,rho_PASS,abs_gap,W_wins
GATE BOOKS,0.25,OOS_Sharpe,180,0.7513555401165305,0.5195850860442857,0.23177045407224484,True
GATE BOOKS,0.25,OOS_MaxDD,180,0.2982472949207681,-0.04382382546363446,0.2544234694571337,True
GATE BOOKS,0.25,OOS_CAGR,180,0.58244741959139,0.5759305097097468,0.006516909881643218,True
GATE BOOKS,0.25,AUC->PASS_OOS_4b,180,0.8211920529801324,0.8839917789449646,-0.06279972596483219,False
GATE BOOKS,0.25,AUC->PASS_OOS_4a,180,,,,False
GATE BOOKS,0.1,OOS_Sharpe,180,0.7514581555002046,0.5195850860442857,0.2318730694559189,True
GATE BOOKS,0.1,OOS_MaxDD,180,0.2981030732643925,-0.04382382546363446,0.25427924780075806,True
GATE BOOKS,0.1,OOS_CAGR,180,0.5826163243377235,0.5759305097097468,0.006685814627976683,True
GATE BOOKS,0.1,AUC->PASS_OOS_4b,180,0.8211920529801324,0.8839917789449646,-0.06279972596483219,False
GATE BOOKS,0.1,AUC->PASS_OOS_4a,180,,,,False
GATE BOOKS,0.05,OOS_Sharpe,180,0.7514581555002046,0.5195850860442857,0.2318730694559189,True
GATE BOOKS,0.05,OOS_MaxDD,180,0.2981030732643925,-0.04382382546363446,0.25427924780075806,True
GATE BOOKS,0.05,OOS_CAGR,180,0.5826163243377235,0.5759305097097468,0.006685814627976683,True
GATE BOOKS,0.05,AUC->PASS_OOS_4b,180,0.8211920529801324,0.8839917789449646,-0.06279972596483219,False
GATE BOOKS,0.05,AUC->PASS_OOS_4a,180,,,,False
ALL BOOKS (+controls),0.25,OOS_Sharpe,192,0.7530782006743776,0.51849238252223,0.23458581815214763,True
ALL BOOKS (+controls),0.25,OOS_MaxDD,192,0.27010875590339195,-0.0449822426198717,0.22512651328352024,True
ALL BOOKS (+controls),0.25,OOS_CAGR,192,0.5849122941349082,0.5684576925327942,0.016454601602113983,True
ALL BOOKS (+controls),0.25,AUC->PASS_OOS_4b,192,0.8326634228897821,0.8861857414850857,-0.05352231859530354,False
ALL BOOKS (+controls),0.25,AUC->PASS_OOS_4a,192,,,,False
ALL BOOKS (+controls),0.1,OOS_Sharpe,192,0.7531640590944002,0.51849238252223,0.23467167657217025,True
ALL BOOKS (+controls),0.1,OOS_MaxDD,192,0.2699831590531279,-0.0449822426198717,0.2250009164332562,True
ALL BOOKS (+controls),0.1,OOS_CAGR,192,0.5850616229014959,0.5684576925327942,0.01660393036870167,True
ALL BOOKS (+controls),0.1,AUC->PASS_OOS_4b,192,0.8326634228897821,0.8861857414850857,-0.05352231859530354,False
ALL BOOKS (+controls),0.1,AUC->PASS_OOS_4a,192,,,,False
ALL BOOKS (+controls),0.05,OOS_Sharpe,192,0.7531640590944002,0.51849238252223,0.23467167657217025,True
ALL BOOKS (+controls),0.05,OOS_MaxDD,192,0.2699831590531279,-0.0449822426198717,0.2250009164332562,True
ALL BOOKS (+controls),0.05,OOS_CAGR,192,0.5850616229014959,0.5684576925327942,0.01660393036870167,True
ALL BOOKS (+controls),0.05,AUC->PASS_OOS_4b,192,0.8326634228897821,0.8861857414850857,-0.05352231859530354,False
ALL BOOKS (+controls),0.05,AUC->PASS_OOS_4a,192,,,,False
