panel,dial,chooser,pick,pick_passes,nearest_passing,stat_gap,pick_OOS_Sharpe,passing_OOS_Sharpe,n_passing,n_rungs
U56,D_GROSS,C_ISSHARPE,1.0,False,0.775,0.0002686936445082111,1.1651966774167672,1.1644946188303023,11,33
U56,D_GROSS,C_ISCAGR,1.0,False,0.775,0.04195756364052605,1.1651966774167672,1.1644946188303023,11,33
U56,D_GROSS,C_ISDD,0.2,False,0.525,0.06054314158780849,1.1617158168240194,1.1634430384027679,11,33
U56,D_GROSS,C_ISMAR,1.0,False,0.775,0.010886051456009072,1.1651966774167672,1.1644946188303023,11,33
U56,D_GROSS,C_IS4B,0.625,True,0.625,0.0,1.1638947050580255,1.1638947050580255,11,33
U56,D_N,C_ISSHARPE,3,False,12,0.020025009698124485,0.8132088067253676,1.1759426375029494,2,11
U56,D_N,C_ISCAGR,3,False,12,0.08250528621249598,0.8132088067253676,1.1759426375029494,2,11
U56,D_N,C_ISDD,40,False,20,0.013708522069097118,1.0985169918082796,1.1644019491864868,2,11
U56,D_N,C_ISMAR,40,False,12,0.007030186242877656,1.0985169918082796,1.1759426375029494,2,11
U56,D_N,C_IS4B,40,False,20,0.10356084578505756,1.0985169918082796,1.1644019491864868,2,11
U56,D_HOLD,C_ISSHARPE,189,False,126,0.13392222929998465,1.0508576134570584,1.1644019491864868,3,9
U56,D_HOLD,C_ISCAGR,189,False,126,0.01328216547314831,1.0508576134570584,1.1644019491864868,3,9
U56,D_HOLD,C_ISDD,10,True,10,0.0,1.1484679445033206,1.1484679445033206,3,9
U56,D_HOLD,C_ISMAR,189,False,10,0.14841653102479935,1.0508576134570584,1.1484679445033206,3,9
U56,D_HOLD,C_IS4B,10,True,10,0.0,1.1484679445033206,1.1484679445033206,3,9
U56,D_CADENCE,C_ISSHARPE,2W,False,W,0.04566053643143708,1.142936932991903,1.1644019491864868,2,6
U56,D_CADENCE,C_ISCAGR,2W,False,W,0.003945810604191857,1.142936932991903,1.1644019491864868,2,6
U56,D_CADENCE,C_ISDD,D,False,W,0.008624895286908463,1.1220286758694527,1.1644019491864868,2,6
U56,D_CADENCE,C_ISMAR,2W,False,W,0.037150602589734794,1.142936932991903,1.1644019491864868,2,6
U56,D_CADENCE,C_IS4B,D,False,W,0.06515665556196795,1.1220286758694527,1.1644019491864868,2,6
U56,D_MAXVOL,C_ISSHARPE,0.3,False,1.0,0.06706257203198684,1.0208105343960623,1.1543136660456788,5,7
U56,D_MAXVOL,C_ISCAGR,2.0,True,2.0,0.0,1.1689952424646126,1.1689952424646126,5,7
U56,D_MAXVOL,C_ISDD,0.3,False,1.0,0.008377704951285314,1.0208105343960623,1.1543136660456788,5,7
U56,D_MAXVOL,C_ISMAR,0.3,False,1.0,0.030499535872930306,1.0208105343960623,1.1543136660456788,5,7
U56,D_MAXVOL,C_IS4B,0.3,False,1.0,0.06328925949272039,1.0208105343960623,1.1543136660456788,5,7
B136,D_GROSS,C_ISSHARPE,1.0,False,0.725,0.0016607828270185365,1.0121613860227718,1.009805187602236,9,33
B136,D_GROSS,C_ISCAGR,1.0,False,0.725,0.05971166697160579,1.0121613860227718,1.009805187602236,9,33
B136,D_GROSS,C_ISDD,0.2,False,0.525,0.06351988230632588,1.0043906259506516,1.007866084192239,9,33
B136,D_GROSS,C_ISMAR,1.0,False,0.725,0.01650058084509176,1.0121613860227718,1.009805187602236,9,33
B136,D_GROSS,C_IS4B,0.575,True,0.575,0.0,1.0083658819699444,1.0083658819699444,9,33
B136,D_N,C_ISSHARPE,8,False,15,0.1870058979110616,0.7866466863657643,1.0457884279636374,1,11
B136,D_N,C_ISCAGR,3,False,15,0.11769676959951814,0.8564290477652591,1.0457884279636374,1,11
B136,D_N,C_ISDD,30,False,15,0.03126277524801646,1.0695530808226905,1.0457884279636374,1,11
B136,D_N,C_ISMAR,25,False,15,0.19643784059005254,1.0622507626045483,1.0457884279636374,1,11
B136,D_N,C_IS4B,30,False,15,0.23621257637607457,1.0695530808226905,1.0457884279636374,1,11
B136,D_MAXVOL,C_ISSHARPE,0.3,False,0.8,0.16127191742936886,0.8919687712964053,1.0623326484962627,1,7
B136,D_MAXVOL,C_ISCAGR,0.4,False,0.8,0.010132060048983371,1.0107691533951861,1.0623326484962627,1,7
B136,D_MAXVOL,C_ISDD,0.3,False,0.8,0.02916709414583385,0.8919687712964053,1.0623326484962627,1,7
B136,D_MAXVOL,C_ISMAR,0.3,False,0.8,0.2587420399416156,0.8919687712964053,1.0623326484962627,1,7
B136,D_MAXVOL,C_IS4B,0.3,False,0.8,0.22037821015356163,0.8919687712964053,1.0623326484962627,1,7
