panel,base,freq,cost,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_S_base,OOS_S_v2,OOS_S_spy,OOS_CAGR_base,OOS_CAGR_v2,OOS_CAGR_spy,OOS_DD_v2,OOS_DD_spy,d_OOS_mg_ung,d_OOS_dd_ung,d_OOS_mg_same,d_OOS_dd_same,beats_base,beats_v2,beats_spy
u56,EQ_ung,W,0.0,S3/f0.50,1.3857293779622257,0.08343316771954234,1.2997792564251343,-0.12712711025475754,1.138690049774078,1.3033814514046218,0.8757783801289708,0.1385260190864599,0.09677994358088626,0.15315660628921846,-0.120298164596091,-0.33717235283398284,0.16108402747371375,0.16053318271528494,0.16108402747371375,0.16053318271528494,True,False,True
u56,EQ_ung,W,10.0,S3/f0.50,1.2998934068519497,0.07946672837211333,1.241593146875175,-0.12749037419959985,1.1315522372463844,1.278836537597142,0.8757783801289708,0.13755026674281523,0.09481988847882761,0.15315660628921846,-0.12054946142590717,-0.33717235283398284,0.11003798784687446,0.10994213855792734,0.11003798784687446,0.10994213855792734,True,False,True
u56,EQ_ung,W,25.0,S3/f0.40,1.1952520314997166,0.08613488549055393,1.165204706747661,-0.14624820820348028,1.1208438515837233,1.2419798947110108,0.8757783801289708,0.13608817156745534,0.09188615777182041,0.15315660628921846,-0.120926348754687,-0.33717235283398284,0.044361218636739475,0.0447632868915353,0.044361218636739475,0.0447632868915353,True,False,True
u56,EQ_ung,M,0.0,S3/f0.50,1.3833836949354885,0.08172862268764747,1.2908552341455843,-0.11235634534744521,1.1536359062173205,1.2429264760606569,0.8757783801289708,0.1389571115146746,0.0972247711106553,0.15315660628921846,-0.1436472010796016,-0.33717235283398284,0.13714320460858764,0.13231737904495633,0.13714320460858764,0.13231737904495633,True,True,True
u56,EQ_ung,M,10.0,S3/f0.50,1.3511509053603252,0.07991502887626045,1.2644415762693972,-0.11239252276838263,1.1501443192729102,1.2268133927596303,0.8757783801289708,0.1384811198801228,0.0958556363338039,0.15315660628921846,-0.14381696831010204,-0.33717235283398284,0.11422358914480157,0.10969118548504353,0.11422358914480157,0.10969118548504353,True,True,True
u56,EQ_ung,M,25.0,S3/f0.50,1.3024609941502971,0.07719960228644185,1.224571358005237,-0.1124467888997902,1.1449043133857129,1.2025776049262655,0.8757783801289708,0.13776747131488043,0.09380479469425351,0.15315660628921846,-0.1440716191558521,-0.33717235283398284,0.07959706415773793,0.07550507872228818,0.07959706415773793,0.07550507872228818,True,True,True
u56,EQ_band,W,0.0,S3/f0.40,1.2647023074094628,0.06909136974601382,1.3941599669817466,-0.08126337074818368,1.3033814514046218,1.3033814514046218,0.8757783801289708,0.09677994358088626,0.09677994358088626,0.15315660628921846,-0.120298164596091,-0.33717235283398284,0.2552348994645117,0.25472159016264384,0.09117583267437124,0.08997159893671713,True,True,True
u56,EQ_band,W,10.0,S3/f0.25,1.1932234726974775,0.07638150830199009,1.3316705411047733,-0.09504420639782085,1.278836537597142,1.278836537597142,0.8757783801289708,0.09481988847882761,0.09481988847882761,0.15315660628921846,-0.12054946142590717,-0.33717235283398284,0.20000695042358152,0.2000928906694699,0.05302808484079202,0.05245600498159608,True,True,True
u56,EQ_band,W,25.0,S3/f0.25,1.0922569491382146,0.07165668981057483,1.2536124887981457,-0.09550488380373001,1.2419798947110108,1.2419798947110108,0.8757783801289708,0.09188615777182041,0.09188615777182041,0.15315660628921846,-0.120926348754687,-0.33717235283398284,0.13292180205288662,0.1337437250125748,0.011746258146308808,0.011485096739848766,True,True,True
u56,EQ_band,M,0.0,S3/f0.40,1.2991980412971131,0.06793304346959639,1.3094378119963164,-0.08791389101455671,1.2429264760606569,1.2429264760606569,0.8757783801289708,0.0972247711106553,0.0972247711106553,0.15315660628921846,-0.1436472010796016,-0.33717235283398284,0.15403200668434391,0.14991065105535206,0.06611634916226894,0.06757183942022005,True,True,True
u56,EQ_band,M,10.0,S3/f0.40,1.2574704636958456,0.06591030457654456,1.273039528496166,-0.08803505877367712,1.2268133927596303,1.2268133927596303,0.8757783801289708,0.0958556363338039,0.0958556363338039,0.15315660628921846,-0.14381696831010204,-0.33717235283398284,0.12119733795956344,0.11740073454582722,0.04579244079049083,0.04744407118198746,True,True,True
u56,EQ_band,M,25.0,S3/f0.40,1.1944011966814116,0.06288258218209686,1.2180345404889636,-0.08821681041235674,1.2025776049262655,1.2025776049262655,0.8757783801289708,0.09380479469425351,0.09380479469425351,0.15315660628921846,-0.1440716191558521,-0.33717235283398284,0.07154052266493882,0.06822996200587084,0.014964985477019077,0.01691176021348273,True,True,True
broad,EQ_ung,W,0.0,S3/f0.50,1.458425952626026,0.08480588393395916,1.2956542166066984,-0.1334138040257673,1.1094375225693065,1.1481353293632495,0.8820239235972316,0.1403681035306461,0.08210528304142972,0.1545044425578177,-0.12211398589281575,-0.3371595330739301,0.1861982688961239,0.18389681403754432,0.1861982688961239,0.18389681403754432,True,True,True
broad,EQ_ung,W,10.0,S3/f0.50,1.3769402276416485,0.08079583130876866,1.2380118193635214,-0.13377587255259793,1.1022031339130582,1.1185082795688426,0.8820239235972316,0.13933574083806333,0.07983337481604336,0.1545044425578177,-0.12240793860208021,-0.3371595330739301,0.13579282327234488,0.13407542428209718,0.13579282327234488,0.13407542428209718,True,True,True
broad,EQ_ung,W,25.0,S3/f0.40,1.257858002529909,0.08752237891655046,1.152506339526638,-0.15740332827097747,1.0913501695849346,1.0740236940215924,0.8820239235972316,0.13778891144087635,0.07643420182382155,0.1545044425578177,-0.12284879701089035,-0.3371595330739301,0.06114655917634404,0.06035053728973283,0.06114655917634404,0.06035053728973283,True,True,True
broad,EQ_ung,M,0.0,S3/f0.50,1.4448585759917536,0.08188832794877343,1.2735727711648692,-0.11756470679518394,1.112784805269371,1.1153943199424465,0.8820239235972316,0.1389154391409717,0.08506113704230689,0.1545044425578177,-0.15665618867343578,-0.3371595330739301,0.16069954104355544,0.1549280367593866,0.16069954104355544,0.1549280367593866,True,True,True
broad,EQ_ung,M,10.0,S3/f0.50,1.4140443280716957,0.08005378150370834,1.2472023245837136,-0.1176045030830215,1.109225892006042,1.0962821211429077,0.8820239235972316,0.13841236352628794,0.0834824238817653,0.1545044425578177,-0.15687424307604458,-0.3371595330739301,0.13789095792150285,0.13246829511421065,0.13789095792150285,0.13246829511421065,True,True,True
broad,EQ_ung,M,25.0,S3/f0.50,1.3675015421273318,0.07730704552999246,1.207409689251493,-0.11766419751477875,1.1038851374068699,1.0675362385627567,0.8820239235972316,0.13765812972469438,0.0811182361711098,0.1545044425578177,-0.15720132467995662,-0.3371595330739301,0.10344350693336701,0.09854438650394415,0.10344350693336701,0.09854438650394415,True,True,True
