control,panel,form,sep_A,interior_min,R,collapse
QUANTILE-M,U56,ARITH,0.05392595449446189,0.2306231536338581,0.23382714894305803,True
QUANTILE-M,U56,GEO,0.6260602465182296,0.028959897041666044,21.61817929178013,False
QUANTILE-M,U56,HARM,1.379303713904648,0.47478863457582077,2.905089998914837,False
QUANTILE-M,U56,MEDIAN,-0.22045476106099354,0.3923051302809534,0.5619471784707801,False
QUANTILE-M,U56,JADJ,0.5325613029903414,0.040540419187650535,13.136551463004379,False
QUANTILE-M,B136,ARITH,-0.0455857288551081,0.331659286463471,0.1374474670713884,True
QUANTILE-M,B136,GEO,0.5357393328512557,0.023091441810815266,23.20077443584892,False
QUANTILE-M,B136,HARM,1.3962398569005143,0.5023497958369078,2.7794175860555455,False
QUANTILE-M,B136,MEDIAN,-0.31304439721201277,0.4883121781958184,0.6410743192369833,False
QUANTILE-M,B136,JADJ,0.3827992659741958,0.005359951893879805,71.41841448451999,False
QUANTILE-M,SMALL439,ARITH,0.016176338576573926,0.08974381315044827,0.18025018114012603,True
QUANTILE-M,SMALL439,GEO,0.26677982600246997,0.04234013465966374,6.300873347401599,False
QUANTILE-M,SMALL439,HARM,0.5060176669685068,0.06406674784132803,7.898288644551521,False
QUANTILE-M,SMALL439,MEDIAN,0.11786149838531004,0.054633927049550834,2.157295013379036,False
QUANTILE-M,SMALL439,JADJ,0.30153892265409366,0.05558838724574806,5.424494891730436,False
QUANTILE-F,U56,ARITH,0.04834431724504255,0.22830831067256982,0.2117501421767162,True
QUANTILE-F,U56,GEO,0.6207212836549324,0.030351952477827834,20.450785962068522,False
QUANTILE-F,U56,HARM,1.3745913472743414,0.4739587162513615,2.9002343456119375,False
QUANTILE-F,U56,MEDIAN,-0.2296606772293426,0.3956604108803319,0.580448968140014,False
QUANTILE-F,U56,JADJ,0.5265946738894589,0.041929353047336304,12.559093704473757,False
QUANTILE-F,B136,ARITH,-0.043042187388731,0.33112544115233156,0.12998755770303314,True
QUANTILE-F,B136,GEO,0.5387460178463468,0.02204690787218026,24.436352751587435,False
QUANTILE-F,B136,HARM,1.3996749026320228,0.5035531391782225,2.779597213744379,False
QUANTILE-F,B136,MEDIAN,-0.3098559448439641,0.48894385644538846,0.6337249988099048,False
QUANTILE-F,B136,JADJ,0.38582046754576854,0.006226223674163971,61.96701046040958,False
QUANTILE-F,SMALL439,ARITH,0.015770794723082432,0.09032637496422503,0.17459789269002177,True
QUANTILE-F,SMALL439,GEO,0.26640290362787894,0.04130320375668678,6.449933162503155,False
QUANTILE-F,SMALL439,HARM,0.5056643822352787,0.06332112321277943,7.985714033152618,False
QUANTILE-F,SMALL439,MEDIAN,0.11769930578759968,0.05438814378157581,2.164061826788631,False
QUANTILE-F,SMALL439,JADJ,0.3011677309207236,0.05455146267444672,5.520800289408154,False
