cut,value,n,share,med_coarse,med_fine,band
panel,B136,162,0.4691358024691358,0.9620548435679193,0.8983242020236114,(C) IT IS FAMILY-SPECIFIC
panel,SMALL,162,0.6666666666666666,0.9459791728246459,0.5558020447402541,(B) YES ON MOST
panel,U56,162,0.7160493827160493,1.173589689144196,0.562789825664189,(B) YES ON MOST
stat,CAGR,81,0.7901234567901234,3.506028504220933,0.64380679072024,(B) YES ON MOST
stat,CALMAR,81,0.5802469135802469,0.4163608575615891,0.2675210500873174,(C) IT IS FAMILY-SPECIFIC
stat,MAXDD,81,0.38271604938271603,0.44278980813344393,0.5805171366908822,"(D) NO, THE FINE END MOVES MORE"
stat,SHARPE,81,0.4567901234567901,1.2625992434096853,1.1152536192777713,(C) IT IS FAMILY-SPECIFIC
stat,ULCER,81,0.7283950617283951,1.5010355443655472,0.6422508006878914,(B) YES ON MOST
stat,VOL,81,0.7654320987654321,1.4737627236965545,0.545387603694407,(B) YES ON MOST
dial_ladder,CADENCE,72,0.6111111111111112,1.0541066968319037,0.6967256736800838,(B) YES ON MOST
dial_ladder,GROSS,180,0.6333333333333333,0.9695847053978315,0.562789825664189,(B) YES ON MOST
dial_ladder,H,72,0.625,1.0202522115001245,0.6497686809938891,(B) YES ON MOST
dial_ladder,N,162,0.5987654320987654,0.9350835342120649,0.6622288210184446,(C) IT IS FAMILY-SPECIFIC
