scope,metric,norm,n,rho,t,p
d_rand/ALL,Sharpe,raw,3693,0.2027945025763704,12.491993691809851,0.0
d_rand/ALL,Sharpe,z,3693,-0.08423810120556449,-5.129230123519222,2.909295231390274e-07
d_rand/ALL,Sharpe,rng,3693,-0.0710150263565006,-4.321107835337834,1.5524777504882792e-05
d_rand/ALL,CAGR,raw,2781,0.418764544071576,23.517371248318018,0.0
d_rand/ALL,CAGR,z,2781,0.11524213874339624,6.10114253727084,1.053129361494598e-09
d_rand/ALL,CAGR,rng,2781,0.08844487648196543,4.673853332210245,2.9560046741483603e-06
d_rand/ALL,MaxDD,raw,2667,0.38413612699598804,20.898631852263236,0.0
d_rand/ALL,MaxDD,z,2667,-0.09016394499208613,-4.6663902209526595,3.0653729847784916e-06
d_rand/ALL,MaxDD,rng,2667,-0.1364217669164157,-7.085442256888164,1.3860024239420454e-12
d_rand/ALL,Calmar,raw,0,,,
d_rand/ALL,Calmar,z,0,,,
d_rand/ALL,Calmar,rng,0,,,
d_rand/LINEAGE(94),Sharpe,raw,220,-0.09563883216921307,-1.4131671785239035,0.15760657452170834
d_rand/LINEAGE(94),Sharpe,z,220,-0.19804306626995033,-2.9564206262417962,0.003112323268951389
d_rand/LINEAGE(94),Sharpe,rng,220,-0.18244242078702627,-2.7179732456874968,0.0065683149050057565
d_rand/LINEAGE(94),CAGR,raw,220,-0.08435518442494502,-1.2455895431382393,0.21291512322748818
d_rand/LINEAGE(94),CAGR,z,220,-0.15550899349216785,-2.3095292763933988,0.020914229031175235
d_rand/LINEAGE(94),CAGR,rng,220,-0.14642572506977927,-2.172602633115691,0.029810237546031182
d_rand/LINEAGE(94),MaxDD,raw,220,0.26407068381588394,3.98440754905343,6.764868707498373e-05
d_rand/LINEAGE(94),MaxDD,z,220,0.009791338129012301,0.14424002688949553,0.8853109345211354
d_rand/LINEAGE(94),MaxDD,rng,220,0.021483058071689803,0.3165139055404918,0.7516124721958146
d_rand/LINEAGE(94),Calmar,raw,0,,,
d_rand/LINEAGE(94),Calmar,z,0,,,
d_rand/LINEAGE(94),Calmar,rng,0,,,
d_rand/OUT-OF-LINEAGE,Sharpe,raw,3473,0.2211183964111898,13.244094445173149,0.0
d_rand/OUT-OF-LINEAGE,Sharpe,z,3473,-0.07502204967265078,-4.427620991770824,9.527812900422816e-06
d_rand/OUT-OF-LINEAGE,Sharpe,rng,3473,-0.062289646464887695,-3.6740345628615745,0.00023875041602350322
d_rand/OUT-OF-LINEAGE,CAGR,raw,2561,0.4714554623977851,25.892228464736185,0.0
d_rand/OUT-OF-LINEAGE,CAGR,z,2561,0.15239127348184417,7.767952798665396,7.993605777301127e-15
d_rand/OUT-OF-LINEAGE,CAGR,rng,2561,0.12545236359797107,6.378567556553709,1.787521242135881e-10
d_rand/OUT-OF-LINEAGE,MaxDD,raw,2447,0.4214232173652076,22.21796490007588,0.0
d_rand/OUT-OF-LINEAGE,MaxDD,z,2447,-0.07952099190083288,-3.939583780462274,8.16230945575036e-05
d_rand/OUT-OF-LINEAGE,MaxDD,rng,2447,-0.12482937907276828,-6.20352546967551,5.52121015573448e-10
d_rand/OUT-OF-LINEAGE,Calmar,raw,0,,,
d_rand/OUT-OF-LINEAGE,Calmar,z,0,,,
d_rand/OUT-OF-LINEAGE,Calmar,rng,0,,,
d_ctl/ALL,Sharpe,raw,1373,0.05515090123022165,2.0434019270177313,0.04101266687647076
d_ctl/ALL,Sharpe,z,1373,0.05147075196722663,1.906798292113748,0.056546712604965244
d_ctl/ALL,Sharpe,rng,1373,0.11558419282920014,4.2973827135569955,1.7282665361495475e-05
d_ctl/ALL,CAGR,raw,1360,0.3858784057421681,14.990948405966313,0.0
d_ctl/ALL,CAGR,z,1360,0.413128910056888,16.18558647132608,0.0
d_ctl/ALL,CAGR,rng,1360,0.4118885134420193,16.130523701707027,0.0
d_ctl/ALL,MaxDD,raw,1342,0.28995745773205567,10.923541257409342,0.0
d_ctl/ALL,MaxDD,z,1342,-0.023551905275703687,-0.8619789370037843,0.38869910865345636
d_ctl/ALL,MaxDD,rng,1342,-0.06671905738906637,-2.44503932064918,0.014483635027252584
d_ctl/ALL,Calmar,raw,0,,,
d_ctl/ALL,Calmar,z,0,,,
