check,lag,depth,n,n_neg,med_dMaxDD,med_dCAGR,med_dSharpe,priceable_abs,priceable_rel,med_turnover,med_stops
daily,same,0.15,12,12,-0.6891404876242513,-1.19319129636426,-0.036179101756532606,0,0,12.471268208428874,25.43275512502816
daily,same,0.25,12,8,-1.3190879633394437,-0.3272899884050662,-0.007486469759816594,0,0,11.339684869642074,4.967334985357063
daily,next,0.15,12,4,2.444006523944892,-0.48857875733275824,-0.004004354809906019,8,6,12.436816685870777,25.035368326199595
daily,next,0.25,12,0,1.4150696911653105,0.0,0.012435277136633838,8,2,11.378168140120874,5.506645640910115
daily,rebal,0.15,12,8,-0.2485548469902954,-0.6180941116258554,-0.03816047149417395,0,0,26.179953197777703,55.94638432079297
daily,rebal,0.25,12,8,-0.13072291859229646,-0.1290816368040293,-0.008043570614868656,0,0,18.55733150154524,12.063527821581438
weekly,same,0.15,12,4,0.30868199598224066,-1.3814159132414017,-0.04656838125915508,8,0,11.930428134567542,13.05699481865285
weekly,same,0.25,12,0,0.40221191249899535,-0.2663743782383543,-0.006468509293280356,7,0,11.269960835681335,2.441090335661185
weekly,next,0.15,12,4,2.5359294295062176,-0.4281936281215426,-0.004409615481463597,8,8,11.933795602341647,13.05699481865285
weekly,next,0.25,12,0,1.6510719959035913,-0.0007354846211948818,0.008896304463074933,8,6,11.27123036582562,2.441090335661185
weekly,rebal,0.15,12,8,-0.17059110393159438,-0.39277478195129945,-0.02438626364737062,0,0,25.247645966918093,33.607569272358646
weekly,rebal,0.25,12,8,-0.04646241761948611,-0.08629790897478617,-0.0053033377151335825,0,0,17.4843534801464,7.152962378914171
