claim_set,bar,n_rows,relabelled,frac,weighting
STRICT,0.1,701,476,0.6790299572039943,row
STRICT,0.25,701,63,0.0898716119828816,row
STRICT,0.5,701,31,0.0442225392296719,row
STRICT,0.75,701,31,0.0442225392296719,row
WIDE,0.1,3913,2740,0.700230002555584,row
WIDE,0.25,3913,324,0.08280092001022234,row
WIDE,0.5,3913,289,0.07385637618195758,row
WIDE,0.75,3913,289,0.07385637618195758,row
GRID,0.1,3,3,1.0,row
GRID,0.25,3,2,0.6666666666666666,row
GRID,0.5,3,1,0.3333333333333333,row
GRID,0.75,3,1,0.3333333333333333,row
STRICT,0.1,12,5,0.4166666666666667,family
STRICT,0.25,12,2,0.16666666666666666,family
STRICT,0.5,12,1,0.08333333333333333,family
STRICT,0.75,12,1,0.08333333333333333,family
WIDE,0.1,20,7,0.35,family
WIDE,0.25,20,3,0.15,family
WIDE,0.5,20,1,0.05,family
WIDE,0.75,20,1,0.05,family
GRID,0.1,3,3,1.0,family
GRID,0.25,3,2,0.6666666666666666,family
GRID,0.5,3,1,0.3333333333333333,family
GRID,0.75,3,1,0.3333333333333333,family
