panel,book,cost,instr,regime,armed_frac,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,ann_pp,d_ann,L_per_armed,total,LEAK,gross,turn_yr,pass4a_v2,pass4a_v1,pass4b,IS_Sharpe
u56,V1u,0.0,control,-,,0.08800300956211826,0.8958622374309209,-0.13860912345892007,0.9180916594905577,0.8813522002258848,0.9489017887754472,0.09847074271706058,-0.13860912345891985,8.933956444919225,0.0,,,,0.7498934888027835,23.235642189545842,False,False,False,0.8269702704333995
u56,V1u,0.0,g200-dg,always,1.0,0.08609544455741291,0.8825637224567405,-0.1307401357361494,0.8994904450433734,0.8722993662427426,0.9410289064636614,0.09693565004699356,-0.13074013573614918,8.752967015913276,-0.18098942900594928,-0.18098942900594928,,,0.7256651680361145,22.850251154903997,False,False,False,0.8062875705798913
u56,V1u,0.0,g200-dg,spy200,0.17053390403243973,0.0861838245044777,0.8832561151845317,-0.1307401357361493,0.9003026902104231,0.8729189976864763,0.9415799229743067,0.09702775412906406,-0.1307401357361494,8.76126830108443,-0.17268814383479558,-1.0126323256045675,-0.8316428965986112,-0.28350480469147404,0.7272888612311091,22.970269698353647,False,False,False,0.8071674854597787
u56,V1u,0.0,g200-dg,breadth20,0.08650596981302094,0.08687484433761239,0.8890563011656469,-0.13074013573614907,0.9122128502185599,0.8733229385748128,0.9419636215540174,0.09706339850462475,-0.13074013573614907,8.825651618123299,-0.10830482679592635,-1.2519925160081173,-1.0710030870021554,-0.8774538863287136,0.7305310893622218,22.972471635412784,False,False,False,0.820369515276338
u56,V1u,0.0,g200-dg,hivol80,0.10858301419238567,0.08708538491155804,0.8899798584942225,-0.1314804923656273,0.9133517867652596,0.8741324412947566,0.9425818066680145,0.09728569149233746,-0.1314804923656272,8.846312493570398,-0.08764395134882719,-0.8071607884594272,-0.6261713594534771,-0.3084945962038922,0.7364078777487267,23.143388723583204,False,False,False,0.8217016102699987
u56,V1u,0.0,band3-dg,always,1.0,0.08664404856864327,0.8857032195227166,-0.1338711262809723,0.8975732135639455,0.8799289045391624,0.9478776343970894,0.09801043240943175,-0.1338711262809722,8.805924947230299,-0.12803149768892652,-0.12803149768892652,,,0.7328635507450268,22.787702504208646,False,False,False,0.8043703971612538
u56,V1u,0.0,band3-dg,spy200,0.17053390403243973,0.08660048327349612,0.8852937966414594,-0.13387112628097242,0.8975732135639455,0.8791660085553396,0.9471656370481903,0.09793008456846919,-0.13387112628097209,8.801922542241954,-0.13203390267727144,-0.7742384332687027,-0.6462069355797706,-0.06958287974605629,0.7346533905391477,22.940812092015797,False,False,False,0.8043703971612538
u56,V1u,0.0,band3-dg,breadth20,0.08650596981302094,0.08775404465782555,0.8954732468678896,-0.13387112628097209,0.9173372053155678,0.8810009638695012,0.9488897281700611,0.09811156639366603,-0.1338711262809722,8.908680037697971,-0.025276407221253905,-0.2921926345186096,-0.16416113682968414,-0.2595880661987801,0.7381012217787957,22.959282773541105,False,False,False,0.8261037440990209
u56,V1u,0.0,band3-dg,hivol80,0.10858301419238567,0.08734722539128104,0.8912143927666631,-0.13659064435930057,0.9114444539627481,0.8782319159876958,0.9462122043828181,0.0979143715828863,-0.13659064435929869,8.871886037265611,-0.06207040765361427,-0.5716401235983273,-0.44360862590940114,-0.3834673591254005,0.7409050396802292,23.044811022379765,False,False,False,0.8196662523084987
u56,V1u,0.0,abs12-dg,always,1.0,0.0855169335553736,0.8835349235293861,-0.13387112628097242,0.8632940182925718,0.9056683907606454,0.9724923548494108,0.10009354426433958,-0.13387112628097275,8.691724914362682,-0.242231530556543,-0.242231530556543,,,0.7109712091342857,22.303280359371023,False,False,False,0.7653273806573408
u56,V1u,0.0,abs12-dg,spy200,0.17053390403243973,0.08584244852601786,0.8805725928300651,-0.14542489303350303,0.9006682773975151,0.8675826372546669,0.9366647021806866,0.09640437066286789,-0.14542489303350215,8.729206623145854,-0.20474982177337075,-1.2006399720633987,-0.9584084415068522,-0.4198502525725517,0.7231623427918318,22.834304654244814,False,False,False,0.8075058465956616
u56,V1u,0.0,abs12-dg,breadth20,0.08650596981302094,0.08692869095942579,0.8886906486171182,-0.1426231765100714,0.9122673366974263,0.8725947038948053,0.9411947592277904,0.0970761104874136,-0.1426231765100726,8.831688495356572,-0.10226794956265373,-1.1822068440328644,-0.9399753134763097,-1.711051092650126,0.7321510568366371,22.97410778283646,False,False,False,0.820550241767382
u56,V1u,0.0,abs12-dg,hivol80,0.10858301419238567,0.08752742723351692,0.892782122472354,-0.13914568822994788,0.9131012042034217,0.8797464433796239,0.9476065709669691,0.0980935647812533,-0.13914568822994955,8.888582893776032,-0.04537355114319297,-0.41786969610919833,-0.17563816555265374,-0.39918530337368885,0.7375257350188136,23.077581667613494,False,False,False,0.8214726087603816
u56,V1u,0.0,vol60-dg,always,1.0,0.08800300956211826,0.8958622374309209,-0.13860912345892007,0.9180916594905577,0.8813522002258848,0.9489017887754472,0.09847074271706058,-0.13860912345891985,8.933956444919225,0.0,0.0,,,0.7498934888027835,23.235642189545842,False,False,False,0.8269702704333995
u56,V1u,0.0,vol60-dg,spy200,0.17053390403243973,0.08800300956211826,0.8958622374309209,-0.13860912345892007,0.9180916594905577,0.8813522002258848,0.9489017887754472,0.09847074271706058,-0.13860912345891985,8.933956444919225,0.0,0.0,0.0,0.0,0.7498934888027835,23.235642189545842,False,False,False,0.8269702704333995
u56,V1u,0.0,vol60-dg,breadth20,0.08650596981302094,0.08800300956211826,0.8958622374309209,-0.13860912345892007,0.9180916594905577,0.8813522002258848,0.9489017887754472,0.09847074271706058,-0.13860912345891985,8.933956444919225,0.0,0.0,0.0,0.0,0.7498934888027835,23.235642189545842,False,False,False,0.8269702704333995
u56,V1u,0.0,vol60-dg,hivol80,0.10858301419238567,0.08800300956211826,0.8958622374309209,-0.13860912345892007,0.9180916594905577,0.8813522002258848,0.9489017887754472,0.09847074271706058,-0.13860912345891985,8.933956444919225,0.0,0.0,0.0,0.0,0.7498934888027835,23.235642189545842,False,False,False,0.8269702704333995
u56,V1u,0.0,stop15,always,1.0,0.08788289320627074,0.8948666480486059,-0.1439690111457298,0.9180916594905577,0.8794764641787066,0.947173453974692,0.09824940147870986,-0.14396901114573024,8.922772140402513,-0.011184304516712373,-0.011184304516712373,,,0.7496444124432753,23.2506856865786,False,False,False,0.8269702704333995
u56,V1u,0.0,stop15,spy200,0.17053390403243973,0.08761755014790129,0.8924215239359046,-0.1439690111457299,0.9180916594905577,0.8749171641287632,0.9429245854740033,0.09776051905754457,-0.14396901114572946,8.898366843747889,-0.03558960117133658,-0.20869516459651663,-0.1975108600798074,0.0,0.7497975078407222,23.235329745267894,False,False,False,0.8269702704333995
u56,V1u,0.0,stop15,breadth20,0.08650596981302094,0.08761755014790129,0.8924215239359046,-0.1439690111457299,0.9180916594905577,0.8749171641287632,0.9429245854740033,0.09776051905754457,-0.14396901114572946,8.898366843747889,-0.03558960117133658,-0.4114120822905289,-0.4002277777738213,0.0,0.7497975078407222,23.235329745267894,False,False,False,0.8269702704333995
