panel,q,k,draw,Ebar,Emed,breadth,Ebar_IS,breadth_IS,selectivity20
MIX q=0.50 k=40 d0,0.5,40.0,0,19.66987951807229,20.0,0.49174698795180727,19.067692307692308,0.47669230769230775,1.016783045448977
MIX q=0.50 k=40 d1,0.5,40.0,1,21.44457831325301,23.0,0.5361144578313253,21.51076923076923,0.5377692307692308,0.9326366649811788
MIX q=0.50 k=40 d2,0.5,40.0,2,19.773493975903616,21.0,0.49433734939759033,19.676923076923078,0.4919230769230769,1.011455032902754
MIX q=0.50 k=60 d0,0.5,60.0,0,31.73975903614458,34.0,0.528995983935743,32.72923076923077,0.5454871794871795,0.6301245065290009
MIX q=0.50 k=60 d1,0.5,60.0,1,29.680722891566266,32.0,0.4946787148594378,30.22153846153846,0.5036923076923077,0.6738380353156078
MIX q=0.50 k=60 d2,0.5,60.0,2,31.149397590361446,33.0,0.5191566265060241,31.264615384615386,0.5210769230769231,0.6420669915680359
MIX q=0.50 k=80 d0,0.5,80.0,0,39.66867469879518,42.0,0.49585843373493976,39.4,0.4925,0.5041761579347
MIX q=0.50 k=80 d1,0.5,80.0,1,39.95180722891566,42.0,0.49939759036144576,39.42769230769231,0.4928461538461539,0.5006031363088058
MIX q=0.50 k=80 d2,0.5,80.0,2,39.189156626506026,41.0,0.48986445783132526,38.79076923076923,0.4848846153846154,0.5103452516371014
MIX q=0.50 k=100 d0,0.5,100.0,0,53.112048192771084,56.0,0.5311204819277109,52.32923076923077,0.5232923076923077,0.37656239366649275
MIX q=0.50 k=100 d1,0.5,100.0,1,47.95180722891566,50.0,0.4795180722891566,46.84,0.4684,0.4170854271356784
MIX q=0.50 k=100 d2,0.5,100.0,2,49.13614457831325,51.0,0.49136144578313257,48.24923076923077,0.4824923076923077,0.40703234190716725
MIX q=0.50 k=200 d0,0.5,200.0,0,100.20963855421687,106.5,0.5010481927710844,101.57846153846154,0.5078923076923076,0.19958160001923678
MIX q=0.50 k=200 d1,0.5,200.0,1,98.97710843373494,105.0,0.4948855421686747,98.01230769230769,0.4900615384615384,0.20206692553955521
MIX q=0.50 k=200 d2,0.5,200.0,2,99.35421686746987,105.0,0.4967710843373494,98.87692307692308,0.4943846153846154,0.20129996119518823
MIX q=0.75 k=40 d0,0.75,40.0,0,17.481927710843372,18.0,0.43704819277108437,16.75076923076923,0.41876923076923084,1.144038594073053
MIX q=0.75 k=40 d1,0.75,40.0,1,16.20843373493976,17.0,0.40521084337349395,15.144615384615385,0.37861538461538463,1.2339255184717162
MIX q=0.75 k=40 d2,0.75,40.0,2,17.050602409638554,17.0,0.4262650602409639,17.372307692307693,0.43430769230769234,1.1729790842283776
MIX q=0.75 k=60 d0,0.75,60.0,0,25.54698795180723,27.0,0.4257831325301205,24.97230769230769,0.4162051282051282,0.7828711563855877
MIX q=0.75 k=60 d1,0.75,60.0,1,25.180722891566266,26.0,0.4196787148594378,25.796923076923076,0.429948717948718,0.7942583732057417
MIX q=0.75 k=60 d2,0.75,60.0,2,23.539759036144577,24.0,0.39232931726907627,22.178461538461537,0.36964102564102563,0.8496263691268298
MIX q=0.75 k=80 d0,0.75,80.0,0,32.55060240963856,34.0,0.4068825301204819,33.01846153846154,0.4127307692307692,0.6144279527704778
MIX q=0.75 k=80 d1,0.75,80.0,1,33.028915662650604,35.0,0.41286144578313255,32.26461538461538,0.40330769230769226,0.605530021157073
