clause,q,panel,ladder,stat,rungs,peak,gap,spread,floor,published_set,set_size,decided,content,exp_false,err,price,contentless,note,coarse,M
LONGER_TAPE,0.8,U56,H,S_FULL,4,252,0.025078881717488066,0.06337993535645858,inf,"[126, 252]",2,2,0.6666666666666666,0.35303594960489426,0.17651797480244713,5.6651454398293755,False,"M=2x tape, PROJECTED floor 0.0495539 (was inf)",,2.0
LONGER_TAPE_M4,0.8,U56,H,S_FULL,4,252,0.025078881717488066,0.06337993535645858,inf,[252],1,3,1.0,0.3868506810033553,0.12895022700111844,7.754930125026664,False,"M=4x tape, PROJECTED floor 0.0250789 (was inf)",,4.0
LONGER_TAPE_M8,0.8,U56,H,S_FULL,4,252,0.025078881717488066,0.06337993535645858,inf,[252],1,3,1.0,0.17868073786923078,0.05956024595641026,16.78972247246695,False,"M=8x tape, PROJECTED floor 0.0244751 (was inf)",,8.0
AS_WRITTEN,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"floor inf, tie 4 of 4",,
ANNOTATED,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,[252],1,3,1.0,0.891,0.297,3.3670033670033668,False,"point argmax, gap 0.0287704 vs floor inf",,
WIDER_RUNGS,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"coarse 3 of 4 rungs, floor inf, 1 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,"[21, 63, 126, 252]",4,0,0.0,0.0,,,True,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,"[126, 252]",2,2,0.6666666666666666,0.3531711358159437,0.17658556790797186,5.662976945664966,False,"M=2x tape, PROJECTED floor 0.0764223 (was inf)",,2.0
LONGER_TAPE_M4,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,"[126, 252]",2,2,0.6666666666666666,0.19019746592979914,0.09509873296489957,10.515387206779028,False,"M=4x tape, PROJECTED floor 0.059705 (was inf)",,4.0
LONGER_TAPE_M8,0.8,U56,H,S_OOS,4,252,0.028770378742377645,0.08847533187304535,inf,[252],1,3,1.0,0.2589451084753971,0.0863150361584657,11.585466965038409,False,"M=8x tape, PROJECTED floor 0.0287704 (was inf)",,8.0
AS_WRITTEN,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,"[63, 126, 252]",3,1,0.3333333333333333,0.10599999999999998,0.10599999999999998,9.433962264150946,False,"floor 1.22542, tie 3 of 4",,
ANNOTATED,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,[252],1,3,1.0,0.717,0.239,4.184100418410042,False,"point argmax, gap 0.304999 vs floor 1.22542",,
WIDER_RUNGS,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,"[63, 126, 252]",3,1,0.3333333333333333,0.10599999999999998,0.10599999999999998,9.433962264150946,False,"coarse 3 of 4 rungs, floor 1.22542, 1 unadjudicated",step2,
WIDER_RUNGS_ENDS,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,"[63, 126, 252]",3,1,0.3333333333333333,0.10599999999999998,0.10599999999999998,9.433962264150946,False,"ENDS-ONLY, reported beside, never selected on",ends,
LONGER_TAPE,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,"[126, 252]",2,2,0.6666666666666666,0.182529975789528,0.091264987894764,10.957104395314026,False,"M=2x tape, PROJECTED floor 0.630287 (was 1.22542)",,2.0
LONGER_TAPE_M4,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,"[126, 252]",2,2,0.6666666666666666,0.07254595196854963,0.03627297598427481,27.56873327497373,False,"M=4x tape, PROJECTED floor 0.595134 (was 1.22542)",,4.0
LONGER_TAPE_M8,0.8,U56,H,CAGR,4,252,0.3049987073677549,1.5304197924899796,1.2254210851222247,"[126, 252]",2,2,0.6666666666666666,0.016908702195661762,0.008454351097830881,118.28228901642946,False,"M=8x tape, PROJECTED floor 0.595134 (was 1.22542)",,8.0
