panel,unit,chooser,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,p4a,p4b,fail4b
U56,ABS,IS_Sharpe,ABS n0=20,0.9833432931471369,0.1448989385090318,1.1368874058692116,-0.1830833704138437,0.09534818985375493,1.2850848109016457,-0.12054947359101964,0.15450723909089636,0.882010501050508,-0.3371728920067377,False,True,-
U56,ABS,IS_Sharpe|IS4b,NONE,,,,,,1.2850848109016457,,,0.882010501050508,,False,False,no IS-admissible point
U56,REL,IS_Sharpe,REL c=1.00,0.9693482593296829,0.11338284791209818,1.1135433736702671,-0.15874702988527367,0.09534818985375493,1.2850848109016457,-0.12054947359101964,0.15450723909089636,0.882010501050508,-0.3371728920067377,False,False,CAGR
U56,REL,IS_Sharpe|IS4b,NONE,,,,,,1.2850848109016457,,,0.882010501050508,,False,False,no IS-admissible point
B136,ABS,IS_Sharpe,ABS n0=30,1.0323730306484693,0.11623402453028753,0.8994130513536529,-0.20296607416739565,0.07983337481604336,1.1185082795688426,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,False,"H2,DD"
B136,ABS,IS_Sharpe|IS4b,ABS n0=30,1.0323730306484693,0.11623402453028753,0.8994130513536529,-0.20296607416739565,0.07983337481604336,1.1185082795688426,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,False,"H2,DD"
B136,REL,IS_Sharpe,REL c=1.00,1.0321805846880874,0.10587434436112875,1.0191781609455184,-0.17687931105226462,0.07983337481604336,1.1185082795688426,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,-
B136,REL,IS_Sharpe|IS4b,REL c=1.00,1.0321805846880874,0.10587434436112875,1.0191781609455184,-0.17687931105226462,0.07983337481604336,1.1185082795688426,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,True,-
SMALL439,ABS,IS_Sharpe,ABS n0=20,0.42314714464226294,0.0691801164497956,0.4639797473659347,-0.33479416717597343,0.038484818461982595,0.5680478271993786,-0.14684660360056612,0.15450723909089636,0.882010501050508,-0.3371728920067377,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,ABS,IS_Sharpe|IS4b,NONE,,,,,,0.5680478271993786,,,0.882010501050508,,False,False,no IS-admissible point
SMALL439,REL,IS_Sharpe,REL c=0.75,0.46403039739157426,0.03781877380002707,0.3284889888808104,-0.39219337452066394,0.038484818461982595,0.5680478271993786,-0.14684660360056612,0.15450723909089636,0.882010501050508,-0.3371728920067377,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,REL,IS_Sharpe|IS4b,NONE,,,,,,0.5680478271993786,,,0.882010501050508,,False,False,no IS-admissible point
