arm,cstar4b,cstar4a,gross_mean,CAGR_10,Sharpe_10,MaxDD_10,fail4b_at0
n=3 UNGATED parent g=1.00,0.0,0.0,0.9818466167540232,0.28972435025998666,1.039305607867041,-0.3310806472305512,DD
n=3 overlay  B=0.40 depth=0.50 g=1.00 (idea 42's arm),0.0,0.0,0.9265686078055623,0.26602318104724687,1.0091286485238227,-0.2703586142363241,DD
n=3 plain gross dial g=0.85 (idea 42's comparand),0.0,0.0,0.8345696242409197,0.24781172124369988,1.039305607867041,-0.28850903163543573,DD
n=3 matched-gross control of the overlay,0.0,0.0,0.9265686078055623,0.27410074031599074,1.039305607867041,-0.3153693288303232,DD
n=20 overlay  B=0.40 depth=0.50 g=1.00,0.0,0.0,0.9401467531155826,0.16498470874532178,1.0969995802897112,-0.22037361924144605,DD
n=20 plain gross dial g=0.85,0.0,0.0,0.8468312006797136,0.14551367488358546,1.0704707912176072,-0.20685091134531652,DD
n=20 matched-gross control of the overlay,0.0,0.0,0.9401467531155826,0.16147238329406277,1.0704707912176077,-0.22753942944357164,DD
