panel,B,seed,leg,window,obs,SE,t,p2,mean,lo,hi,fail_share,n,joint4b
B136,5,11,L1_H1,FULL,0.3600406546759264,0.14231615410005205,2.529864982318228,0.01,0.36318988168394906,0.08976907626881188,0.6411232917710241,0.0045,4000,0.64225
B136,5,11,L2_H2,FULL,0.31657530255421906,0.16882083572849851,1.8752146391654085,0.0605,0.30874275927409073,-0.020379274830360464,0.6409497663199949,0.03375,4000,0.64225
B136,5,11,L3_OOS,FULL,0.4191157342889814,0.16156052617904929,2.5941716346262504,0.0075,0.4179657893654502,0.10856019577040299,0.7385338240184623,0.00375,4000,0.64225
B136,5,11,L4_DD,FULL,0.08422049627479955,0.03475779163531596,2.4230681039363433,0.01,0.020560602655139953,-0.041724563613315564,0.09760215268693612,0.27675,4000,0.64225
B136,5,11,L5_CAGR,FULL,0.019236014470239773,0.014481494713500714,1.328316921063856,0.171,0.019120219312336026,-0.010642689851760763,0.04576675853982761,0.0975,4000,0.64225
B136,5,11,L5_CAGR,OOS,0.02327192274128287,0.020655648432886253,1.126661446475396,0.26,0.02297313429501045,-0.01874029950282647,0.06275442920004673,0.1325,4000,
B136,5,22,L1_H1,FULL,0.3600406546759264,0.14207977778830425,2.534073886379377,0.0115,0.3642091245729272,0.09043531263600862,0.6477653678186127,0.006,4000,0.64225
B136,5,22,L2_H2,FULL,0.31657530255421906,0.165178660970552,1.9165629548883314,0.0565,0.3055946310256204,-0.018403079974404844,0.6350671188174681,0.03375,4000,0.64225
B136,5,22,L3_OOS,FULL,0.4191157342889814,0.16523156148857465,2.536535577786464,0.0095,0.41924924668959884,0.0998016572507467,0.749968653605042,0.006,4000,0.64225
B136,5,22,L4_DD,FULL,0.08422049627479955,0.034889408567948255,2.413927312948782,0.013,0.02051260246469052,-0.04293633255386662,0.09720107815150279,0.27375,4000,0.64225
B136,5,22,L5_CAGR,FULL,0.019236014470239773,0.014587015142550229,1.3187080620851928,0.1805,0.01874406737733608,-0.011104216519487288,0.04597555299597689,0.09875,4000,0.64225
B136,5,22,L5_CAGR,OOS,0.02327192274128287,0.020971753835106906,1.1096793775218483,0.255,0.023302021139341628,-0.01899878797495482,0.06403420932301691,0.127,4000,
B136,5,33,L1_H1,FULL,0.3600406546759264,0.14093314586009345,2.554691108884665,0.009,0.35884271807962015,0.0896016542492815,0.6372610074173576,0.0045,4000,0.6355
B136,5,33,L2_H2,FULL,0.31657530255421906,0.16742391080365185,1.8908607559973083,0.059,0.3088086741009623,-0.018993220051706512,0.6422840545530029,0.0335,4000,0.6355
B136,5,33,L3_OOS,FULL,0.4191157342889814,0.16358948737371423,2.5619967457415327,0.008,0.41225038875511816,0.09403086058381875,0.7475058891149049,0.005,4000,0.6355
B136,5,33,L4_DD,FULL,0.08422049627479955,0.034583624419670604,2.435270960983959,0.008,0.019442165275591276,-0.04120019904516252,0.09566154626289258,0.28775,4000,0.6355
B136,5,33,L5_CAGR,FULL,0.019236014470239773,0.014258418352498982,1.3490987565860277,0.173,0.018751770664413962,-0.00859416615334695,0.04620387471821913,0.0985,4000,0.6355
B136,5,33,L5_CAGR,OOS,0.02327192274128287,0.020996994597750528,1.1083454173854035,0.2635,0.022522598601759057,-0.018605856862839415,0.06201400980552519,0.14325,4000,
B136,10,11,L1_H1,FULL,0.3600406546759264,0.13992525712497203,2.5730926787174795,0.0075,0.3627675829854729,0.09834496730813229,0.6364453658271522,0.0035,4000,0.64775
B136,10,11,L2_H2,FULL,0.31657530255421906,0.17179637283127022,1.8427356604620717,0.0525,0.3012806496900262,-0.01748096312822383,0.6522889084423353,0.034,4000,0.64775
B136,10,11,L3_OOS,FULL,0.4191157342889814,0.16891398579051373,2.481237609352056,0.011,0.40967842570777124,0.08747653789816358,0.7599673067264213,0.0065,4000,0.64775
B136,10,11,L4_DD,FULL,0.08422049627479955,0.03819631145249912,2.204937939610636,0.014,0.02406497098989426,-0.04282642111244642,0.1093177859271129,0.2685,4000,0.64775
B136,10,11,L5_CAGR,FULL,0.019236014470239773,0.014351882132252509,1.3403130190855814,0.1795,0.01898229726254028,-0.008966584457692321,0.04682614521537004,0.09725,4000,0.64775
B136,10,11,L5_CAGR,OOS,0.02327192274128287,0.0209612625411489,1.1102347816882656,0.252,0.02282100829583843,-0.017867217734903677,0.06719853321775152,0.129,4000,
B136,10,22,L1_H1,FULL,0.3600406546759264,0.14219922841677582,2.5319452059238525,0.0095,0.3576405885044936,0.08563159048464433,0.6423848574255874,0.00475,4000,0.6615
B136,10,22,L2_H2,FULL,0.31657530255421906,0.17216450415818388,1.8387954247720615,0.054,0.30557405499434614,-0.01748834791864737,0.6582505928455423,0.03325,4000,0.6615
B136,10,22,L3_OOS,FULL,0.4191157342889814,0.16714277394327198,2.507531282394707,0.0115,0.41227848445732357,0.08688665993459552,0.7499227386863502,0.0065,4000,0.6615
B136,10,22,L4_DD,FULL,0.08422049627479955,0.03756576842366492,2.2419479171826024,0.0115,0.024271475735414712,-0.04097824720339022,0.10725226696430043,0.262,4000,0.6615
B136,10,22,L5_CAGR,FULL,0.019236014470239773,0.014324145646854018,1.3429083272735738,0.176,0.018841847457199624,-0.009404447686568916,0.04691665062147112,0.0935,4000,0.6615
B136,10,22,L5_CAGR,OOS,0.02327192274128287,0.021048833690788814,1.1056157829527107,0.25,0.023204715492159387,-0.018656692616212722,0.06652062601108831,0.13225,4000,
B136,10,33,L1_H1,FULL,0.3600406546759264,0.13862354685719236,2.5972546716528195,0.005,0.36052332968066925,0.09585637287734379,0.6451772986281094,0.0025,4000,0.66175
B136,10,33,L2_H2,FULL,0.31657530255421906,0.17127035606694146,1.8483951912290344,0.053,0.30151121578790674,-0.019640001569336447,0.643400978196539,0.036,4000,0.66175
B136,10,33,L3_OOS,FULL,0.4191157342889814,0.1681134974357416,2.493052257443998,0.0085,0.4069663424746708,0.10108245343496841,0.74100159646677,0.0045,4000,0.66175
B136,10,33,L4_DD,FULL,0.08422049627479955,0.0368047291146851,2.288306375312936,0.014,0.02453329911869093,-0.03978278771258093,0.10672444279954045,0.261,4000,0.66175
