panel,arm,seed,pick_stop,pick_cool,is_sharpe,oos_sharpe,donothing_oos,delta,cellmean_oos,worst_oos,rank_is_oos,spy_oos,live_oos,pick_4b,donothing_4b
U56,STOP,0,0.2,21,1.1911235583659776,1.1362713046210584,1.1831862943616593,-0.04691498974060093,1.0633443819959176,0.8883080555047502,0.5510917030567686,0.8747033226162612,1.2780694840193234,True,True
U56,RANDOM,11,0.2,21,1.2393536858417187,1.1381670233404872,1.1831862943616593,-0.04501927102117209,1.1080517569613118,0.9456031628680905,0.09170305676855894,0.8747033226162612,1.2780694840193234,False,True
U56,RANDOM,23,0.1,126,1.2668257554332727,0.9826318408687684,1.1831862943616593,-0.20055445349289092,1.0993138161442626,0.9122486588852269,-0.49257641921397377,0.8747033226162612,1.2780694840193234,False,True
U56,RANDOM,37,0.1,63,1.3462477254309773,1.063728143365418,1.1831862943616593,-0.11945815099624135,1.108910824656143,0.9079653193722951,-0.13886462882096068,0.8747033226162612,1.2780694840193234,False,True
U56,WORSTRANK,0,0.1,21,1.3033101346830553,1.0519940465022473,1.1831862943616593,-0.13119224785941208,1.1357977166631603,0.9903821032047158,-0.1353711790393013,0.8747033226162612,1.2780694840193234,False,True
B135,STOP,0,0.2,126,1.170481178890459,0.9673117803279652,1.024015074035567,-0.05670329370760174,0.9044836036102182,0.7274422040642444,0.09606986899563318,0.8769078511614361,1.1061149281164175,False,False
B135,RANDOM,11,0.15,21,1.2774757514804613,0.9890140227450309,1.024015074035567,-0.03500105129053599,0.9861483203011977,0.7335317443875087,-0.411353711790393,0.8769078511614361,1.1061149281164175,False,False
B135,RANDOM,23,0.2,21,1.2642130434030334,0.9680049895603267,1.024015074035567,-0.05601008447524025,0.9915453790916041,0.8327046174138732,-0.2026200873362445,0.8769078511614361,1.1061149281164175,False,False
B135,RANDOM,37,0.15,21,1.2961970451477032,0.954399421218141,1.024015074035567,-0.06961565281742588,1.0011020482798894,0.8689029325741254,-0.611353711790393,0.8769078511614361,1.1061149281164175,False,False
B135,WORSTRANK,0,0.1,63,1.286218985000507,0.9744592211986602,1.024015074035567,-0.049555852836906666,1.0186772917517255,0.917835699446298,0.04498798971662486,0.8769078511614361,1.1061149281164175,False,False
SMALL663,STOP,0,0.2,21,0.9521524376558389,0.5463504618197291,0.4534302580652865,0.09292020375444265,0.5144615485772671,0.3947764429901823,0.3790393013100436,0.8768941923019906,0.6517830906127121,False,False
SMALL663,RANDOM,11,0.15,0,0.9438157925728756,0.4945905870528458,0.4534302580652865,0.041160328987559336,0.5690889174832336,0.4183828940351055,0.2209606986899563,0.8768941923019906,0.6517830906127121,False,False
SMALL663,RANDOM,23,0.15,63,0.9228304893958627,0.5248200829704727,0.4534302580652865,0.0713898249051862,0.6153241308070455,0.4534302580652865,0.3117903930131004,0.8768941923019906,0.6517830906127121,False,False
SMALL663,RANDOM,37,0.1,0,0.9866048121470612,0.6560865557062222,0.4534302580652865,0.20265629764093573,0.5847575114874187,0.37929762997920974,0.148471615720524,0.8768941923019906,0.6517830906127121,False,False
SMALL663,WORSTRANK,0,0.2,21,0.9911365163392059,0.5961999676625719,0.4534302580652865,0.1427697095972854,0.5947821826937635,0.42664703566184026,0.4000873648585278,0.8768941923019906,0.6517830906127121,False,False
