claim_set,population,n,states_in_text,states_in_script,states_in_either,share_either,script_not_ratio,script_unstated,unmapped
C_1219,SE,113,0,3,3,0.02654867256637168,38,67,4
C_1219,T,210,0,7,7,0.03333333333333333,103,100,0
C_HEAD,SE,115,0,3,3,0.02608695652173913,38,69,4
C_HEAD,T,211,0,7,7,0.03317535545023697,103,101,0
C_MEMO,SE,264,0,4,4,0.015151515151515152,67,139,52
C_MEMO,T,359,0,14,14,0.03899721448467967,130,187,28
C_ALL,SE,316,38,6,43,0.1360759493670886,81,173,54
C_ALL,T,482,47,40,87,0.18049792531120332,178,231,33
