bar,n_decisions_flipping,fire_count_min,fire_count_max,fire_count_swing,mean_fire_rate
B_RESOLVED,2,15,17,2,0.22685185185185186
GAPEX_50,10,15,18,3,0.2330246913580247
GAPEX_75,0,1,1,0,0.013888888888888888
GAPEX_90,0,0,0,0,0.0
GAPEX_95,0,0,0,0,0.0
GAPEX_97.5,0,0,0,0,0.0
GAPEX_99,0,0,0,0,0.0
