arm,q,rows,p4a,p4b,rate4b
CROSSQ,0.0,192,0,0,0.0
CROSSQ,1.0,192,0,0,0.0
DV,0.0,352,0,0,0.0
DV,0.5,384,0,0,0.0
DV,1.0,288,0,0,0.0
REPRO,0.0,192,0,19,0.09895833333333333
REPRO,1.0,192,0,0,0.0
ROLL,0.0,280,0,58,0.20714285714285716
ROLL,0.5,384,0,1,0.0026041666666666665
ROLL,1.0,384,0,0,0.0
VOL,0.0,384,0,0,0.0
VOL,0.5,384,0,0,0.0
VOL,1.0,384,0,0,0.0
