panel,book,N,pass4a_v1,pass4a_v2,pass4b,both
B136,CAND5,3000,531,0,61,0
B136,CAND20,3000,2911,21,747,1
B136,EWall,3000,-1,-1,-1,-1
SMALL484,CAND5,3000,48,0,0,0
SMALL484,CAND20,3000,22,2,0,0
SMALL484,EWall,3000,-1,-1,-1,-1
