variant,q,dial,mean_2022,worst,best,vs_LEVEL020_mean,arms_better_3pp,arms
ASYM,0.4,0.5,-0.01949977683490876,-0.044806121411143374,0.0,0.06111068485048766,10,12
ASYM,0.4,0.65,-0.019711195419097122,-0.045511273253886375,0.0,0.060899266266299296,10,12
BOTH,0.4,20.0,-0.021523997333254264,-0.03422180421858356,-0.00942669541578911,0.059086464352142154,10,12
ASYM,0.2,0.65,-0.02432179115577428,-0.0519094642511454,0.0,0.05628867052962214,9,12
ASYM,0.2,0.5,-0.02432179115577428,-0.0519094642511454,0.0,0.05628867052962214,9,12
ASYM,0.3,0.5,-0.024701661887602245,-0.0519094642511454,0.0,0.05590879979779417,9,12
ASYM,0.3,0.65,-0.024804781175319906,-0.0519094642511454,0.0,0.05580568051007651,9,12
LEVEL,0.4,,-0.026622636378588183,-0.044806121411143374,-0.011024556211803094,0.053987825306808235,9,12
BOTH,0.3,20.0,-0.03168393532849403,-0.06634381051654792,-0.004253766393863767,0.048926526356902394,8,12
ROC,,10.0,-0.03539699695504774,-0.10899024570906013,-0.005864670343338152,0.04521346473034868,8,12
LEVEL,0.3,,-0.03764902581034197,-0.06634381051654792,-0.004253766393863767,0.042961435875054445,7,12
ASYM,0.3,0.35,-0.03806875977350091,-0.06634381051654792,-0.008133748270855445,0.04254170191189551,7,12
ASYM,0.2,0.35,-0.0382646073484591,-0.07668530215635694,-0.0068010068765667064,0.04234585433693732,7,12
ASYM,0.4,0.35,-0.03858294436779184,-0.06634381051654792,-0.008731378318031946,0.042027517317604575,7,12
ROCQ,0.4,10.0,-0.041603003419699046,-0.13610993415875328,-0.005864670343338152,0.039007458265697376,8,12
ROCQ,0.4,40.0,-0.05224436594195097,-0.1554029841642084,0.029071183489934427,0.028366095743445452,6,12
ROCQ,0.3,10.0,-0.05332239021537246,-0.13610993415875328,-0.006969014539561336,0.02728807147002396,8,12
ROC,,40.0,-0.05453877282240326,-0.1554029841642084,0.010725732617869577,0.02607168886299316,6,12
ROCQ,0.2,10.0,-0.05543672295144444,-0.13610993415875328,-0.004847548471331065,0.025173738733951984,5,12
ROCQ,0.1,10.0,-0.05654367478676344,-0.1053250453983049,-0.0132087834443817,0.02406678689863298,4,12
ROCQ,0.4,20.0,-0.05866602009323816,-0.20262924305562902,0.03642371866707417,0.02194444159215826,5,12
ROC,,60.0,-0.05931483464434825,-0.17290406546537573,-0.0003746156909023579,0.021295627041048166,6,12
ROC,,20.0,-0.06007772722910611,-0.20262924305562902,0.019354045198679337,0.020532734456290308,5,12
ROCQ,0.4,60.0,-0.06445868821270029,-0.23255757072936245,-0.0003746156909023579,0.01615177347269613,7,12
ASYM,0.1,0.5,-0.06492258025186025,-0.12312015865325143,-0.026299026493059374,0.015687881433536176,3,12
ASYM,0.1,0.65,-0.06492258025186025,-0.12312015865325143,-0.026299026493059374,0.015687881433536176,3,12
BOTH,0.2,20.0,-0.07457779457168698,-0.16928669275965225,-0.022798216853123332,0.0060326671137094405,1,12
ROCQ,0.3,20.0,-0.07709858851751845,-0.20262924305562902,-0.0027758506783339687,0.0035118731678779602,4,12
ASYM,0.1,0.35,-0.07801350458785518,-0.1543084447177827,-0.026299026493059374,0.002596957097541236,3,12
ROCQ,0.3,40.0,-0.08000446339901278,-0.2754696745723182,0.013232157124458244,0.0006059982863836355,4,12
ROCQ,0.1,20.0,-0.08029680193787957,-0.20262924305562902,-0.03877806997846567,0.00031365974751685716,3,12
LEVEL,0.2,,-0.08061046168539641,-0.16204583088390168,-0.03145769600523307,0.0,0,12
ROCQ,0.3,60.0,-0.08304389740302985,-0.28141846600296205,-0.005469708881937652,-0.0024334357176334365,4,12
ROCQ,0.2,20.0,-0.08456392193204088,-0.20262924305562902,0.0020362972069014607,-0.003953460246644447,4,12
ROCQ,0.2,40.0,-0.08833186966403601,-0.2754696745723182,-0.002861154361270435,-0.00772140797863959,3,12
BOTH,0.1,20.0,-0.09354110860440386,-0.20262924305562902,-0.03899242522220847,-0.012930646919007444,1,12
ROCQ,0.2,60.0,-0.09578759174684154,-0.2754696745723182,-0.005469708881937652,-0.01517713006144511,3,12
ROCQ,0.1,40.0,-0.09698977561305776,-0.2212468505720303,-0.044249420956672836,-0.016379313927661326,1,12
LEVEL,0.1,,-0.11778208729049933,-0.2693639091901242,-0.0344363453052966,-0.037171625605102926,1,12
ROCQ,0.1,60.0,-0.12385784869283696,-0.2750664417814572,-0.04618878301873908,-0.043247387007440546,0,12
