window,basis,pair,char,predictor,n,slope,icept,R2,sd_resid,spearman
FULL,FULL,BS,momac,min_n,255,-0.15558948076590665,-1.9321055673544498,0.01962995667747458,0.20337458592589855,-0.2159986326289528
FULL,FULL,BS,momac,tot_n,255,0.002043182580876207,-2.2320026301453795,8.085472208985145e-06,0.20539974960897234,-0.055453043627529126
FULL,FULL,BS,momac,fill,255,0.2733968601364962,-2.090996550978397,0.12434910091867946,0.1922060990671876,0.36818840323732965
FULL,FULL,BS,momac,neff_min,255,-0.14211820548438286,-1.9709672294613205,0.016027090658752408,0.20374794465190138,-0.18195898388079126
FULL,FULL,BS,tpers,min_n,259,0.08605759214506944,-3.0794882635290706,0.0052622090419116585,0.22123266440990694,0.04209400912612263
FULL,FULL,BS,tpers,tot_n,259,0.10382579323990955,-3.1721345517958746,0.01811311585009201,0.21979897886732383,0.1371675921892875
FULL,FULL,BS,tpers,fill,259,-0.05991816996115185,-2.9461661846682494,0.005253172572182718,0.22123366927659288,-0.015708439198799218
FULL,FULL,BS,tpers,neff_min,259,0.11746157415679587,-3.1184768243471,0.009873473486611717,0.22071928924816003,0.08003337278576789
FULL,FULL,SS,momac,min_n,407,-0.05133049523640338,-2.3694162994368577,0.004868020579619214,0.21872272345941743,-0.12941806901549693
FULL,FULL,SS,momac,tot_n,407,0.03660616477084569,-2.5697116734356564,0.0014525620360763547,0.2190977483393133,-0.05075942567174943
FULL,FULL,SS,momac,fill,407,-0.09537911268834522,-2.5383203450733007,0.02399145046443074,0.21661093374870624,-0.10374267031067083
FULL,FULL,SS,momac,neff_min,407,-0.0733415792686744,-2.3346812106867905,0.008904355674973496,0.2182786942959944,-0.16336711781978114
FULL,FULL,SS,tpers,min_n,410,-0.16706979828463359,-2.8234653024399208,0.04617579093753432,0.22733752467815901,-0.30320362948714713
FULL,FULL,SS,tpers,tot_n,410,-0.1540322777896745,-2.772930256454375,0.023123547744821504,0.2300682965325693,-0.22691599571799834
FULL,FULL,SS,tpers,fill,410,0.022098745160866087,-3.1550191262089293,0.0011586861170254092,0.23264043703237422,0.13367143966587378
FULL,FULL,SS,tpers,neff_min,410,-0.1913244527037794,-2.8176595863608607,0.04956616434495442,0.2269331287592388,-0.2955450921597973
FULL,SUB,BS,momac,min_n,251,-0.07531447535813662,-2.0406799315477993,0.005219564869557325,0.19394294949997298,-0.21473292772164967
FULL,SUB,BS,momac,tot_n,251,0.10444146037434972,-2.44077502839462,0.023145596075999086,0.19218757100027392,0.10036678545399329
FULL,SUB,BS,momac,fill,251,0.014418910880797652,-2.1762566361203315,0.00037788844975816804,0.19441434458686632,0.17997475327131943
FULL,SUB,BS,momac,neff_min,251,0.021189910076814412,-2.2205682061232452,0.0004917710011124177,0.19440326988576118,-0.1275080081119383
FULL,SUB,BS,tpers,min_n,259,0.23336562125510404,-3.4240586283955734,0.033636387584441985,0.23387956984997862,0.12266610174840971
FULL,SUB,BS,tpers,tot_n,259,0.03921628052021452,-3.0788563300930374,0.00224626674694417,0.2376477368635213,0.05655041084154938
FULL,SUB,BS,tpers,fill,259,-0.13637285019217893,-3.049638587705177,0.02365409297593324,0.23508442513380315,-0.05167979031867972
FULL,SUB,BS,tpers,neff_min,259,0.21038613543783474,-3.3376123022394326,0.032156792977652726,0.23405854730181505,0.1670596223320391
FULL,SUB,SS,momac,min_n,406,-0.10400270309556728,-2.2703132035058338,0.011409979241955859,0.2879084931547134,-0.1843521197529306
FULL,SUB,SS,momac,tot_n,406,0.05219508495516347,-2.6197640389288033,0.001696738912815965,0.28931943634791135,-0.061798755238199
FULL,SUB,SS,momac,fill,406,-0.09337943056710254,-2.547117073243066,0.013113596439023767,0.28766031274464504,-0.05537917383449954
FULL,SUB,SS,momac,neff_min,406,-0.08827621700620268,-2.3138928256906586,0.008092942062510433,0.28839110142080127,-0.16733123990117474
FULL,SUB,SS,tpers,min_n,410,-0.1302604848438135,-2.896081205029581,0.02931653372464016,0.2244095714464639,-0.24487619131140725
FULL,SUB,SS,tpers,tot_n,410,-0.12785525980864484,-2.8366963597999337,0.016639373942123004,0.2258702162969221,-0.18334364472396286
FULL,SUB,SS,tpers,fill,410,-0.046665776849499255,-3.1967690491466496,0.00539630351165532,0.22715776901721924,0.01563430370510253
