w,gate_Sharpe,gate_MaxDD,n_dom_full,n_dom_oos,dom_floors_full,dom_floors_oos
63,0.9994922415804954,-0.19505289829790395,0,0,[],[]
126,1.0093033793978776,-0.1901857849287727,0,0,[],[]
252,1.1537944792853247,-0.15106525419372918,0,0,[],[]
504,1.1501293306943645,-0.16869621482271746,0,2,[],"[0.1, 0.25]"
756,1.074926142316338,-0.18153170083537873,1,0,[0.1],[]
1008,1.1066540340010425,-0.15111321518579846,0,0,[],[]
