panel,key,rank_IC,t,kind
u56,VOL,0.08030992909171478,4.216880339267849,real
u56,MOM,0.04393146128409734,2.1272726344579733,real
u56,R6,0.04024329165651234,2.2474338134747764,real
u56,R3,0.0240767797241623,1.3386550247478448,real
u56,PRICE,-0.039108088643928646,-2.775458748516162,real
u56,NULL00,-0.014357326453352429,-1.649636354566878,nullkey
u56,NULL01,0.004080148041525099,0.4050700328466844,nullkey
u56,NULL02,0.021571379951778453,2.5377050211658365,nullkey
u56,NULL03,-0.008997067191174844,-0.9051885610835485,nullkey
u56,NULL04,0.002470788470826518,0.2612551126070643,nullkey
u56,NULL05,-0.001375005590897191,-0.15029265915472872,nullkey
u56,NULL06,-7.081475402376852e-05,-0.0068908498313520585,nullkey
u56,NULL07,0.004085312374990235,0.3903244446879516,nullkey
u56,NULL08,-0.007219513036127972,-0.7641043261512368,nullkey
u56,NULL09,0.011101346162683299,1.1428801713554921,nullkey
u56,NULL10,-0.009755126715496484,-0.9520815949799535,nullkey
u56,NULL11,-0.009872370060379736,-1.0067318110988546,nullkey
u56,NULL12,-0.007655754530066149,-0.7828713278227677,nullkey
u56,NULL13,-0.012488467548179994,-1.2016813308178755,nullkey
u56,NULL14,-0.002779951044825428,-0.286633242866269,nullkey
u56,NULL15,0.006942711844406196,0.7554032924317167,nullkey
u56,NULL16,0.0039320283466823406,0.4454500585235043,nullkey
u56,NULL17,0.0006569184807604562,0.06480017197161847,nullkey
u56,NULL18,0.030432184985152714,2.951288116889656,nullkey
u56,NULL19,-0.0072450908576080116,-0.7532217568632144,nullkey
broad,VOL,0.060941608120358655,3.837260852326826,real
broad,MOM,0.02140765919054116,1.321433993324433,real
broad,R6,0.009821226236907838,0.6715822651971495,real
broad,R3,-0.002492785440233976,-0.18044134880491572,real
broad,PRICE,-0.037513159001234246,-4.0888981374880915,real
broad,NULL00,-0.0052218745135055,-0.8688237744462906,nullkey
broad,NULL01,0.007022366129059398,1.1619770352135075,nullkey
broad,NULL02,-0.0033747143488401764,-0.4945571991379593,nullkey
broad,NULL03,0.0002179215363323993,0.036034859982409455,nullkey
broad,NULL04,0.0027480323508091565,0.4343775876189641,nullkey
broad,NULL05,0.006136904902947264,1.0070628255074825,nullkey
broad,NULL06,-0.009027709155664393,-1.4017354999513478,nullkey
broad,NULL07,0.018404404234387193,2.753404526313501,nullkey
broad,NULL08,-0.002567524421383147,-0.4091498443795978,nullkey
broad,NULL09,0.0027149683574928724,0.453590385784974,nullkey
broad,NULL10,-0.004965580272288674,-0.7958492419027944,nullkey
broad,NULL11,0.0020374319005734653,0.35941603913883274,nullkey
broad,NULL12,0.006924630066950647,1.2162825191172442,nullkey
broad,NULL13,-0.0041388972619404675,-0.6971381209614701,nullkey
broad,NULL14,-0.0015585839861797903,-0.2547032206098418,nullkey
broad,NULL15,-0.000420196438482902,-0.07019980743561786,nullkey
broad,NULL16,0.0039045187483581338,0.6751613189405763,nullkey
broad,NULL17,0.003177467099019455,0.5121004948349698,nullkey
broad,NULL18,-0.005791727015637426,-0.9603723634664283,nullkey
broad,NULL19,-0.004672043538893542,-0.7974001248087981,nullkey
small,VOL,-0.023206506634993792,-2.3825907571983587,real
small,MOM,0.004791501708542003,0.4962976231850002,real
small,R6,0.0002710071237769155,0.028838945221651233,real
small,R3,-0.008163698372214695,-0.9418181592295799,real
small,PRICE,-0.037970044361450836,-5.4165789120793075,real
small,NULL00,0.004620596570499541,1.195312856809152,nullkey
small,NULL01,0.00037377661220743647,0.09152341613080985,nullkey
small,NULL02,-0.003772061018421767,-0.8959988347401551,nullkey
small,NULL03,0.0013048556631211573,0.33079570633245753,nullkey
small,NULL04,-0.0003780907150382621,-0.09257728393619952,nullkey
small,NULL05,0.008258942460695133,1.9263312518159252,nullkey
small,NULL06,0.007495294696862755,1.8769835523110767,nullkey
small,NULL07,-0.0013141910675742645,-0.3296096864179648,nullkey
small,NULL08,0.003973839939657835,0.9556215693449718,nullkey
small,NULL09,0.0025995192870270087,0.6640688094958553,nullkey
small,NULL10,-0.0023342256407552753,-0.5411931452248948,nullkey
small,NULL11,0.005571375968984018,1.430895565865107,nullkey
small,NULL12,-0.0023787180718284006,-0.6261921525114046,nullkey
small,NULL13,-0.006150474119126722,-1.5858043117760225,nullkey
small,NULL14,-0.003915112078565167,-0.9809164095088179,nullkey
small,NULL15,0.0004817707309984441,0.12101853027317294,nullkey
small,NULL16,-0.0017385869233291075,-0.38835582969263177,nullkey
small,NULL17,-0.0017047215362785484,-0.4226427804612583,nullkey
small,NULL18,0.0001050537351749067,0.026379176600753215,nullkey
small,NULL19,0.0020367832962313887,0.47564044222539537,nullkey
