outcome,support,split,tie_mass,span_over_level,cross_extremity,rho
RESID,UNBOUNDED,S2016,0.05263157894736842,0.32244132964617944,0.14035087719298248,-0.03773585268935404
GAP,UNBOUNDED,S2016,0.05263157894736842,0.9521080934476699,0.1682910981156595,-0.8366988586479368
PRED,UNBOUNDED,S2016,0.05263157894736842,0.9792485465870735,0.17478882391163095,-0.8122807017543859
CSD,SEMI,S2016,0.05263157894736842,0.7738540638385564,0.27420402858999354,-0.8240457133791498
TURN,SEMI,S2016,0.05263157894736842,0.9021779308463914,0.2417153996101365,-0.9662133444413673
SHARPE,UNBOUNDED,S2016,0.05263157894736842,0.4219329509071861,0.09161793372319689,0.031578947368421054
CAGR,UNBOUNDED,S2016,0.05,0.376118104644328,0.137037037037037,-0.5846501128668171
MAXDD,BOUNDED,S2016,0.9,0.006264942646613953,0.9950617283950617,-0.154918145905216
MAXDD_DG,BOUNDED,S2016,0.1,0.21314498303292756,0.6537037037037037,-0.9364423377544946
WINRATE,BOUNDED,S2016,0.05,0.2586335226110031,0.12962962962962962,-0.3879699248120301
DDSHARE,BOUNDED,S2016,0.05,0.3226849003122423,0.10925925925925932,-0.8947368421052632
GSHARE,BOUNDED,S2016,0.10526315789473684,1.298427368610408,0.0792722547108512,-0.987275215709844
CBAR,BOUNDED,S2016,0.05263157894736842,1.3101221886625654,0.10721247563352827,-0.9912280701754386
CTAC1,BOUNDED,S2016,0.05263157894736842,0.21932100411469932,0.27225471085120206,-0.5175438596491229
HITSPY,BOUNDED,S2016,0.15,0.23205658709573865,0.43518518518518523,-0.9593984962406015
VOL,SEMI,S2016,0.05,0.29947809216775373,0.4061728395061729,-0.7062806065473658
TO,SEMI,S2016,0.05263157894736842,0.6857540201943804,0.1572449642625081,-0.9907855275879235
KURT,SEMI,S2016,0.05,0.19788880229276795,0.8413580246913581,0.8946576373212942
SKEW,UNBOUNDED,S2016,0.05,0.08650624712155033,0.9160493827160492,-0.5353383458646617
CALMAR,UNBOUNDED,S2016,0.1,0.05201785183916973,0.9586419753086417,0.5317789018413074
RESID,UNBOUNDED,S2018,0.05263157894736842,0.17022508928169836,0.2475633528265107,-0.04651163238455265
GAP,UNBOUNDED,S2018,0.05263157894736842,0.799366740458349,0.21117608836907084,-0.8012286861716335
PRED,UNBOUNDED,S2018,0.05263157894736842,0.8677683072293729,0.21117608836907084,-0.848990342405619
CSD,SEMI,S2018,0.05263157894736842,0.7550033136106087,0.2657569850552307,-0.7959632183545142
TURN,SEMI,S2018,0.05263157894736842,0.8690425355296834,0.1884340480831709,-0.9697236563194468
SHARPE,UNBOUNDED,S2018,0.05263157894736842,0.6159120315345628,0.23651721897335934,-0.19921019908100854
CAGR,UNBOUNDED,S2018,0.05,0.34703857460956467,0.4296296296296296,-0.7769838834541308
MAXDD,BOUNDED,S2018,0.45,0.05211438089241911,0.9493827160493827,0.8019580586913275
MAXDD_DG,BOUNDED,S2018,0.1,0.2637316601300597,0.6086419753086421,-0.9409553128762029
WINRATE,BOUNDED,S2018,0.05,0.3612772185794931,0.08395061728395063,-0.4616541353383459
DDSHARE,BOUNDED,S2018,0.05,0.42768172055328635,0.12098765432098768,-0.9138774621459526
GSHARE,BOUNDED,S2018,0.10526315789473684,1.2842531350339432,0.07407407407407407,-0.9942958394660029
CBAR,BOUNDED,S2018,0.05263157894736842,1.2836989037867679,0.07212475633528266,-0.9912280701754386
CTAC1,BOUNDED,S2018,0.05263157894736842,0.21480212040655847,0.2404158544509422,-0.3508771929824561
HITSPY,BOUNDED,S2018,0.05,0.2363346860383401,0.6092592592592593,-0.8917293233082707
VOL,SEMI,S2018,0.05,0.14376938777264378,0.7104938271604938,-0.39849624060150374
TO,SEMI,S2018,0.05263157894736842,0.670733225217572,0.11695906432748542,-0.9894644424934153
KURT,SEMI,S2018,0.05,0.11531534456864088,0.8796296296296298,0.9503759398496241
SKEW,UNBOUNDED,S2018,0.05,0.11205972510613603,0.8858024691358025,-0.5789473684210527
CALMAR,UNBOUNDED,S2018,0.05,0.19225355979027614,0.6895061728395061,0.3308270676691729
