panel,dial,n_values,spearman_dial_turnover,turn_min,turn_max,argmax_0bps,argmax_5bps,argmax_10bps,argmax_15bps,argmax_20bps,argmax_25bps,argmax_30bps,n_distinct_argmax,rerankable,first_move_bps,sharpe_range_10bps,cost_of_0bps_pick_at_30
U56,N,9,-1.0,6.686025626114198,27.632895828655922,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,False,,0.19544952928577275,0.0
U56,G,7,-1.0,10.564530801215243,12.832255158431167,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.0481685840231334,0.0
U56,V,8,-0.9761904761904763,12.222099266558633,14.304875859581779,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.3968620727225691,0.0
U56,K,7,-1.0,3.2548063460438477,12.832255158431167,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2,True,5.0,0.14608980938295268,0.15513735055020828
B136,N,10,-0.9999999999999999,11.415836808757009,32.05845452567644,40.0,40.0,56.0,56.0,56.0,56.0,56.0,2,True,10.0,0.279719153682243,0.017702867937430367
B136,G,7,-0.9642857142857145,17.730468464160875,18.349650059898526,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1,False,,0.016767137858137215,0.0
B136,V,8,-1.0,17.50670015629153,25.7424299733303,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,False,,0.20872587619769445,0.0
B136,K,7,-1.0,4.649802397768654,18.349650059898526,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,False,,0.10327532816457108,0.0
SMALL484,N,10,-0.9999999999999999,21.25919266032842,48.348226444009086,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,False,,0.42757365667361863,0.0
SMALL484,G,7,-0.9642857142857145,27.76330545886477,27.898717682739594,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,False,,0.036710136855732656,0.0
SMALL484,V,8,-0.7619047619047621,21.845198489495758,34.68477246683638,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,False,,0.4597939554303194,0.0
SMALL484,K,7,-1.0,6.079713669024431,27.898717682739594,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2,True,5.0,0.24479852026408988,0.23016691467508713
