book,conv,panel,cost,rho_flips_Sharpe,rho_flips_gmSharpe,Sharpe_range,gm_Sharpe_range,argmax_family,argmax_dial,argmax_flips,argmax_Sharpe,argmax_interior,slowest_Sharpe,fastest_Sharpe,rho_flips_gross
ew-all,dg,B136,10,0.4208588957055215,0.4208588957055215,0.2076442963044266,0.2076434276734177,BAND,0.08,0.8821561084427852,1.1240393045029402,True,1.0378238033494112,1.0937126762113742,0.150920245398773
ew-all,dg,B136,25,0.2785276073619632,0.2785276073619632,0.19697261627372042,0.1969706427575948,BAND,0.08,0.8821561084427852,1.0995815189292157,True,1.022706356010417,1.0232571435126236,0.150920245398773
ew-all,dg,SMALL439,10,-0.27116564417177913,-0.27116564417177913,0.12101785719269076,0.12105778377822063,BAND,0.12,1.1825235619958152,0.6518691650234858,True,0.5857396415565871,0.5395195187479797,-0.7644171779141105
ew-all,dg,SMALL439,25,-0.7374233128834357,-0.7374233128834357,0.16213238061128715,0.16214452659720074,BAND,0.2,0.7473464683988984,0.6211589643790492,True,0.5661988856078859,0.459026583767762,-0.7644171779141105
ew-all,dg,U56,10,0.6515337423312885,0.6515337423312885,0.2938136935543315,0.29373579644194237,BAND,0.03,1.7459699240398325,1.2056219490390438,True,1.116480463669222,1.1711820871541068,0.3398773006134969
ew-all,dg,U56,25,0.4159509202453988,0.4159509202453988,0.2701258466162545,0.2699912541701027,BAND,0.03,1.7459699240398325,1.168046810053237,True,1.1023759747321573,1.1033152355178564,0.3398773006134969
ew-all,rw,B136,10,-0.42822085889570555,-0.42822085889570555,0.16286809086378384,0.16286806648436936,BAND,0.12,0.5875577610343493,1.1763888777448153,True,1.077992499572532,1.056627234650641,-0.5926380368098161
ew-all,rw,B136,25,-0.739877300613497,-0.739877300613497,0.20068311395271599,0.2006830303682533,BAND,0.12,0.5875577610343493,1.1486473368204129,True,1.0588568800705396,0.9489014612578257,-0.5926380368098161
ew-all,rw,SMALL439,10,-0.5754601226993866,-0.5754601226993866,0.21839484583103597,0.2183951098007334,BAND,0.2,0.7473464683988984,0.7217821402257085,True,0.620932144466944,0.5033872943946726,-0.494478527607362
ew-all,rw,SMALL439,25,-0.788957055214724,-0.788957055214724,0.2946393659811151,0.2946395807808527,BAND,0.2,0.7473464683988984,0.6915608425498466,True,0.5986835642362656,0.3969214765687315,-0.494478527607362
ew-all,rw,U56,10,0.09202453987730062,0.09202453987730062,0.16339593086094784,0.16339590920344071,BAND,0.12,0.5176193617449902,1.2263931316299044,True,1.1366772618963794,1.0909381206258195,-0.5950920245398773
ew-all,rw,U56,25,-0.550920245398773,-0.550920245398773,0.21837494301397375,0.2183747646318005,BAND,0.12,0.5176193617449902,1.2000103908327182,True,1.1191801758141442,0.9816354478187445,-0.5950920245398773
top20,dg,B136,10,-0.29570552147239265,-0.29570552147239265,0.1525024243744545,0.15250157532199948,BAND,0.2,0.3060708838860941,1.060085451090189,False,1.060085451090189,0.9906760628694204,0.550920245398773
top20,dg,B136,25,-0.3398773006134969,-0.3398773006134969,0.15654897297263437,0.1565469001397619,BAND,0.2,0.3060708838860941,0.9392939911790956,False,0.9392939911790956,0.8584235751002148,0.550920245398773
top20,dg,SMALL439,10,0.4233128834355829,0.4233128834355829,0.22686714960517762,0.22686659849797053,BAND,0.05,2.2825740457696337,0.7579879748881518,True,0.5311208252829742,0.7473654343945813,-0.24907975460122703
top20,dg,SMALL439,25,0.403680981595092,0.403680981595092,0.2264722777480042,0.2264718401629599,BAND,0.05,2.2825740457696337,0.6394757188911493,True,0.4130034411431451,0.6282495869200462,-0.24907975460122703
top20,dg,U56,10,0.05521472392638037,0.05521472392638037,0.11876036393711464,0.11874266474532558,STALE,21.0,1.638464364292796,1.1796516401260349,True,1.164356758328082,1.146904906133578,0.16319018404907976
top20,dg,U56,25,-0.14355828220858896,-0.14355828220858896,0.11696765326869885,0.1169096806601494,BAND,0.2,0.2588096808724951,1.0909201564544297,False,1.0909201564544297,1.0349483125006096,0.16319018404907976
top20,rw,B136,10,-0.17791411042944785,-0.17791411042944785,0.11105588884453177,0.11105583696954346,BAND,0.12,0.5875577610343493,1.0253602212382833,True,1.0199905630617723,0.9902185996262249,-0.5141104294478528
top20,rw,B136,25,-0.2883435582822086,-0.2883435582822086,0.10917348136111915,0.10917333869194978,BAND,0.2,0.3060708838860941,0.8983770626895902,False,0.8983770626895902,0.8554356017964078,-0.5141104294478528
top20,rw,SMALL439,10,0.403680981595092,0.403680981595092,0.2265299994030111,0.22653022751923846,BAND,0.05,2.2825740457696337,0.7576931842160348,True,0.5311631848130237,0.7466275783797374,0.4625766871165644
top20,rw,SMALL439,25,0.403680981595092,0.403680981595092,0.22613411441078635,0.22613430217328023,BAND,0.05,2.2825740457696337,0.6391633247461694,True,0.4130292103353831,0.6274964773212828,0.4625766871165644
top20,rw,U56,10,-0.2294478527607362,-0.2294478527607362,0.10988219119350195,0.10988206274090162,BAND,0.12,0.5176193617449902,1.1898321397238092,True,1.1453363837501882,1.1083665984250335,-0.5460122699386504
top20,rw,U56,25,-0.5239263803680982,-0.5239263803680982,0.10982900403192597,0.10982890080444407,BAND,0.12,0.5176193617449902,1.0974449495288257,True,1.070364386957864,0.9876159454968997,-0.5460122699386504
