panel,window,book,gross,k,turnover_yr,mean_elig,mean_names,mean_gross,max_gross,max_name_w
U56,252,CAP2,0.75,INF,3.506382942083226,38.450337078651685,38.55662921348315,1.0,1.0000000000000007,0.901484086314871
U56,252,CAP2,0.75,6,3.3618358594163222,37.187640449438206,37.29146067415731,1.0,1.0000000000000007,0.92
U56,252,CAP2,0.75,4,3.09423956532698,32.912359550561796,33.01932584269663,1.0,1.0000000000000007,0.92
U56,252,CAP2,0.75,3,2.843182422869528,29.44561797752809,29.53752808988764,1.0,1.0000000000000009,0.92
U56,252,CAP2,0.75,2,1.9907355108630398,19.845168539325844,19.95370786516854,1.0,1.0000000000000007,0.960145430642947
U56,252,CAP2,1.0,INF,3.9918738682526245,38.450337078651685,38.545842696629215,1.0,1.0000000000000007,0.901484086314871
U56,252,CAP2,1.0,6,3.770984420063621,37.187640449438206,37.29146067415731,1.0,1.0000000000000007,0.92
U56,252,CAP2,1.0,4,3.2870080192053814,32.912359550561796,33.01932584269663,1.0,1.0000000000000007,0.92
U56,252,CAP2,1.0,3,2.9229918146260596,29.44561797752809,29.53752808988764,1.0,1.0000000000000009,0.92
U56,252,CAP2,1.0,2,1.9954004959614298,19.845168539325844,19.95370786516854,1.0,1.0000000000000007,0.960145430642947
U56,252,CAND,0.75,INF,4.394572810632718,38.450337078651685,38.55662921348315,1.0,1.0000000000000004,0.37889855859683386
U56,252,CAND,0.75,6,4.296977319812298,37.187640449438206,37.29146067415731,1.0,1.0000000000000007,0.37889855859683386
U56,252,CAND,0.75,4,4.1639842805637635,32.912359550561796,33.01932584269663,1.0,1.0000000000000007,0.37889855859683386
U56,252,CAND,0.75,3,4.075751030024534,29.44561797752809,29.53752808988764,1.0,1.0000000000000007,0.37889855859683386
U56,252,CAND,0.75,2,3.768148279186077,19.845168539325844,19.95370786516854,1.0,1.0000000000000007,0.5009484664410304
U56,252,CAND,1.0,INF,5.679032812388822,38.450337078651685,38.43685393258427,1.0,1.0000000000000007,0.22277389017616123
U56,252,CAND,1.0,6,5.551737107395572,37.187640449438206,37.17168539325843,1.0,1.0000000000000009,0.27650675550842757
U56,252,CAND,1.0,4,5.386607580817196,32.912359550561796,32.89955056179775,1.0,1.0000000000000007,0.27650675550842757
U56,252,CAND,1.0,3,5.279430803304642,29.44561797752809,29.417752808988762,1.0,1.0000000000000007,0.27650675550842757
U56,252,CAND,1.0,2,4.886658119446895,19.845168539325844,19.833932584269665,1.0,1.0000000000000007,0.3653362334334192
U56,504,CAP2,0.75,INF,3.506382942083226,38.450337078651685,38.55662921348315,1.0,1.0000000000000007,0.901484086314871
U56,504,CAP2,0.75,6,3.02423526558551,31.27258426966292,31.381123595505617,1.0,1.0000000000000009,0.92
U56,504,CAP2,0.75,4,2.2329454850146644,22.31865168539326,22.419101123595507,1.0,1.0000000000000009,0.92
U56,504,CAP2,0.75,3,1.837776651824835,17.42112359550562,17.54179775280899,1.0,1.0000000000000009,0.960145430642947
U56,504,CAP2,0.75,2,0.9523004690220046,9.079550561797753,9.201123595505617,1.0,1.0000000000000007,1.0
U56,504,CAP2,1.0,INF,3.9918738682526245,38.450337078651685,38.545842696629215,1.0,1.0000000000000007,0.901484086314871
U56,504,CAP2,1.0,6,3.1462763598805363,31.27258426966292,31.381123595505617,1.0,1.0000000000000009,0.92
U56,504,CAP2,1.0,4,2.2496689318843868,22.31865168539326,22.419101123595507,1.0,1.0000000000000009,0.92
U56,504,CAP2,1.0,3,1.8537864479426511,17.42112359550562,17.54179775280899,1.0,1.0000000000000009,0.960145430642947
U56,504,CAP2,1.0,2,0.9683102651398207,9.079550561797753,9.201123595505617,1.0,1.0000000000000007,1.0
U56,504,CAND,0.75,INF,4.394572810632718,38.450337078651685,38.55662921348315,1.0,1.0000000000000004,0.37889855859683386
U56,504,CAND,0.75,6,4.171498234305182,31.27258426966292,31.381123595505617,1.0,1.0000000000000007,0.37889855859683386
U56,504,CAND,0.75,4,3.898111336670491,22.31865168539326,22.419101123595507,1.0,1.0000000000000009,0.37889855859683386
U56,504,CAND,0.75,3,4.015229567219975,17.42112359550562,17.54179775280899,1.0,1.0000000000000007,0.5009484664410304
U56,504,CAND,0.75,2,3.8027843418879104,9.079550561797753,9.201123595505617,1.0,1.0000000000000007,1.0
U56,504,CAND,1.0,INF,5.679032812388822,38.450337078651685,38.43685393258427,1.0,1.0000000000000007,0.22277389017616123
U56,504,CAND,1.0,6,5.402806907735801,31.27258426966292,31.261348314606742,1.0,1.0000000000000007,0.27650675550842757
U56,504,CAND,1.0,4,5.066764835567671,22.31865168539326,22.29932584269663,1.0,1.0000000000000007,0.27650675550842757
U56,504,CAND,1.0,3,5.231960474390119,17.42112359550562,17.42202247191011,1.0,1.0000000000000007,0.3445854941410133
U56,504,CAND,1.0,2,4.959949591243681,9.079550561797753,9.09123595505618,1.0,1.0000000000000007,1.0
B136,252,CAP2,0.75,INF,4.6751254264368125,93.22009892086331,93.29361510791367,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,0.75,6,4.517227510452323,88.34015287769785,88.41771582733813,1.0,1.0000000000000007,0.8814660319309914
B136,252,CAP2,0.75,4,4.269498836395706,74.86915467625899,74.96245503597122,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,0.75,3,4.074268994032833,66.29518884892086,66.3675809352518,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,0.75,2,3.262595552801504,42.21762589928058,42.30485611510792,1.0,1.0000000000000009,0.9009842696236795
B136,252,CAP2,1.0,INF,5.829629100658772,93.22009892086331,93.19671762589928,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,1.0,6,5.621843519594742,88.34015287769785,88.3228417266187,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,1.0,4,5.264214458648604,74.86915467625899,74.87702338129496,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,1.0,3,4.986774764733271,66.29518884892086,66.31137589928058,1.0,1.0000000000000009,0.8814660319309914
B136,252,CAP2,1.0,2,3.7972341303185466,42.21762589928058,42.30485611510792,1.0,1.0000000000000009,0.9009842696236795
B136,252,CAND,0.75,INF,4.906022705624986,93.22009892086331,93.29361510791367,1.0,1.0000000000000009,0.3603535583487896
B136,252,CAND,0.75,6,4.786488641032306,88.34015287769785,88.41771582733813,1.0,1.0000000000000007,0.3603535583487896
B136,252,CAND,0.75,4,4.63088260592474,74.86915467625899,74.96245503597122,1.0,1.0000000000000009,0.3603535583487896
B136,252,CAND,0.75,3,4.470607295608115,66.29518884892086,66.3675809352518,1.0,1.0000000000000009,0.3603535583487896
B136,252,CAND,0.75,2,4.161351571668863,42.21762589928058,42.30485611510792,1.0,1.0000000000000009,0.3626904836474332
B136,252,CAND,1.0,INF,6.3167439960259175,93.22009892086331,93.17378597122303,1.0,1.0000000000000009,0.14834160644380268
B136,252,CAND,1.0,6,6.161067680580366,88.34015287769785,88.29788669064749,1.0,1.0000000000000009,0.14834160644380268
B136,252,CAND,1.0,4,5.965428778443177,74.86915467625899,74.84262589928058,1.0,1.0000000000000009,0.14834160644380268
B136,252,CAND,1.0,3,5.760068622500604,66.29518884892086,66.24775179856115,1.0,1.0000000000000009,0.14834160644380268
B136,252,CAND,1.0,2,5.380912592566634,42.21762589928058,42.18502697841727,1.0,1.0000000000000007,0.22134098528556576
B136,504,CAP2,0.75,INF,4.6751254264368125,93.22009892086331,93.29361510791367,1.0,1.0000000000000009,0.8814660319309914
B136,504,CAP2,0.75,6,4.259484531212786,68.4910071942446,68.57958633093526,1.0,1.0000000000000009,0.8814660319309914
B136,504,CAP2,0.75,4,3.5901704159184837,46.11488309352518,46.2113309352518,1.0,1.0000000000000007,0.8814660319309914
B136,504,CAP2,0.75,3,3.2278259153545177,36.11038669064748,36.22144784172662,1.0,1.0000000000000009,0.92
B136,504,CAP2,0.75,2,1.726949885258938,18.006519784172664,18.111960431654676,1.0,1.000000000000001,1.0
B136,504,CAP2,1.0,INF,5.829629100658772,93.22009892086331,93.19671762589928,1.0,1.0000000000000009,0.8814660319309914
B136,504,CAP2,1.0,6,5.2082700090470295,68.4910071942446,68.51236510791367,1.0,1.0000000000000007,0.8814660319309914
B136,504,CAP2,1.0,4,4.166912372383548,46.11488309352518,46.2113309352518,1.0,1.0000000000000007,0.8814660319309914
B136,504,CAP2,1.0,3,3.552107599304519,36.11038669064748,36.22144784172662,1.0,1.0000000000000009,0.92
B136,504,CAP2,1.0,2,1.8100348167152196,18.006519784172664,18.111960431654676,1.0,1.000000000000001,1.0
B136,504,CAND,0.75,INF,4.906022705624986,93.22009892086331,93.29361510791367,1.0,1.0000000000000009,0.3603535583487896
B136,504,CAND,0.75,6,4.6229137873936645,68.4910071942446,68.57958633093526,1.0,1.0000000000000009,0.3603535583487896
B136,504,CAND,0.75,4,4.264539689047587,46.11488309352518,46.2113309352518,1.0,1.0000000000000007,0.3603535583487896
B136,504,CAND,0.75,3,4.263625615053945,36.11038669064748,36.22144784172662,1.0,1.0000000000000007,0.4
B136,504,CAND,0.75,2,4.195143010164185,18.006519784172664,18.111960431654676,1.0,1.0000000000000007,1.0
B136,504,CAND,1.0,INF,6.3167439960259175,93.22009892086331,93.17378597122303,1.0,1.0000000000000009,0.14834160644380268
B136,504,CAND,1.0,6,5.961812296072044,68.4910071942446,68.4597571942446,1.0,1.0000000000000007,0.14834160644380268
B136,504,CAND,1.0,4,5.516102221576409,46.11488309352518,46.091501798561154,1.0,1.0000000000000007,0.16234002706199108
B136,504,CAND,1.0,3,5.521886638009909,36.11038669064748,36.101618705035975,1.0,1.0000000000000007,0.2148703319360781
B136,504,CAND,1.0,2,5.459095606466439,18.006519784172664,17.99213129496403,1.0,1.0000000000000007,1.0
