gate,stat,pass
G1,4.163336342344337e-16,True
G2,2.0816681711721685e-17,True
G3,2.9757908126426535e-05,True
G4,4.949323437114517e-05,True
G5,3.552713678800501e-15,True
G6a_direction,1.0,True
G6b_magnitude,0.05311639138372026,False
