cost,panel,n,p4a,p4b,po4a,po4b,both4b
0.0,U56,65,0,22,0,25,22
0.0,B136,65,0,22,0,16,15
0.0,SMALL,65,0,0,0,0,0
10.0,U56,65,0,21,0,23,21
10.0,B136,65,0,21,0,9,8
10.0,SMALL,65,0,0,0,0,0
25.0,U56,65,0,19,0,23,19
25.0,B136,65,0,13,0,7,7
25.0,SMALL,65,0,0,0,0,0
50.0,U56,65,0,16,0,19,16
50.0,B136,65,0,7,0,2,2
50.0,SMALL,65,0,0,0,0,0
