panel,T_trade,cost,family,chooser,cell,target,turn_py,refresh_py,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos,bind
B136,M,0,CAL,C_ISSHARPE,R=M,0.2,0.9337441661472567,12.043330501274426,0.1638526848332753,1.0891891323404919,-0.29657590879004503,False,False,False,False,False,L4_DD
B136,M,0,CAL,C_ISCALMAR,R=M,0.08,2.29170473939595,12.043330501274426,0.11386864015680742,1.2047519437347791,-0.16122742553839842,True,True,True,False,False,none
B136,M,0,CAL,C_ISDD,R=W,0.08,3.689160794265325,52.29481733220051,0.11361364594863232,1.2886804425414544,-0.10814585012423228,True,True,True,True,True,none
B136,M,0,CAL,C_ISLEGS,R=M,0.1,1.9991079023564786,12.043330501274426,0.13250888734004218,1.216698932796685,-0.19836465430812722,True,True,True,False,False,none
B136,M,0,CAL,ORACLE_OOS,R=D,0.1,4.403206556542032,251.99999999999997,0.13394010026964764,1.3294683235130282,-0.11266200183437125,True,True,True,True,True,none
B136,M,0,DRIFT,C_ISSHARPE,h=0.16,0.2,0.9738355926245921,2.51571792693288,0.16751455459196785,1.2035409541922621,-0.19369783083622982,True,True,True,False,False,none
B136,M,0,DRIFT,C_ISCALMAR,h=0.25,0.16,0.731522322125001,1.2310960067969412,0.141498129178673,1.2012576320727517,-0.17813634480042928,True,True,True,False,False,none
B136,M,0,DRIFT,C_ISDD,h=0.12,0.08,3.0968707422441404,16.593033135089208,0.11573258738906156,1.309366936396339,-0.10610498413758795,True,True,True,True,True,none
B136,M,0,DRIFT,C_ISLEGS,h=0.25,0.16,0.731522322125001,1.2310960067969412,0.141498129178673,1.2012576320727517,-0.17813634480042928,True,True,True,False,False,none
B136,M,0,DRIFT,ORACLE_OOS,h=0.20,0.08,2.181222934135856,7.386576040781648,0.12072198078421192,1.3460275210827175,-0.10900878362770594,True,True,True,True,True,none
B136,M,10,CAL,C_ISSHARPE,R=M,0.2,0.9337441661472567,12.043330501274426,0.1626749659754536,1.082416560136597,-0.296669409852657,False,False,False,False,False,L4_DD
B136,M,10,CAL,C_ISCALMAR,R=M,0.2,0.9337441661472567,12.043330501274426,0.1626749659754536,1.082416560136597,-0.296669409852657,False,False,False,False,False,L4_DD
B136,M,10,CAL,C_ISDD,R=W,0.08,3.689160794265325,52.29481733220051,0.10959403102865406,1.2466267519380154,-0.10856630804032974,False,True,False,True,True,L5_CAGR
B136,M,10,CAL,C_ISLEGS,R=M,0.1,1.9991079023564786,12.043330501274426,0.13048107802973363,1.2000101248389705,-0.19873936611768628,True,True,True,False,False,none
B136,M,10,CAL,ORACLE_OOS,R=D,0.12,3.411973460955561,251.99999999999997,0.1448255559068723,1.2967912790899943,-0.1383616724068658,True,True,True,False,False,none
B136,M,10,DRIFT,C_ISSHARPE,h=0.16,0.2,0.9738355926245921,2.51571792693288,0.1662735193676108,1.1956977950075844,-0.1941834434451194,True,True,True,False,False,none
