cut,stratum,n,method,rho_IS,rho_OOS,sign_survives,block,pair,strong,survives
POOLED,-,162,pearson,0.04442494639473675,0.06240512872166406,True,FRESH-162-CELLS,c_sd~turnover,True,
FAMILY,MA-THRESH,81,pearson,0.5141273995989208,0.4840849850787636,True,FRESH-162-CELLS,c_sd~turnover,True,
FAMILY,QUANTILE,81,pearson,-0.38791793004810654,-0.38883801525489003,True,FRESH-162-CELLS,c_sd~turnover,True,
PANEL,B136,54,pearson,0.045396675183967235,0.08935318858029723,True,FRESH-162-CELLS,c_sd~turnover,True,
PANEL,SMALL439,54,pearson,0.06794932764324205,0.020748801070100884,True,FRESH-162-CELLS,c_sd~turnover,True,
PANEL,U56,54,pearson,0.027225754709425037,0.05114738225011676,True,FRESH-162-CELLS,c_sd~turnover,True,
POOLED,-,162,spearman,-0.1290516977366804,-0.0848296759206335,True,FRESH-162-CELLS,c_sd~turnover,True,
FAMILY,MA-THRESH,81,spearman,0.5697380307136405,0.5368337850045166,True,FRESH-162-CELLS,c_sd~turnover,True,
FAMILY,QUANTILE,81,spearman,-0.3300361336946703,-0.31296296296296294,True,FRESH-162-CELLS,c_sd~turnover,True,
PANEL,B136,54,spearman,-0.14511149228130357,-0.10783304745568896,True,FRESH-162-CELLS,c_sd~turnover,True,
PANEL,SMALL439,54,spearman,-0.12818753573470554,-0.13184676958261862,True,FRESH-162-CELLS,c_sd~turnover,True,
PANEL,U56,54,spearman,-0.14587383266628548,-0.1226986849628359,True,FRESH-162-CELLS,c_sd~turnover,True,
POOLED,universe,28,pearson,0.43715663733813576,0.2052125510049773,,2026-09-04_52w-high-proximity_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:universe.json,universe,14,pearson,0.6232194121276838,-0.12753984521973172,,2026-09-04_52w-high-proximity_C.grid.csv,Sharpe~MaxDD,True,False
STRATUM:universe_broad.json,universe,14,pearson,0.3447525108653876,0.08185355258137936,,2026-09-04_52w-high-proximity_C.grid.csv,Sharpe~MaxDD,True,True
POOLED,universe,28,spearman,0.22386425834701695,0.2129173508483853,,2026-09-04_52w-high-proximity_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:universe.json,universe,14,spearman,0.4593406593406593,-0.1912087912087912,,2026-09-04_52w-high-proximity_C.grid.csv,Sharpe~MaxDD,True,False
STRATUM:universe_broad.json,universe,14,spearman,0.221978021978022,0.06373626373626373,,2026-09-04_52w-high-proximity_C.grid.csv,Sharpe~MaxDD,True,True
POOLED,book,78,pearson,-0.3567065942705528,-0.1291263983334909,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:CAND20,book,26,pearson,-0.28016699416146007,0.025471815730526034,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,False
STRATUM:EWall,book,26,pearson,-0.43914070059186694,-0.3208198962504033,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:v1,book,26,pearson,0.5513354541930736,0.006767116167340314,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
POOLED,book,78,spearman,-0.3756229716819512,-0.11384817713931637,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:CAND20,book,26,spearman,-0.2512820512820513,0.05914529914529914,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,False
STRATUM:EWall,book,26,spearman,-0.3996732017153982,-0.38256410256410256,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:v1,book,26,spearman,0.5201028421354543,-0.016068376068376067,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,False
POOLED,universe,78,pearson,-0.3567065942705528,-0.1291263983334909,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:universe.json,universe,39,pearson,0.1406574130736175,-0.6024052897078399,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,False
STRATUM:universe_broad.json,universe,39,pearson,-0.7578748867008767,-0.11154696172527746,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
POOLED,universe,78,spearman,-0.3756229716819512,-0.11384817713931637,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
STRATUM:universe.json,universe,39,spearman,0.07079309516469719,-0.6242914979757085,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,False,False
STRATUM:universe_broad.json,universe,39,spearman,-0.6790816128489655,-0.09453441295546558,,2026-09-04_crypto-sleeve_C.grid.csv,Sharpe~MaxDD,True,True
POOLED,book,204,pearson,0.9244733612400409,0.8819303790086519,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:EWall,book,68,pearson,0.7687702174299887,0.10657533031157451,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:TOP20,book,68,pearson,0.815099655294638,0.7996935293995756,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:V1u,book,68,pearson,0.9501155412033215,0.9749441572523847,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,book,204,spearman,0.8951941793549171,0.7761868749337387,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:EWall,book,68,spearman,0.8150750315017754,0.22864561457100305,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:TOP20,book,68,spearman,0.7287475665152497,0.810359964881475,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:V1u,book,68,spearman,0.9341054160455605,0.9732569245463231,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,kind,204,pearson,0.9244733612400409,0.8819303790086519,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:bud,kind,24,pearson,0.9637707230046494,0.9670227725909901,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:ctl,kind,12,pearson,0.9788180021182501,0.9596865195100914,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:dd,kind,24,pearson,0.9754816495908376,0.9557989980607932,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:gate,kind,120,pearson,0.8991054808286509,0.8385735056659044,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:stop,kind,24,pearson,0.9773713704928354,0.9526400840251951,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,kind,204,spearman,0.8951941793549171,0.7761868749337387,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:bud,kind,24,spearman,0.8763066202090594,0.8658536585365855,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:ctl,kind,12,spearman,0.8251748251748254,0.7972027972027973,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:dd,kind,24,spearman,0.9347826086956521,0.8878260869565217,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:gate,kind,120,spearman,0.8262931992443605,0.7217021099273541,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:stop,kind,24,spearman,0.875543951261967,0.8565217391304346,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,gross,204,pearson,0.9244733612400409,0.8819303790086519,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:0.749893462556593,gross,8,pearson,1.0,0.9999999999999999,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:0.7501646485284116,gross,8,pearson,1.0,1.0,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,gross,204,spearman,0.8951941793549171,0.7761868749337387,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:0.749893462556593,gross,8,spearman,0.9999999999999998,0.9999999999999998,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:0.7501646485284116,gross,8,spearman,0.9999999999999998,0.9999999999999998,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,cost,204,pearson,0.9244733612400409,0.8819303790086519,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:10.0,cost,102,pearson,0.8925021488868523,0.8086049893520946,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:25.0,cost,102,pearson,0.9456379347447672,0.9154840902172968,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,cost,204,spearman,0.8951941793549171,0.7761868749337387,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:10.0,cost,102,spearman,0.8711038465236499,0.7590105247679859,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
STRATUM:25.0,cost,102,spearman,0.8635929166501706,0.799899333223995,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~CAGR,True,True
POOLED,book,204,pearson,0.40036094731120025,0.16686894565634378,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:EWall,book,68,pearson,-0.4136552472385642,0.26621818074410625,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,False
STRATUM:TOP20,book,68,pearson,0.16931622397006382,0.2643354406174771,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:V1u,book,68,pearson,0.6082124134640843,0.4889267799746956,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,book,204,spearman,0.2761159085335406,0.1346964955589189,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:EWall,book,68,spearman,-0.5422887471839322,0.2327717054184624,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,False
STRATUM:TOP20,book,68,spearman,0.2805035171111958,0.2577776081230675,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:V1u,book,68,spearman,0.6494601052308843,0.5084052880611305,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,kind,204,pearson,0.40036094731120025,0.16686894565634378,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:bud,kind,24,pearson,-0.41230061488701725,-0.6890463034186805,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:ctl,kind,12,pearson,0.4541658168870207,0.09195511676339474,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:dd,kind,24,pearson,0.47880777222687065,0.08213690435005172,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:gate,kind,120,pearson,0.676488432033272,0.5208908122508825,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:stop,kind,24,pearson,0.63413946392733,0.022857597505729573,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,kind,204,spearman,0.2761159085335406,0.1346964955589189,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:bud,kind,24,spearman,-0.3257839721254356,-0.42508710801393734,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:ctl,kind,12,spearman,0.25874125874125875,0.1958041958041958,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:dd,kind,24,spearman,0.4052173913043478,-0.010002174622185106,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,False
STRATUM:gate,kind,120,spearman,0.5769053799482595,0.4245824217902865,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:stop,kind,24,spearman,0.42732811140121846,0.1408695652173913,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,gross,204,pearson,0.40036094731120025,0.16686894565634378,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:0.749893462556593,gross,8,pearson,0.9999999999999999,1.0,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:0.7501646485284116,gross,8,pearson,1.0,1.0,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,gross,204,spearman,0.2761159085335406,0.1346964955589189,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:0.749893462556593,gross,8,spearman,0.9999999999999998,0.9999999999999998,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:0.7501646485284116,gross,8,spearman,0.9999999999999998,0.9999999999999998,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,cost,204,pearson,0.40036094731120025,0.16686894565634378,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:10.0,cost,102,pearson,0.002472091489832136,-0.0739199176255312,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,False,False
STRATUM:25.0,cost,102,pearson,0.5178489891830815,0.26055782942431016,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,cost,204,spearman,0.2761159085335406,0.1346964955589189,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
STRATUM:10.0,cost,102,spearman,0.004151431084679439,-0.003325415677012801,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,False,False
STRATUM:25.0,cost,102,spearman,0.4279105017940936,0.23891030119144127,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,Sharpe~MaxDD,True,True
POOLED,book,204,pearson,0.10244549520156296,-0.1589871486022431,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:EWall,book,68,pearson,-0.8585561740106248,-0.8571966623561499,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:TOP20,book,68,pearson,-0.3312595531883191,-0.27949669756440687,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:V1u,book,68,pearson,0.41100746754049905,0.37730255001486723,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
POOLED,book,204,spearman,0.026614646006912684,-0.2620656996606199,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,False,False
STRATUM:EWall,book,68,spearman,-0.8594829890412006,-0.8313111546367035,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:TOP20,book,68,spearman,-0.2904097041948043,-0.2757567660419132,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:V1u,book,68,spearman,0.4725656952606915,0.392087568101552,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
POOLED,kind,204,pearson,0.10244549520156296,-0.1589871486022431,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:bud,kind,24,pearson,-0.5722913653912645,-0.7836978491379338,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:ctl,kind,12,pearson,0.3571200875553742,-0.05527101785020124,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:dd,kind,24,pearson,0.40034875157432476,-0.030268354350905264,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
STRATUM:gate,kind,120,pearson,0.3358762190190484,0.1303801415963685,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:stop,kind,24,pearson,0.5247340710769711,-0.1469300633961854,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,False
POOLED,kind,204,spearman,0.026614646006912684,-0.2620656996606199,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,False,False
STRATUM:bud,kind,24,spearman,-0.5095818815331011,-0.4712543554006969,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,True,True
STRATUM:ctl,kind,12,spearman,0.08391608391608392,0.1398601398601399,,2026-09-04_drawdown-insurance-price-list_B.grid.csv,CAGR~MaxDD,False,True
