control,ladder,obs,null_median,ratio,ratio_lo,ratio_hi,committed_lo,committed_hi,overlaps_committed
X_NONE,N,35.81405418032815,38.0708256046547,0.9407217629645881,0.6392173712425376,1.530889808179929,0.441,0.881,True
X_NONE,H,35.81405418032815,37.66696278176423,0.9508081229651697,0.6266485840862344,1.5208562558357932,0.441,0.881,True
X_NONE,GROSS,35.81405418032815,38.47520744802404,0.9308345959851984,0.632632418191377,1.5433699379189143,0.441,0.881,True
X_NONE,CADENCE,35.81405418032815,37.6185565178734,0.9520315901358977,0.6308656452968865,1.511001660507307,0.441,0.881,True
X_SHUFFLE1,N,35.81405418032815,38.172112554575605,0.9382256255564562,0.6039095044809308,1.393613100874378,0.441,0.881,True
X_SHUFFLE1,H,35.81405418032815,36.30639741051313,0.986439215529481,0.6606940702025679,1.431415255552518,0.441,0.881,True
X_SHUFFLE1,GROSS,35.81405418032815,38.86995974024268,0.9213813037024913,0.600815804069329,1.3432769628257375,0.441,0.881,True
X_SHUFFLE1,CADENCE,35.81405418032815,40.753552057835606,0.8787958931653971,0.5960928475678001,1.3296382376951281,0.441,0.881,True
X_SHUFFLEPD,N,35.81405418032815,40.852263064803964,0.8766724654523128,0.5782112348170141,1.330262657978058,0.441,0.881,True
X_SHUFFLEPD,H,35.81405418032815,39.22668781328502,0.9130022486425402,0.5769904744108136,1.3281922000831068,0.441,0.881,True
X_SHUFFLEPD,GROSS,35.81405418032815,39.73523614082049,0.9013172604135083,0.5873948097329865,1.3824674328778768,0.441,0.881,True
X_SHUFFLEPD,CADENCE,35.81405418032815,39.57596846024755,0.9049444795343898,0.5905069986734439,1.3462652842133915,0.441,0.881,True
X_IID,N,35.81405418032815,40.89453639522236,0.8757662352301968,0.5880295513461804,1.3285644079247032,0.441,0.881,True
X_IID,H,35.81405418032815,40.20433696419724,0.8908007664004328,0.5968474535684873,1.3384019555404676,0.441,0.881,True
X_IID,GROSS,35.81405418032815,40.20707648923749,0.8907400713383066,0.5946307354320832,1.3309581210352355,0.441,0.881,True
X_IID,CADENCE,35.81405418032815,40.20411815922668,0.8908056144519357,0.5840098316253051,1.3191603929373568,0.441,0.881,True
