panel,family,lag,m,se,t
U56,MACRO2,1,-0.0018944780576615194,0.020967164432335043,-0.09035451902785205
U56,MACRO2,2,-0.007180902826945834,0.022418095447956282,-0.32031725637069997
U56,MACRO2,3,-0.018837164452328192,0.01766935429849043,-1.066092406893303
U56,MACRO2,5,-0.024100111354586673,0.01678083329331565,-1.4361689275696772
U56,MACRO2,10,-0.0035532049981323865,0.01899919926690939,-0.18701867106162462
U56,MACRO2,21,-0.009638821754079263,0.016953246764833382,-0.5685531442905293
U56,SPYFILT,1,-0.07859431666641237,0.08329562527194256,-0.9435587572554811
U56,SPYFILT,2,-0.09899814289219389,0.08935617680898092,-1.1079048637434976
U56,SPYFILT,3,-0.12485639239136537,0.07147451368152093,-1.7468659240929656
U56,SPYFILT,5,-0.14183405203729527,0.06849633655792554,-2.0706808446222515
U56,SPYFILT,10,-0.0618766477766346,0.07639760903044879,-0.8099291137759722
U56,SPYFILT,21,-0.08526023663738258,0.06861444336125376,-1.242598969847923
U56,BREADTH,1,-0.0013998354822124526,0.022368838337453664,-0.06257971295132538
U56,BREADTH,2,-0.0065944018062191745,0.022581732489967952,-0.29202373241950197
U56,BREADTH,3,-0.011124532748247207,0.021533237655927007,-0.5166214633397309
U56,BREADTH,5,-0.011581645969447996,0.022719253320031788,-0.509772297808588
U56,BREADTH,10,-0.014352130590109091,0.021528771793492288,-0.6666488329096159
U56,BREADTH,21,-0.015120110477414128,0.026695760097199647,-0.5663862134796532
U56,STOP,1,-0.17677208761423813,0.08835875667960535,-2.0006176439900045
U56,STOP,2,-0.17940265777863484,0.08846887097761942,-2.0278619563712934
U56,STOP,3,-0.16411067203568086,0.08636159283057128,-1.9002737983033942
U56,STOP,5,-0.17870354190763604,0.08812980983849632,-2.0277309372971764
U56,STOP,10,-0.2479154438738318,0.08543039932722866,-2.9019581533761527
U56,STOP,21,-0.259014656521496,0.09961788395387783,-2.600081895349408
U56,VOLTGT,1,-0.02410376505563061,0.042493068765689576,-0.5672399230222895
U56,VOLTGT,2,-0.025562227744460042,0.03881277123252427,-0.6586035197362935
U56,VOLTGT,3,-0.007003300250798539,0.036506557922299156,-0.19183677260684007
U56,VOLTGT,5,0.009741691559418175,0.03561972072333068,0.27349151991069465
U56,VOLTGT,10,0.0042920383692925945,0.029583146664884794,0.14508390259874707
U56,VOLTGT,21,-0.0036783193856899654,0.028901826382827452,-0.12726944439315802
U56,BAND,1,-0.004881993825402331,0.02636458613760102,-0.1851724051317331
U56,BAND,2,0.006281037477793072,0.02875509819976677,0.2184321345090735
U56,BAND,3,-0.032079991151541254,0.04885314873751753,-0.6566616887665406
U56,BAND,5,-0.02128025086062113,0.053738309601632686,-0.39599777176419765
U56,BAND,10,0.013696108012660746,0.05160704786727303,0.26539220084600557
U56,BAND,21,0.03528554698703279,0.05635557860990338,0.626123408851525
U56,MAXVOL,1,-0.02522178085438398,0.04538848219181328,-0.5556868094375985
U56,MAXVOL,2,0.01064869578653993,0.048623417191022714,0.21900344323199866
U56,MAXVOL,3,-0.04476955408409822,0.05218810933332229,-0.8578497028539163
U56,MAXVOL,5,-0.009682288029257968,0.05673390268000909,-0.17066141357960282
U56,MAXVOL,10,-0.010818649206342013,0.06309605368479793,-0.1714631672590422
U56,MAXVOL,21,-0.01169701255021649,0.06191500922994942,-0.18892046848889804
U56,MADIST,1,-0.01554551755383038,0.04726932356507179,-0.32887116593555954
U56,MADIST,2,-0.01781156662668959,0.0464297663618734,-0.383623869391595
U56,MADIST,3,0.003414710508654606,0.051470534822998376,0.06634301587106929
U56,MADIST,5,0.06933122387993573,0.057378133748939325,1.2083213473498058
U56,MADIST,10,-0.05182862436866387,0.08094811402203171,-0.6402696961482961
U56,MADIST,21,-0.03974173438538209,0.07945778067618317,-0.5001616461872104
B136,MACRO2,1,-0.009944196659718463,0.022764161406327883,-0.43683562430523876
B136,MACRO2,2,-0.01425934730307632,0.023704356597523946,-0.6015496452903425
B136,MACRO2,3,-0.026109709914696078,0.017843128239235784,-1.4632921741425735
B136,MACRO2,5,-0.03129265414278537,0.017101756802252784,-1.82979178716091
B136,MACRO2,10,-0.010251371162935952,0.0188302364596648,-0.5444101132184316
B136,MACRO2,21,-0.0170771956077731,0.01781737967165479,-0.9584571874471963
B136,SPYFILT,1,-0.14119256550529635,0.0936113533638571,-1.508284630353503
B136,SPYFILT,2,-0.15658133557955523,0.0974117266662689,-1.6074177200040864
B136,SPYFILT,3,-0.17805442007565542,0.07515576593198252,-2.3691385200810573
B136,SPYFILT,5,-0.1917739583648962,0.07360999878385527,-2.6052705003842167
B136,SPYFILT,10,-0.10292410529081863,0.07705005591699692,-1.335808314035422
B136,SPYFILT,21,-0.12872617152888433,0.07376539735574507,-1.7450752811386943
B136,BREADTH,1,-0.02867716738654158,0.025178338790573823,-1.1389618522917657
B136,BREADTH,2,-0.03425971411387185,0.02295133030829095,-1.492711474833154
B136,BREADTH,3,-0.03500896812418586,0.023147288487318875,-1.5124435911085372
B136,BREADTH,5,-0.03967714382086229,0.02413287187656978,-1.6441119823531736
B136,BREADTH,10,-0.043282578086222934,0.024724119308040315,-1.75062163173381
B136,BREADTH,21,-0.051633371674975614,0.029467938011957736,-1.752188146114038
B136,STOP,1,-0.23760928774549084,0.07932374899461851,-2.995436937323912
B136,STOP,2,-0.2053399181020703,0.07254796174921888,-2.830402304228502
B136,STOP,3,-0.17185985963303008,0.06843444876169352,-2.5113062608495706
B136,STOP,5,-0.12269169867554086,0.0828436558912463,-1.4810029489355878
B136,STOP,10,-0.1671067580539104,0.06674401922986072,-2.5036963608440925
B136,STOP,21,-0.1419982519969435,0.08169376522127937,-1.738177345753629
B136,VOLTGT,1,-0.029110450938901744,0.05664312076596108,-0.5139273850955486
B136,VOLTGT,2,-0.03433036068100925,0.056282485533579084,-0.6099652557193335
B136,VOLTGT,3,-0.038111851494637916,0.054378773443004194,-0.7008589764273359
B136,VOLTGT,5,-0.01617951398963191,0.05083311157423499,-0.31828690962590167
B136,VOLTGT,10,-0.008518273285065048,0.04432926088361215,-0.19215915436600756
B136,VOLTGT,21,-0.005983577942538787,0.034624493789903926,-0.17281344180354558
B136,BAND,1,-0.010695342537622832,0.014531813162665167,-0.7359950487872418
B136,BAND,2,-0.0022446436111496215,0.02226327168057743,-0.10082272018931782
B136,BAND,3,-0.03539675922876895,0.03666682025865736,-0.9653621170058088
B136,BAND,5,-0.04264277893988577,0.04162261799554645,-1.0245097736151165
B136,BAND,10,-0.021279304747349848,0.04284010859920239,-0.4967145379212701
B136,BAND,21,0.027576991722040534,0.04579162029312399,0.6022279086329133
B136,MAXVOL,1,-0.09203185810160952,0.040656414814373674,-2.2636491319217984
B136,MAXVOL,2,-0.07705543097771517,0.04163300435642505,-1.8508256170521482
B136,MAXVOL,3,-0.07414890653395834,0.048317846022098376,-1.5346070373262504
B136,MAXVOL,5,-0.10778077449981815,0.05592095243394914,-1.927377303294737
B136,MAXVOL,10,-0.06969644624820293,0.0522774366395173,-1.333203208275104
B136,MAXVOL,21,0.014740522320439764,0.060430879527156416,0.24392367669935486
B136,MADIST,1,-0.079682018460419,0.03572162190961216,-2.23063831373731
B136,MADIST,2,-0.0401889708062626,0.031194880489583545,-1.288319434968899
B136,MADIST,3,-0.05092018627890693,0.02859993225491257,-1.7804303109900006
B136,MADIST,5,-0.06255513945118085,0.03703471555692254,-1.689094637571424
