study_set,units,mean_form,unstated,mean_form_share,stat_C_MEAN,stat_C_MED,stat_C_T,stat_C_WIN,stat_C_TRIM,degenerate_share_upper,degenerate_share_forced,degenerate_share_unstated_all_mean,unstated_share
S_STRICT,99,9,44,0.09090909090909091,9,27,11,8,0,0.0101010101010101,0.007575757575757576,0.05948372615039282,0.4444444444444444
S_BROAD,124,15,57,0.12096774193548387,15,29,14,9,0,0.013440860215053764,0.010080645161290322,0.06451612903225806,0.4596774193548387
S_ALL,1092,156,502,0.14285714285714285,156,247,110,77,0,0.015873015873015872,0.011904761904761904,0.06695156695156694,0.4597069597069597
