chooser,panel,cadence,N,H,IS_Sharpe,IS_cstar,IS_binding,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,full_cstar,full_binding,SPY_Sharpe,SPY_H1,SPY_H2,SPY_CAGR,SPY_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,LIVE_OOS_Sharpe,pass_4b,pass_4b_oos,pass_4a,leg_L_H1,leg_L_H2,leg_L_OOS,leg_L_DD,leg_L_CAGR,legO_O_S,legO_O_DD,legO_O_CAGR
CH_ISSHARPE,U56,W,12,21,1.1986787696147367,0.0,L_DD,0.1675882268480955,1.1603154950668024,-0.1947756323213694,1.2464960628002033,1.0988026627685472,0.17499450645220782,1.1388834292542345,-0.1947756323213694,63.32277059555054,L_H1,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,True,True,False,True,True,True,True,True,True,True,True
CH_CSTAR,U56,W,40,252,1.1467998662608254,109.32952165603638,L_CAGR,0.13529349649486155,1.117537192745737,-0.20657924635318403,1.2613232631809899,1.022673526643079,0.14451227577570203,1.1057795394648784,-0.20657924635318425,0.0,L_DD,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_LEGFILT,U56,W,12,21,1.1986787696147367,0.0,L_DD,0.1675882268480955,1.1603154950668024,-0.1947756323213694,1.2464960628002033,1.0988026627685472,0.17499450645220782,1.1388834292542345,-0.1947756323213694,63.32277059555054,L_H1,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,True,True,False,True,True,True,True,True,True,True,True
CH_TENT,U56,W,40,63,1.140803448502923,62.31604814529419,L_CAGR,0.12794397335795704,1.1080684071925715,-0.22146829339436336,1.2434064777940756,1.0093741443319848,0.1333765161032654,1.0894435385342645,-0.22146829339436336,0.0,L_DD,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,U56,M,5,21,1.4140378366531343,0.0,L_DD,0.20803431363699643,1.092683822265654,-0.2872795019153648,1.4166262930978653,0.833513277991296,0.168666759475123,0.8723148443208242,-0.2872795019153649,0.0,L_DD,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_CSTAR,U56,M,40,252,1.1236207823219184,132.4661135673523,L_CAGR,0.1318771757600652,1.0915141349858426,-0.23916823466019943,1.2267540219779924,0.9996871829815531,0.1394219413749178,1.0760409979737748,-0.23916823466019999,0.0,L_DD,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_LEGFILT,U56,M,5,21,1.4140378366531343,0.0,L_DD,0.20803431363699643,1.092683822265654,-0.2872795019153648,1.4166262930978653,0.833513277991296,0.168666759475123,0.8723148443208242,-0.2872795019153649,0.0,L_DD,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_TENT,U56,M,40,63,1.1099619171500466,63.39515447616577,L_CAGR,0.12474393290990227,1.0886179792205657,-0.23302744711937173,1.2087773382555225,1.0012714752635734,0.130833695909798,1.07771106345304,-0.23302744711937162,0.0,L_DD,0.8813847249453147,0.9597999995398193,0.816962418380113,0.15064126359634944,-0.33717235283398306,0.8684062229066973,0.15150873781069918,-0.33717235283398317,1.2714387324337506,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,B136,W,5,63,1.4240583789769876,0.0,L_DD,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_CSTAR,B136,W,40,63,1.1332999373041355,68.32627058029175,L_H1,0.14142411045651215,1.0318838669229686,-0.2828039823666242,1.2476968031197737,0.8652573617763248,0.1389166505805033,0.9641411686169042,-0.2828039823666241,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_LEGFILT,B136,W,5,63,1.4240583789769876,0.0,L_DD,0.2365986271857763,1.107985062534156,-0.28623535174686976,1.4481458124281585,0.866394398415701,0.20461088515896764,0.9156496419388593,-0.28623535174686987,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_TENT,B136,W,40,63,1.1332999373041355,68.32627058029175,L_H1,0.14142411045651215,1.0318838669229686,-0.2828039823666242,1.2476968031197737,0.8652573617763248,0.1389166505805033,0.9641411686169042,-0.2828039823666241,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_ISSHARPE,B136,M,5,21,1.3726649714731807,0.0,L_DD,0.25860162718400703,1.2048415354255426,-0.2871971488775604,1.4281270948479403,1.0456223941439255,0.25404590191981,1.1056811171063636,-0.28719714887756065,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
CH_CSTAR,B136,M,40,63,1.0437896714785713,14.11968469619751,L_DD,0.14009436296470223,1.0325524851688683,-0.27728951385115697,1.1963852222301288,0.9106290466838557,0.1488967764081035,1.0296892029713058,-0.27728951385115674,0.0,L_DD,0.8860757549112315,0.9595622658772724,0.8259431438686403,0.15163389387763448,-0.3371595330739303,0.8767278433896203,0.15331427255204866,-0.3371595330739301,1.105887869727878,False,False,False,True,True,True,False,True,True,False,True
