leg,window,char,k,x,n,slope,intercept,R2
SYM,FULL,momac,pooled,k/N,17,-0.14201062897156355,-5.1046280180522015,0.07136840126257393
SYM,FULL,momac,pooled,1/N,17,-0.04923519528081131,-5.137869542787783,0.004675112077393573
SYM,FULL,momac,12,k/N,6,0.11477311179317552,-4.565403596866049,0.030328779441604725
SYM,FULL,momac,24,k/N,6,-0.3402247433449136,-5.436082318300314,0.21610290288599354
SYM,FULL,momac,36,k/N,5,0.15953057401632145,-4.8135790230230455,0.08215854562547997
SYM,FULL,tpers,pooled,k/N,17,0.1453052449262189,-6.2756092852489,0.3831363046768599
SYM,FULL,tpers,pooled,1/N,17,0.18507661891525456,-5.660451215931005,0.3387429531147794
SYM,FULL,tpers,12,k/N,6,0.11809747958961851,-6.292526200482303,0.12030903781734292
SYM,FULL,tpers,24,k/N,6,0.3295139070540791,-6.08496319300121,0.9666382554573323
SYM,FULL,tpers,36,k/N,5,0.09963784205283228,-6.3381046711776685,0.30096882146080794
SYM,IS,momac,pooled,k/N,17,0.0196567988090409,-4.578970169933943,0.002152969816167971
SYM,IS,momac,pooled,1/N,17,0.3502606814353992,-3.0926090204465373,0.3725388447182145
SYM,IS,momac,12,k/N,6,0.14433384192539153,-4.18701286302379,0.2018478153558373
SYM,IS,momac,24,k/N,6,0.2576935674363099,-4.332690091438905,0.5430392740287777
SYM,IS,momac,36,k/N,5,0.7555878609296435,-4.154634914031646,0.8083519389309434
SYM,IS,tpers,pooled,k/N,17,0.043510865343050466,-6.4003265435374725,0.017515960865819302
SYM,IS,tpers,pooled,1/N,17,0.1747047893976943,-5.70148001088379,0.15389502406349087
SYM,IS,tpers,12,k/N,6,0.17907439025371835,-6.063708519049536,0.17531392946302482
SYM,IS,tpers,24,k/N,6,0.25496318473584645,-6.242387000854703,0.6674992418050272
SYM,IS,tpers,36,k/N,5,0.03020979682504411,-6.435769290995458,0.002619934763928078
SYM,OOS,momac,pooled,k/N,17,-0.05381493400254995,-4.5122609346285305,0.014447912881116798
SYM,OOS,momac,pooled,1/N,17,0.22787013167650977,-3.4612396587094647,0.14117270221877132
SYM,OOS,momac,12,k/N,6,0.1554930848327917,-3.98448216214908,0.250771518952976
SYM,OOS,momac,24,k/N,6,0.11187010960435265,-4.3792642786740235,0.043193511683092156
SYM,OOS,momac,36,k/N,5,0.4460154699004876,-4.223999623013975,0.3535447514688871
SYM,OOS,tpers,pooled,k/N,17,0.06612575466641205,-6.695529066365484,0.11516121497862108
SYM,OOS,tpers,pooled,1/N,17,0.17041088902943669,-6.043741908284205,0.41680802338149014
SYM,OOS,tpers,12,k/N,6,0.09413898682213566,-6.56896158887301,0.3086661631713794
SYM,OOS,tpers,24,k/N,6,0.1876882038455803,-6.6206696000198395,0.6717551329663586
SYM,OOS,tpers,36,k/N,5,0.303312963325563,-6.520797907181028,0.6199792692165194
